ward,precinct,total,Jonathon Luers (Donald J Trump),Jonathon Luers (Donald J Trump) Percent,Alan Spitz (Donald J Trump),Alan Spitz (Donald J Trump) Percent,Graeme Jack (Donald J Trump),Graeme Jack (Donald J Trump) Percent,precinct_id
1,3,12,5,41.67,4,33.33,3,25.0,01003
1,4,19,7,36.84,6,31.58,6,31.58,01004
1,5,7,2,28.57,4,57.14,1,14.29,01005
1,6,18,7,38.89,7,38.89,4,22.22,01006
1,8,16,5,31.25,5,31.25,6,37.5,01008
1,10,20,6,30.0,7,35.0,7,35.0,01010
1,11,16,7,43.75,5,31.25,4,25.0,01011
1,14,4,2,50.0,1,25.0,1,25.0,01014
1,21,22,9,40.91,7,31.82,6,27.27,01021
1,28,8,6,75.0,1,12.5,1,12.5,01028
1,32,11,3,27.27,5,45.45,3,27.27,01032
1,33,13,5,38.46,4,30.77,4,30.77,01033
1,35,30,10,33.33,10,33.33,10,33.33,01035
1,36,10,3,30.0,4,40.0,3,30.0,01036
1,37,45,15,33.33,16,35.56,14,31.11,01037
1,38,0,0,0.0,0,0.0,0,0.0,01038
1,39,15,7,46.67,4,26.67,4,26.67,01039
1,40,14,7,50.0,4,28.57,3,21.43,01040
2,1,12,4,33.33,4,33.33,4,33.33,02001
2,3,16,5,31.25,6,37.5,5,31.25,02003
2,4,1,0,0.0,1,100.0,0,0.0,02004
2,5,35,13,37.14,13,37.14,9,25.71,02005
2,6,16,6,37.5,5,31.25,5,31.25,02006
2,7,8,3,37.5,3,37.5,2,25.0,02007
2,8,24,7,29.17,7,29.17,10,41.67,02008
2,12,14,5,35.71,5,35.71,4,28.57,02012
2,14,7,2,28.57,3,42.86,2,28.57,02014
2,15,19,7,36.84,6,31.58,6,31.58,02015
2,16,9,3,33.33,3,33.33,3,33.33,02016
2,17,0,0,0.0,0,0.0,0,0.0,02017
2,20,14,4,28.57,6,42.86,4,28.57,02020
2,21,19,6,31.58,6,31.58,7,36.84,02021
2,22,22,8,36.36,7,31.82,7,31.82,02022
2,24,11,5,45.45,3,27.27,3,27.27,02024
2,25,21,7,33.33,8,38.1,6,28.57,02025
2,26,35,11,31.43,11,31.43,13,37.14,02026
2,28,29,9,31.03,11,37.93,9,31.03,02028
2,30,46,17,36.96,14,30.43,15,32.61,02030
2,31,36,14,38.89,10,27.78,12,33.33,02031
2,33,78,26,33.33,26,33.33,26,33.33,02033
2,37,40,13,32.5,14,35.0,13,32.5,02037
2,38,4,2,50.0,1,25.0,1,25.0,02038
2,44,38,15,39.47,13,34.21,10,26.32,02044
26,28,8,3,37.5,3,37.5,2,25.0,26028
26,32,19,6,31.58,7,36.84,6,31.58,26032
27,7,14,5,35.71,5,35.71,4,28.57,27007
27,12,12,6,50.0,4,33.33,2,16.67,27012
27,13,0,0,0.0,0,0.0,0,0.0,27013
27,27,2,0,0.0,1,50.0,1,50.0,27027
27,35,13,3,23.08,7,53.85,3,23.08,27035
27,37,0,0,0.0,0,0.0,0,0.0,27037
27,40,3,1,33.33,1,33.33,1,33.33,27040
27,42,6,3,50.0,1,16.67,2,33.33,27042
27,43,0,0,0.0,0,0.0,0,0.0,27043
27,46,24,8,33.33,9,37.5,7,29.17,27046
29,23,10,3,30.0,4,40.0,3,30.0,29023
29,29,41,15,36.59,15,36.59,11,26.83,29029
29,31,47,17,36.17,15,31.91,15,31.91,29031
29,32,41,19,46.34,11,26.83,11,26.83,29032
29,38,0,0,0.0,0,0.0,0,0.0,29038
29,39,20,7,35.0,7,35.0,6,30.0,29039
30,15,28,10,35.71,9,32.14,9,32.14,30015
30,17,8,4,50.0,2,25.0,2,25.0,30017
30,21,23,6,26.09,8,34.78,9,39.13,30021
32,1,22,7,31.82,8,36.36,7,31.82,32001
32,2,20,8,40.0,6,30.0,6,30.0,32002
32,4,16,8,50.0,4,25.0,4,25.0,32004
32,5,18,6,33.33,7,38.89,5,27.78,32005
32,6,11,3,27.27,5,45.45,3,27.27,32006
32,7,25,7,28.0,9,36.0,9,36.0,32007
32,8,32,10,31.25,12,37.5,10,31.25,32008
32,9,19,6,31.58,8,42.11,5,26.32,32009
32,10,25,8,32.0,9,36.0,8,32.0,32010
32,13,29,9,31.03,11,37.93,9,31.03,32013
32,15,35,13,37.14,11,31.43,11,31.43,32015
