ward,precinct,total,Chuck Hernandez,Chuck Hernandez Percent,precinct_id
38,1,9,9,100.0,38001
38,2,32,32,100.0,38002
38,3,13,13,100.0,38003
38,4,20,20,100.0,38004
38,5,17,17,100.0,38005
38,6,21,21,100.0,38006
38,7,26,26,100.0,38007
38,8,22,22,100.0,38008
38,9,36,36,100.0,38009
38,10,19,19,100.0,38010
38,11,12,12,100.0,38011
38,12,23,23,100.0,38012
38,13,27,27,100.0,38013
38,14,25,25,100.0,38014
38,15,9,9,100.0,38015
38,16,24,24,100.0,38016
38,17,32,32,100.0,38017
38,18,19,19,100.0,38018
38,19,29,29,100.0,38019
38,20,28,28,100.0,38020
38,21,12,12,100.0,38021
38,22,8,8,100.0,38022
38,23,16,16,100.0,38023
38,24,26,26,100.0,38024
38,25,14,14,100.0,38025
38,26,25,25,100.0,38026
38,27,17,17,100.0,38027
38,28,34,34,100.0,38028
38,29,18,18,100.0,38029
38,30,20,20,100.0,38030
38,31,10,10,100.0,38031
38,32,12,12,100.0,38032
38,33,24,24,100.0,38033
38,34,15,15,100.0,38034
38,35,10,10,100.0,38035
38,36,12,12,100.0,38036
38,37,10,10,100.0,38037
38,38,16,16,100.0,38038
38,39,23,23,100.0,38039
38,40,10,10,100.0,38040
38,41,9,9,100.0,38041
