ward,precinct,total,Brad Stephens,Brad Stephens Percent,precinct_id
38,2,46,46,100.0,38002
38,7,5,5,100.0,38007
38,12,31,31,100.0,38012
38,17,7,7,100.0,38017
38,20,32,32,100.0,38020
38,24,0,0,0.0,38024
38,28,43,43,100.0,38028
41,1,40,40,100.0,41001
41,2,39,39,100.0,41002
41,3,28,28,100.0,41003
41,4,30,30,100.0,41004
41,5,40,40,100.0,41005
41,7,47,47,100.0,41007
41,8,55,55,100.0,41008
41,10,29,29,100.0,41010
41,11,49,49,100.0,41011
41,13,56,56,100.0,41013
41,15,31,31,100.0,41015
41,16,33,33,100.0,41016
41,17,57,57,100.0,41017
41,18,36,36,100.0,41018
41,20,27,27,100.0,41020
41,21,37,37,100.0,41021
41,22,59,59,100.0,41022
41,23,54,54,100.0,41023
41,25,29,29,100.0,41025
41,26,36,36,100.0,41026
41,27,34,34,100.0,41027
41,31,41,41,100.0,41031
41,33,40,40,100.0,41033
41,34,32,32,100.0,41034
41,35,46,46,100.0,41035
41,36,36,36,100.0,41036
41,37,46,46,100.0,41037
41,40,60,60,100.0,41040
41,41,37,37,100.0,41041
41,42,44,44,100.0,41042
41,43,46,46,100.0,41043
41,44,45,45,100.0,41044
41,45,32,32,100.0,41045
41,46,38,38,100.0,41046
