ward,precinct,total,Eloise Gerson,Eloise Gerson Percent,precinct_id
2,1,5,5,100.0,02001
2,2,14,14,100.0,02002
2,3,7,7,100.0,02003
2,4,3,3,100.0,02004
2,5,11,11,100.0,02005
2,6,4,4,100.0,02006
2,7,4,4,100.0,02007
2,8,7,7,100.0,02008
2,9,9,9,100.0,02009
2,10,6,6,100.0,02010
2,11,9,9,100.0,02011
2,12,5,5,100.0,02012
2,13,12,12,100.0,02013
2,14,5,5,100.0,02014
2,15,5,5,100.0,02015
2,16,2,2,100.0,02016
2,17,6,6,100.0,02017
2,18,10,10,100.0,02018
2,19,7,7,100.0,02019
2,20,9,9,100.0,02020
2,21,9,9,100.0,02021
2,22,4,4,100.0,02022
2,23,13,13,100.0,02023
2,24,4,4,100.0,02024
2,25,8,8,100.0,02025
2,26,14,14,100.0,02026
2,27,16,16,100.0,02027
2,28,20,20,100.0,02028
2,29,18,18,100.0,02029
2,30,17,17,100.0,02030
2,31,15,15,100.0,02031
2,32,7,7,100.0,02032
2,33,25,25,100.0,02033
2,34,15,15,100.0,02034
2,35,22,22,100.0,02035
2,36,24,24,100.0,02036
2,37,15,15,100.0,02037
2,38,15,15,100.0,02038
2,39,17,17,100.0,02039
2,40,8,8,100.0,02040
2,41,15,15,100.0,02041
2,42,9,9,100.0,02042
2,43,11,11,100.0,02043
2,44,12,12,100.0,02044
2,45,19,19,100.0,02045
2,46,4,4,100.0,02046
