ward,precinct,total,Timothy Heilenbach (Donald J Trump),Timothy Heilenbach (Donald J Trump) Percent,Nicholas Grigoletti (Donald J Trump),Nicholas Grigoletti (Donald J Trump) Percent,Brian Hathaway (Donald J Trump),Brian Hathaway (Donald J Trump) Percent,precinct_id
1,1,14,3,21.43,6,42.86,5,35.71,01001
1,2,14,4,28.57,5,35.71,5,35.71,01002
1,7,6,2,33.33,2,33.33,2,33.33,01007
1,9,20,7,35.0,6,30.0,7,35.0,01009
1,13,9,3,33.33,3,33.33,3,33.33,01013
1,15,9,3,33.33,3,33.33,3,33.33,01015
1,16,7,2,28.57,2,28.57,3,42.86,01016
1,17,11,3,27.27,5,45.45,3,27.27,01017
1,18,5,2,40.0,1,20.0,2,40.0,01018
1,19,22,8,36.36,7,31.82,7,31.82,01019
1,20,6,3,50.0,2,33.33,1,16.67,01020
1,22,12,4,33.33,4,33.33,4,33.33,01022
1,23,10,3,30.0,3,30.0,4,40.0,01023
1,24,3,1,33.33,2,66.67,0,0.0,01024
1,25,13,3,23.08,4,30.77,6,46.15,01025
1,26,9,3,33.33,3,33.33,3,33.33,01026
1,27,22,7,31.82,7,31.82,8,36.36,01027
1,29,17,7,41.18,6,35.29,4,23.53,01029
1,30,8,3,37.5,2,25.0,3,37.5,01030
1,31,9,2,22.22,4,44.44,3,33.33,01031
1,34,6,2,33.33,2,33.33,2,33.33,01034
1,38,6,2,33.33,1,16.67,3,50.0,01038
1,41,5,3,60.0,1,20.0,1,20.0,01041
1,42,9,3,33.33,3,33.33,3,33.33,01042
1,43,4,2,50.0,0,0.0,2,50.0,01043
1,44,10,4,40.0,3,30.0,3,30.0,01044
11,3,6,2,33.33,3,50.0,1,16.67,11003
11,37,0,0,0.0,0,0.0,0,0.0,11037
11,38,5,2,40.0,1,20.0,2,40.0,11038
12,2,8,2,25.0,3,37.5,3,37.5,12002
12,3,0,0,0.0,0,0.0,0,0.0,12003
12,5,5,3,60.0,2,40.0,0,0.0,12005
12,6,28,10,35.71,8,28.57,10,35.71,12006
12,7,5,2,40.0,2,40.0,1,20.0,12007
12,8,25,9,36.0,9,36.0,7,28.0,12008
12,10,8,3,37.5,3,37.5,2,25.0,12010
12,11,9,4,44.44,3,33.33,2,22.22,12011
12,12,15,3,20.0,6,40.0,6,40.0,12012
12,13,13,2,15.38,4,30.77,7,53.85,12013
