ward,precinct,total,Pete Best (Donald J Trump),Pete Best (Donald J Trump) Percent,Bethany Feeley (Donald J Trump),Bethany Feeley (Donald J Trump) Percent,Jasmine Hauser (Donald J Trump),Jasmine Hauser (Donald J Trump) Percent,precinct_id
40,4,8,3,37.5,2,25.0,3,37.5,40004
40,9,33,15,45.45,8,24.24,10,30.3,40009
40,10,18,7,38.89,6,33.33,5,27.78,40010
40,18,42,14,33.33,13,30.95,15,35.71,40018
40,22,21,7,33.33,7,33.33,7,33.33,40022
40,25,0,0,0.0,0,0.0,0,0.0,40025
40,26,15,7,46.67,5,33.33,3,20.0,40026
40,27,32,12,37.5,10,31.25,10,31.25,40027
40,28,5,1,20.0,1,20.0,3,60.0,40028
40,31,23,8,34.78,7,30.43,8,34.78,40031
40,33,11,4,36.36,3,27.27,4,36.36,40033
40,35,22,9,40.91,6,27.27,7,31.82,40035
40,36,30,10,33.33,10,33.33,10,33.33,40036
40,37,12,4,33.33,6,50.0,2,16.67,40037
40,39,16,5,31.25,6,37.5,5,31.25,40039
41,1,86,33,38.37,28,32.56,25,29.07,41001
41,2,106,36,33.96,38,35.85,32,30.19,41002
41,4,60,22,36.67,22,36.67,16,26.67,41004
41,5,105,41,39.05,34,32.38,30,28.57,41005
41,7,112,41,36.61,39,34.82,32,28.57,41007
41,8,129,47,36.43,42,32.56,40,31.01,41008
41,10,57,23,40.35,20,35.09,14,24.56,41010
41,11,78,28,35.9,27,34.62,23,29.49,41011
41,13,120,47,39.17,37,30.83,36,30.0,41013
41,15,76,27,35.53,26,34.21,23,30.26,41015
41,17,28,10,35.71,9,32.14,9,32.14,41017
41,18,91,32,35.16,30,32.97,29,31.87,41018
41,20,71,25,35.21,24,33.8,22,30.99,41020
41,23,79,30,37.97,27,34.18,22,27.85,41023
41,25,62,23,37.1,22,35.48,17,27.42,41025
41,28,64,29,45.31,19,29.69,16,25.0,41028
41,29,26,12,46.15,8,30.77,6,23.08,41029
41,31,121,43,35.54,39,32.23,39,32.23,41031
41,33,15,6,40.0,5,33.33,4,26.67,41033
41,34,68,27,39.71,21,30.88,20,29.41,41034
41,36,74,29,39.19,25,33.78,20,27.03,41036
41,37,84,32,38.1,26,30.95,26,30.95,41037
41,40,157,57,36.31,50,31.85,50,31.85,41040
41,41,98,32,32.65,34,34.69,32,32.65,41041
41,42,75,33,44.0,20,26.67,22,29.33,41042
41,43,130,46,35.38,44,33.85,40,30.77,41043
41,44,108,44,40.74,35,32.41,29,26.85,41044
41,45,57,20,35.09,19,33.33,18,31.58,41045
44,3,6,2,33.33,3,50.0,1,16.67,44003
44,4,33,13,39.39,8,24.24,12,36.36,44004
44,7,29,10,34.48,9,31.03,10,34.48,44007
44,24,15,5,33.33,5,33.33,5,33.33,44024
44,35,28,10,35.71,9,32.14,9,32.14,44035
46,1,25,7,28.0,10,40.0,8,32.0,46001
46,2,15,5,33.33,5,33.33,5,33.33,46002
46,4,15,5,33.33,5,33.33,5,33.33,46004
46,5,0,0,0.0,0,0.0,0,0.0,46005
46,6,7,3,42.86,2,28.57,2,28.57,46006
46,7,31,15,48.39,8,25.81,8,25.81,46007
46,8,16,4,25.0,7,43.75,5,31.25,46008
46,9,16,7,43.75,5,31.25,4,25.0,46009
46,11,20,7,35.0,4,20.0,9,45.0,46011
46,12,26,8,30.77,9,34.62,9,34.62,46012
46,13,17,6,35.29,7,41.18,4,23.53,46013
46,14,11,5,45.45,3,27.27,3,27.27,46014
46,15,35,11,31.43,13,37.14,11,31.43,46015
46,16,6,2,33.33,2,33.33,2,33.33,46016
46,17,25,10,40.0,8,32.0,7,28.0,46017
46,18,68,23,33.82,24,35.29,21,30.88,46018
46,20,10,4,40.0,3,30.0,3,30.0,46020
46,21,16,4,25.0,8,50.0,4,25.0,46021
46,22,10,2,20.0,2,20.0,6,60.0,46022
46,23,15,7,46.67,4,26.67,4,26.67,46023
46,24,30,11,36.67,11,36.67,8,26.67,46024
46,25,4,2,50.0,1,25.0,1,25.0,46025
46,26,22,9,40.91,7,31.82,6,27.27,46026
46,27,18,6,33.33,6,33.33,6,33.33,46027
46,29,9,3,33.33,3,33.33,3,33.33,46029
46,32,25,8,32.0,7,28.0,10,40.0,46032
46,34,18,7,38.89,6,33.33,5,27.78,46034
46,35,10,4,40.0,3,30.0,3,30.0,46035
46,37,14,4,28.57,6,42.86,4,28.57,46037
46,38,3,1,33.33,1,33.33,1,33.33,46038
46,40,11,3,27.27,4,36.36,4,36.36,46040
47,15,10,4,40.0,3,30.0,3,30.0,47015
47,19,12,4,33.33,4,33.33,4,33.33,47019
47,23,8,3,37.5,3,37.5,2,25.0,47023
47,30,9,3,33.33,3,33.33,3,33.33,47030
48,1,12,7,58.33,3,25.0,2,16.67,48001
48,2,4,1,25.0,1,25.0,2,50.0,48002
48,3,32,11,34.38,11,34.38,10,31.25,48003
48,4,12,4,33.33,5,41.67,3,25.0,48004
48,5,17,7,41.18,5,29.41,5,29.41,48005
48,6,14,5,35.71,6,42.86,3,21.43,48006
48,7,0,0,0.0,0,0.0,0,0.0,48007
48,8,17,5,29.41,5,29.41,7,41.18,48008
48,9,37,15,40.54,12,32.43,10,27.03,48009
48,10,14,4,28.57,6,42.86,4,28.57,48010
48,11,5,2,40.0,2,40.0,1,20.0,48011
48,12,25,9,36.0,9,36.0,7,28.0,48012
48,13,53,18,33.96,19,35.85,16,30.19,48013
48,14,27,11,40.74,8,29.63,8,29.63,48014
48,15,17,6,35.29,4,23.53,7,41.18,48015
48,16,30,11,36.67,10,33.33,9,30.0,48016
48,17,33,13,39.39,10,30.3,10,30.3,48017
48,18,22,9,40.91,7,31.82,6,27.27,48018
48,19,26,10,38.46,9,34.62,7,26.92,48019
48,20,25,9,36.0,8,32.0,8,32.0,48020
48,21,31,10,32.26,10,32.26,11,35.48,48021
48,22,47,21,44.68,14,29.79,12,25.53,48022
48,23,34,11,32.35,12,35.29,11,32.35,48023
48,24,51,19,37.25,16,31.37,16,31.37,48024
48,25,10,4,40.0,3,30.0,3,30.0,48025
48,26,5,2,40.0,1,20.0,2,40.0,48026
48,27,19,7,36.84,5,26.32,7,36.84,48027
48,28,53,16,30.19,22,41.51,15,28.3,48028
48,29,14,5,35.71,4,28.57,5,35.71,48029
48,30,16,5,31.25,6,37.5,5,31.25,48030
48,31,46,17,36.96,15,32.61,14,30.43,48031
48,32,14,5,35.71,4,28.57,5,35.71,48032
48,33,29,12,41.38,9,31.03,8,27.59,48033
48,34,5,3,60.0,1,20.0,1,20.0,48034
48,35,28,13,46.43,7,25.0,8,28.57,48035
48,36,16,5,31.25,7,43.75,4,25.0,48036
48,37,4,2,50.0,1,25.0,1,25.0,48037
48,38,11,5,45.45,3,27.27,3,27.27,48038
48,39,22,6,27.27,7,31.82,9,40.91,48039
48,40,11,5,45.45,3,27.27,3,27.27,48040
48,41,26,10,38.46,8,30.77,8,30.77,48041
48,42,11,5,45.45,3,27.27,3,27.27,48042
48,43,31,10,32.26,11,35.48,10,32.26,48043
48,44,18,6,33.33,7,38.89,5,27.78,48044
48,45,12,4,33.33,4,33.33,4,33.33,48045
48,46,9,5,55.56,2,22.22,2,22.22,48046
49,1,3,1,33.33,1,33.33,1,33.33,49001
49,2,3,1,33.33,1,33.33,1,33.33,49002
49,3,4,2,50.0,1,25.0,1,25.0,49003
49,4,6,4,66.67,1,16.67,1,16.67,49004
49,5,12,5,41.67,4,33.33,3,25.0,49005
49,6,7,2,28.57,2,28.57,3,42.86,49006
49,7,21,10,47.62,6,28.57,5,23.81,49007
49,8,12,4,33.33,4,33.33,4,33.33,49008
49,9,12,4,33.33,5,41.67,3,25.0,49009
49,10,36,14,38.89,13,36.11,9,25.0,49010
49,11,11,4,36.36,3,27.27,4,36.36,49011
49,12,9,4,44.44,4,44.44,1,11.11,49012
49,13,23,10,43.48,7,30.43,6,26.09,49013
49,14,16,5,31.25,5,31.25,6,37.5,49014
49,15,8,4,50.0,2,25.0,2,25.0,49015
49,16,28,8,28.57,9,32.14,11,39.29,49016
49,17,34,13,38.24,11,32.35,10,29.41,49017
49,18,23,8,34.78,8,34.78,7,30.43,49018
49,19,8,4,50.0,2,25.0,2,25.0,49019
49,20,20,11,55.0,4,20.0,5,25.0,49020
49,21,8,3,37.5,3,37.5,2,25.0,49021
49,22,17,7,41.18,4,23.53,6,35.29,49022
49,23,11,2,18.18,4,36.36,5,45.45,49023
49,24,3,1,33.33,1,33.33,1,33.33,49024
49,25,21,7,33.33,7,33.33,7,33.33,49025
49,26,36,16,44.44,12,33.33,8,22.22,49026
49,27,9,4,44.44,4,44.44,1,11.11,49027
49,28,13,4,30.77,5,38.46,4,30.77,49028
49,29,24,7,29.17,9,37.5,8,33.33,49029
49,30,39,14,35.9,13,33.33,12,30.77,49030
49,31,5,2,40.0,2,40.0,1,20.0,49031
49,32,8,2,25.0,2,25.0,4,50.0,49032
49,33,15,5,33.33,5,33.33,5,33.33,49033
50,1,28,11,39.29,8,28.57,9,32.14,50001
50,2,28,11,39.29,9,32.14,8,28.57,50002
50,3,21,9,42.86,6,28.57,6,28.57,50003
50,4,16,6,37.5,6,37.5,4,25.0,50004
50,5,35,13,37.14,11,31.43,11,31.43,50005
50,6,29,11,37.93,10,34.48,8,27.59,50006
50,7,29,9,31.03,11,37.93,9,31.03,50007
50,8,10,4,40.0,2,20.0,4,40.0,50008
50,9,18,5,27.78,6,33.33,7,38.89,50009
50,10,21,6,28.57,7,33.33,8,38.1,50010
50,11,20,7,35.0,6,30.0,7,35.0,50011
50,12,15,6,40.0,4,26.67,5,33.33,50012
50,13,20,7,35.0,7,35.0,6,30.0,50013
50,14,16,7,43.75,5,31.25,4,25.0,50014
50,15,13,4,30.77,4,30.77,5,38.46,50015
50,16,17,7,41.18,5,29.41,5,29.41,50016
50,17,42,15,35.71,14,33.33,13,30.95,50017
50,18,1,1,100.0,0,0.0,0,0.0,50018
