ward,precinct,total,Keith Pekau (Donald J Trump),Keith Pekau (Donald J Trump) Percent,Jesus Solorio (Donald J Trump),Jesus Solorio (Donald J Trump) Percent,Cynthia Nelson Katsenes (Donald J Trum,Cynthia Nelson Katsenes (Donald J Trum Percent,precinct_id
18,30,46,15,32.61,18,39.13,13,28.26,18030
18,40,11,3,27.27,5,45.45,3,27.27,18040
18,43,14,5,35.71,6,42.86,3,21.43,18043
18,46,19,8,42.11,6,31.58,5,26.32,18046
19,1,35,15,42.86,9,25.71,11,31.43,19001
19,2,0,0,0.0,0,0.0,0,0.0,19002
19,3,80,32,40.0,23,28.75,25,31.25,19003
19,4,89,31,34.83,30,33.71,28,31.46,19004
19,5,13,4,30.77,4,30.77,5,38.46,19005
19,6,91,35,38.46,29,31.87,27,29.67,19006
19,7,32,14,43.75,9,28.13,9,28.13,19007
19,8,110,41,37.27,34,30.91,35,31.82,19008
19,9,44,16,36.36,13,29.55,15,34.09,19009
19,10,30,11,36.67,9,30.0,10,33.33,19010
19,11,94,34,36.17,30,31.91,30,31.91,19011
19,12,70,24,34.29,21,30.0,25,35.71,19012
19,15,111,39,35.14,36,32.43,36,32.43,19015
19,16,66,27,40.91,22,33.33,17,25.76,19016
19,17,33,13,39.39,9,27.27,11,33.33,19017
19,18,28,9,32.14,9,32.14,10,35.71,19018
19,19,32,12,37.5,10,31.25,10,31.25,19019
19,21,95,32,33.68,28,29.47,35,36.84,19021
19,22,21,6,28.57,8,38.1,7,33.33,19022
19,23,21,7,33.33,7,33.33,7,33.33,19023
19,24,57,23,40.35,16,28.07,18,31.58,19024
19,25,23,7,30.43,7,30.43,9,39.13,19025
19,26,34,14,41.18,9,26.47,11,32.35,19026
19,29,79,33,41.77,21,26.58,25,31.65,19029
19,30,83,32,38.55,25,30.12,26,31.33,19030
19,32,44,16,36.36,14,31.82,14,31.82,19032
19,33,79,30,37.97,21,26.58,28,35.44,19033
19,34,28,11,39.29,8,28.57,9,32.14,19034
19,35,28,9,32.14,9,32.14,10,35.71,19035
19,41,55,24,43.64,14,25.45,17,30.91,19041
19,44,69,29,42.03,20,28.99,20,28.99,19044
19,45,52,21,40.38,15,28.85,16,30.77,19045
19,46,49,18,36.73,14,28.57,17,34.69,19046
19,50,25,10,40.0,7,28.0,8,32.0,19050
19,51,30,14,46.67,9,30.0,7,23.33,19051
19,52,81,29,35.8,27,33.33,25,30.86,19052
19,53,26,10,38.46,7,26.92,9,34.62,19053
19,54,73,25,34.25,22,30.14,26,35.62,19054
19,55,52,17,32.69,15,28.85,20,38.46,19055
19,56,33,11,33.33,11,33.33,11,33.33,19056
19,57,17,6,35.29,6,35.29,5,29.41,19057
20,4,7,2,28.57,2,28.57,3,42.86,20004
20,15,4,1,25.0,3,75.0,0,0.0,20015
20,20,4,1,25.0,2,50.0,1,25.0,20020
22,1,8,2,25.0,3,37.5,3,37.5,22001
22,2,39,15,38.46,13,33.33,11,28.21,22002
22,8,28,10,35.71,11,39.29,7,25.0,22008
22,12,15,7,46.67,4,26.67,4,26.67,22012
22,23,0,0,0.0,0,0.0,0,0.0,22023
23,1,53,18,33.96,18,33.96,17,32.08,23001
23,2,30,11,36.67,10,33.33,9,30.0,23002
23,3,61,22,36.07,18,29.51,21,34.43,23003
23,4,55,19,34.55,16,29.09,20,36.36,23004
23,5,13,3,23.08,6,46.15,4,30.77,23005
23,6,7,2,28.57,3,42.86,2,28.57,23006
23,7,15,5,33.33,3,20.0,7,46.67,23007
23,8,22,8,36.36,8,36.36,6,27.27,23008
23,9,4,1,25.0,1,25.0,2,50.0,23009
23,10,25,9,36.0,10,40.0,6,24.0,23010
23,11,20,6,30.0,6,30.0,8,40.0,23011
23,12,31,13,41.94,9,29.03,9,29.03,23012
23,14,28,9,32.14,9,32.14,10,35.71,23014
23,15,7,3,42.86,2,28.57,2,28.57,23015
23,16,34,14,41.18,9,26.47,11,32.35,23016
23,17,2,0,0.0,2,100.0,0,0.0,23017
23,18,57,20,35.09,18,31.58,19,33.33,23018
23,19,5,2,40.0,2,40.0,1,20.0,23019
23,20,32,12,37.5,11,34.38,9,28.13,23020
23,21,43,16,37.21,14,32.56,13,30.23,23021
23,22,31,12,38.71,11,35.48,8,25.81,23022
23,23,56,20,35.71,17,30.36,19,33.93,23023
23,25,15,4,26.67,6,40.0,5,33.33,23025
23,26,7,2,28.57,3,42.86,2,28.57,23026
23,27,12,4,33.33,4,33.33,4,33.33,23027
23,28,60,22,36.67,17,28.33,21,35.0,23028
23,29,28,12,42.86,8,28.57,8,28.57,23029
23,30,4,0,0.0,3,75.0,1,25.0,23030
23,31,6,1,16.67,3,50.0,2,33.33,23031
23,32,34,11,32.35,12,35.29,11,32.35,23032
23,33,16,6,37.5,5,31.25,5,31.25,23033
23,34,11,3,27.27,3,27.27,5,45.45,23034
23,35,51,21,41.18,15,29.41,15,29.41,23035
23,36,52,20,38.46,16,30.77,16,30.77,23036
23,37,53,18,33.96,17,32.08,18,33.96,23037
23,38,48,19,39.58,15,31.25,14,29.17,23038
23,39,4,1,25.0,2,50.0,1,25.0,23039
