ward,precinct,total,Arenda Troutman,Arenda Troutman Percent,Willie B. Cochran,Willie B. Cochran Percent,Edward Chaney,Edward Chaney Percent,precinct_id
20,1,170,39,22.94,129,75.88,2,1.18,20001
20,2,141,40,28.37,96,68.09,5,3.55,20002
20,3,158,28,17.72,126,79.75,4,2.53,20003
20,4,133,43,32.33,74,55.64,16,12.03,20004
20,5,124,33,26.61,91,73.39,0,0.0,20005
20,6,214,57,26.64,149,69.63,8,3.74,20006
20,7,49,21,42.86,25,51.02,3,6.12,20007
20,8,62,28,45.16,27,43.55,7,11.29,20008
20,9,215,71,33.02,139,64.65,5,2.33,20009
20,10,142,37,26.06,100,70.42,5,3.52,20010
20,11,95,27,28.42,67,70.53,1,1.05,20011
20,12,120,33,27.5,81,67.5,6,5.0,20012
20,13,154,77,50.0,68,44.16,9,5.84,20013
20,14,269,76,28.25,183,68.03,10,3.72,20014
20,15,122,47,38.52,60,49.18,15,12.3,20015
20,16,243,43,17.7,195,80.25,5,2.06,20016
20,17,109,48,44.04,51,46.79,10,9.17,20017
20,18,126,32,25.4,91,72.22,3,2.38,20018
20,19,145,60,41.38,74,51.03,11,7.59,20019
20,20,84,29,34.52,50,59.52,5,5.95,20020
20,21,73,29,39.73,36,49.32,8,10.96,20021
20,22,237,56,23.63,170,71.73,11,4.64,20022
20,23,223,79,35.43,127,56.95,17,7.62,20023
20,24,211,50,23.7,154,72.99,7,3.32,20024
20,25,137,41,29.93,89,64.96,7,5.11,20025
20,26,152,32,21.05,106,69.74,14,9.21,20026
20,27,93,34,36.56,52,55.91,7,7.53,20027
20,28,171,65,38.01,96,56.14,10,5.85,20028
20,29,165,37,22.42,124,75.15,4,2.42,20029
20,30,181,98,54.14,67,37.02,16,8.84,20030
20,31,193,74,38.34,105,54.4,14,7.25,20031
20,32,145,43,29.66,98,67.59,4,2.76,20032
20,33,156,50,32.05,88,56.41,18,11.54,20033
20,34,240,33,13.75,200,83.33,7,2.92,20034
20,35,86,26,30.23,58,67.44,2,2.33,20035
20,36,152,31,20.39,114,75.0,7,4.61,20036
20,37,182,49,26.92,120,65.93,13,7.14,20037
20,38,44,7,15.91,37,84.09,0,0.0,20038
20,39,146,56,38.36,79,54.11,11,7.53,20039
20,40,125,58,46.4,62,49.6,5,4.0,20040
20,41,48,16,33.33,28,58.33,4,8.33,20041
20,42,139,38,27.34,87,62.59,14,10.07,20042
20,43,42,17,40.48,23,54.76,2,4.76,20043
20,44,216,120,55.56,86,39.81,10,4.63,20044
20,45,94,51,54.26,35,37.23,8,8.51,20045
20,46,126,36,28.57,75,59.52,15,11.9,20046
20,47,159,27,16.98,128,80.5,4,2.52,20047
20,48,84,46,54.76,35,41.67,3,3.57,20048
20,49,135,70,51.85,56,41.48,9,6.67,20049
20,50,103,46,44.66,50,48.54,7,6.8,20050
