ward,precinct,total,Nicholas S. Sposato,Nicholas S. Sposato Percent,William J.P. Banks,William J.P. Banks Percent,precinct_id
36,1,187,34,18.18,153,81.82,36001
36,2,171,43,25.15,128,74.85,36002
36,3,331,25,7.55,306,92.45,36003
36,4,107,25,23.36,82,76.64,36004
36,5,190,46,24.21,144,75.79,36005
36,6,158,48,30.38,110,69.62,36006
36,7,167,44,26.35,123,73.65,36007
36,8,207,54,26.09,153,73.91,36008
36,9,178,43,24.16,135,75.84,36009
36,10,128,31,24.22,97,75.78,36010
36,11,259,48,18.53,211,81.47,36011
36,12,174,40,22.99,134,77.01,36012
36,13,322,46,14.29,276,85.71,36013
36,14,242,27,11.16,215,88.84,36014
36,15,206,41,19.9,165,80.1,36015
36,16,274,56,20.44,218,79.56,36016
36,17,204,62,30.39,142,69.61,36017
36,18,262,84,32.06,178,67.94,36018
36,19,223,56,25.11,167,74.89,36019
36,20,254,52,20.47,202,79.53,36020
36,21,342,94,27.49,248,72.51,36021
36,22,250,70,28.0,180,72.0,36022
36,23,101,9,8.91,92,91.09,36023
36,24,181,22,12.15,159,87.85,36024
36,25,148,51,34.46,97,65.54,36025
36,26,199,54,27.14,145,72.86,36026
36,27,114,50,43.86,64,56.14,36027
36,28,183,37,20.22,146,79.78,36028
36,29,188,40,21.28,148,78.72,36029
36,30,217,62,28.57,155,71.43,36030
36,31,222,55,24.77,167,75.23,36031
36,32,174,54,31.03,120,68.97,36032
36,33,160,35,21.88,125,78.13,36033
36,34,146,34,23.29,112,76.71,36034
36,35,260,43,16.54,217,83.46,36035
36,36,173,35,20.23,138,79.77,36036
36,37,157,40,25.48,117,74.52,36037
36,38,135,59,43.7,76,56.3,36038
36,39,183,34,18.58,149,81.42,36039
36,40,226,68,30.09,158,69.91,36040
36,41,162,49,30.25,113,69.75,36041
36,42,152,44,28.95,108,71.05,36042
36,43,152,36,23.68,116,76.32,36043
36,44,209,49,23.44,160,76.56,36044
36,45,215,74,34.42,141,65.58,36045
36,46,183,53,28.96,130,71.04,36046
36,47,175,60,34.29,115,65.71,36047
36,48,169,47,27.81,122,72.19,36048
36,49,246,82,33.33,164,66.67,36049
36,50,186,30,16.13,156,83.87,36050
36,51,240,42,17.5,198,82.5,36051
36,52,169,32,18.93,137,81.07,36052
36,53,131,26,19.85,105,80.15,36053
36,54,230,44,19.13,186,80.87,36054
36,55,292,80,27.4,212,72.6,36055
