ward,precinct,total,Karin M. Norington-Reaves,Karin M. Norington-Reaves Percent,Freddrenna M. Lyle,Freddrenna M. Lyle Percent,Thelma F. Andrews,Thelma F. Andrews Percent,Eugene C. Davis,Eugene C. Davis Percent,precinct_id
6,1,268,83,30.97,115,42.91,9,3.36,61,22.76,06001
6,2,260,27,10.38,122,46.92,10,3.85,101,38.85,06002
6,3,252,27,10.71,134,53.17,12,4.76,79,31.35,06003
6,4,171,25,14.62,74,43.27,17,9.94,55,32.16,06004
6,5,109,11,10.09,53,48.62,19,17.43,26,23.85,06005
6,6,192,43,22.4,100,52.08,6,3.13,43,22.4,06006
6,7,230,16,6.96,145,63.04,21,9.13,48,20.87,06007
6,8,266,40,15.04,144,54.14,7,2.63,75,28.2,06008
6,9,228,11,4.82,116,50.88,7,3.07,94,41.23,06009
6,10,345,73,21.16,197,57.1,10,2.9,65,18.84,06010
6,11,201,47,23.38,123,61.19,3,1.49,28,13.93,06011
6,12,156,14,8.97,75,48.08,7,4.49,60,38.46,06012
6,13,194,25,12.89,82,42.27,2,1.03,85,43.81,06013
6,14,198,17,8.59,102,51.52,7,3.54,72,36.36,06014
6,15,126,9,7.14,66,52.38,23,18.25,28,22.22,06015
6,16,236,31,13.14,122,51.69,11,4.66,72,30.51,06016
6,17,270,32,11.85,150,55.56,8,2.96,80,29.63,06017
6,18,108,21,19.44,42,38.89,9,8.33,36,33.33,06018
6,19,238,27,11.34,110,46.22,8,3.36,93,39.08,06019
6,20,211,24,11.37,131,62.09,9,4.27,47,22.27,06020
6,21,199,13,6.53,131,65.83,8,4.02,47,23.62,06021
6,22,198,14,7.07,100,50.51,5,2.53,79,39.9,06022
6,23,169,11,6.51,92,54.44,9,5.33,57,33.73,06023
6,24,210,24,11.43,108,51.43,4,1.9,74,35.24,06024
6,25,143,12,8.39,79,55.24,8,5.59,44,30.77,06025
6,26,249,20,8.03,118,47.39,4,1.61,107,42.97,06026
6,27,297,21,7.07,138,46.46,13,4.38,125,42.09,06027
6,28,386,35,9.07,169,43.78,9,2.33,173,44.82,06028
6,29,276,83,30.07,136,49.28,14,5.07,43,15.58,06029
6,30,172,9,5.23,102,59.3,7,4.07,54,31.4,06030
6,31,268,39,14.55,147,54.85,2,0.75,80,29.85,06031
6,32,217,25,11.52,141,64.98,5,2.3,46,21.2,06032
6,33,240,44,18.33,137,57.08,9,3.75,50,20.83,06033
6,34,183,32,17.49,81,44.26,3,1.64,67,36.61,06034
6,35,218,43,19.72,119,54.59,5,2.29,51,23.39,06035
6,36,110,9,8.18,64,58.18,9,8.18,28,25.45,06036
6,37,266,88,33.08,119,44.74,13,4.89,46,17.29,06037
6,38,205,18,8.78,123,60.0,9,4.39,55,26.83,06038
6,39,175,4,2.29,104,59.43,12,6.86,55,31.43,06039
6,40,100,17,17.0,40,40.0,23,23.0,20,20.0,06040
6,41,241,103,42.74,86,35.68,5,2.07,47,19.5,06041
6,42,90,3,3.33,53,58.89,18,20.0,16,17.78,06042
6,43,247,26,10.53,130,52.63,11,4.45,80,32.39,06043
6,44,208,39,18.75,110,52.88,11,5.29,48,23.08,06044
6,45,168,24,14.29,102,60.71,10,5.95,32,19.05,06045
6,46,204,30,14.71,106,51.96,6,2.94,62,30.39,06046
6,47,243,27,11.11,150,61.73,8,3.29,58,23.87,06047
6,48,191,18,9.42,121,63.35,13,6.81,39,20.42,06048
6,49,214,28,13.08,110,51.4,8,3.74,68,31.78,06049
6,50,241,24,9.96,134,55.6,10,4.15,73,30.29,06050
6,51,152,12,7.89,98,64.47,9,5.92,33,21.71,06051
6,52,136,22,16.18,73,53.68,2,1.47,39,28.68,06052
6,53,191,60,31.41,89,46.6,5,2.62,37,19.37,06053
6,54,199,40,20.1,85,42.71,12,6.03,62,31.16,06054
6,55,181,16,8.84,116,64.09,7,3.87,42,23.2,06055
6,56,172,22,12.79,120,69.77,10,5.81,20,11.63,06056
6,57,112,15,13.39,55,49.11,6,5.36,36,32.14,06057
6,58,259,53,20.46,140,54.05,3,1.16,63,24.32,06058
6,59,182,30,16.48,90,49.45,2,1.1,60,32.97,06059
6,60,147,10,6.8,84,57.14,3,2.04,50,34.01,06060
6,61,107,11,10.28,68,63.55,10,9.35,18,16.82,06061
6,62,186,22,11.83,108,58.06,8,4.3,48,25.81,06062
6,63,179,35,19.55,87,48.6,10,5.59,47,26.26,06063
6,64,257,6,2.33,146,56.81,5,1.95,100,38.91,06064
