ward,precinct,total,Shirley A. Coleman,Shirley A. Coleman Percent,Joann Thompson,Joann Thompson Percent,Denise P. Brown,Denise P. Brown Percent,Eddie Johnson III,Eddie Johnson III Percent,Jeffrey L. Lewis,Jeffrey L. Lewis Percent,Hal E. Baskin,Hal E. Baskin Percent,precinct_id
16,1,94,32,34.04,45,47.87,4,4.26,0,0.0,0,0.0,13,13.83,16001
16,2,111,58,52.25,44,39.64,5,4.5,0,0.0,0,0.0,4,3.6,16002
16,3,147,64,43.54,54,36.73,3,2.04,5,3.4,2,1.36,19,12.93,16003
16,4,97,38,39.18,37,38.14,4,4.12,4,4.12,1,1.03,13,13.4,16004
16,5,162,70,43.21,73,45.06,5,3.09,3,1.85,1,0.62,10,6.17,16005
16,6,65,13,20.0,45,69.23,2,3.08,0,0.0,0,0.0,5,7.69,16006
16,7,144,41,28.47,92,63.89,1,0.69,2,1.39,1,0.69,7,4.86,16007
16,8,155,68,43.87,60,38.71,9,5.81,3,1.94,5,3.23,10,6.45,16008
16,9,209,103,49.28,57,27.27,6,2.87,1,0.48,15,7.18,27,12.92,16009
16,10,103,48,46.6,38,36.89,7,6.8,0,0.0,2,1.94,8,7.77,16010
16,11,189,44,23.28,116,61.38,6,3.17,1,0.53,1,0.53,21,11.11,16011
16,12,96,30,31.25,50,52.08,10,10.42,1,1.04,1,1.04,4,4.17,16012
16,13,123,35,28.46,68,55.28,3,2.44,3,2.44,3,2.44,11,8.94,16013
16,14,149,60,40.27,61,40.94,11,7.38,0,0.0,1,0.67,16,10.74,16014
16,15,183,81,44.26,84,45.9,0,0.0,1,0.55,1,0.55,16,8.74,16015
16,16,171,76,44.44,81,47.37,4,2.34,3,1.75,0,0.0,7,4.09,16016
16,17,151,50,33.11,49,32.45,31,20.53,0,0.0,1,0.66,20,13.25,16017
16,18,142,49,34.51,73,51.41,6,4.23,0,0.0,0,0.0,14,9.86,16018
16,19,114,46,40.35,39,34.21,10,8.77,2,1.75,3,2.63,14,12.28,16019
16,20,131,53,40.46,54,41.22,4,3.05,0,0.0,2,1.53,18,13.74,16020
16,21,138,33,23.91,93,67.39,8,5.8,2,1.45,0,0.0,2,1.45,16021
16,22,134,44,32.84,56,41.79,6,4.48,3,2.24,2,1.49,23,17.16,16022
16,23,141,43,30.5,70,49.65,13,9.22,0,0.0,1,0.71,14,9.93,16023
16,24,85,36,42.35,36,42.35,3,3.53,1,1.18,0,0.0,9,10.59,16024
16,25,139,82,58.99,24,17.27,13,9.35,2,1.44,2,1.44,16,11.51,16025
16,26,164,56,34.15,71,43.29,9,5.49,1,0.61,1,0.61,26,15.85,16026
16,27,201,71,35.32,46,22.89,13,6.47,0,0.0,4,1.99,67,33.33,16027
16,28,207,77,37.2,75,36.23,8,3.86,3,1.45,2,0.97,42,20.29,16028
16,29,66,27,40.91,24,36.36,2,3.03,1,1.52,0,0.0,12,18.18,16029
16,30,86,26,30.23,46,53.49,3,3.49,1,1.16,1,1.16,9,10.47,16030
16,31,185,85,45.95,60,32.43,7,3.78,1,0.54,4,2.16,28,15.14,16031
16,32,119,36,30.25,57,47.9,9,7.56,3,2.52,8,6.72,6,5.04,16032
16,33,118,51,43.22,58,49.15,4,3.39,0,0.0,0,0.0,5,4.24,16033
16,34,121,25,20.66,51,42.15,4,3.31,1,0.83,2,1.65,38,31.4,16034
16,35,142,37,26.06,63,44.37,24,16.9,3,2.11,8,5.63,7,4.93,16035
16,36,136,36,26.47,66,48.53,3,2.21,1,0.74,0,0.0,30,22.06,16036
16,37,92,53,57.61,21,22.83,3,3.26,1,1.09,0,0.0,14,15.22,16037
16,38,129,58,44.96,54,41.86,2,1.55,1,0.78,0,0.0,14,10.85,16038
16,39,111,30,27.03,53,47.75,15,13.51,1,0.9,0,0.0,12,10.81,16039
16,40,185,62,33.51,92,49.73,6,3.24,1,0.54,0,0.0,24,12.97,16040
16,41,73,17,23.29,16,21.92,3,4.11,2,2.74,0,0.0,35,47.95,16041
16,42,119,43,36.13,54,45.38,8,6.72,0,0.0,0,0.0,14,11.76,16042
16,43,177,44,24.86,30,16.95,9,5.08,14,7.91,11,6.21,69,38.98,16043
16,44,159,44,27.67,68,42.77,21,13.21,2,1.26,3,1.89,21,13.21,16044
16,45,93,46,49.46,22,23.66,3,3.23,2,2.15,6,6.45,14,15.05,16045
16,46,48,21,43.75,10,20.83,0,0.0,3,6.25,2,4.17,12,25.0,16046
