ward,precinct,total,Richard F. Mell,Richard F. Mell Percent,precinct_id
33,1,148,148,100.0,33001
33,2,206,206,100.0,33002
33,3,140,140,100.0,33003
33,4,192,192,100.0,33004
33,5,135,135,100.0,33005
33,6,185,185,100.0,33006
33,7,201,201,100.0,33007
33,8,119,119,100.0,33008
33,9,152,152,100.0,33009
33,10,263,263,100.0,33010
33,11,155,155,100.0,33011
33,12,234,234,100.0,33012
33,13,184,184,100.0,33013
33,14,113,113,100.0,33014
33,15,148,148,100.0,33015
33,16,148,148,100.0,33016
33,17,216,216,100.0,33017
33,18,63,63,100.0,33018
33,19,180,180,100.0,33019
33,20,170,170,100.0,33020
33,21,139,139,100.0,33021
33,22,255,255,100.0,33022
33,23,153,153,100.0,33023
33,24,222,222,100.0,33024
33,25,204,204,100.0,33025
33,26,150,150,100.0,33026
33,27,115,115,100.0,33027
