ward,precinct,total,Felicia H. Simmons-Stovall,Felicia H. Simmons-Stovall Percent,Janice Jeffries,Janice Jeffries Percent,Toni L. Foulkes,Toni L. Foulkes Percent,"Tommie Grayer, Sr.","Tommie Grayer, Sr. Percent",Sandra L. Mallory,Sandra L. Mallory Percent,Richard L. Anderson,Richard L. Anderson Percent,Brian E. Dunn,Brian E. Dunn Percent,Vesta Lewis Dixon,Vesta Lewis Dixon Percent,Denise Dixon,Denise Dixon Percent,William Burch,William Burch Percent,"Shawn D. Monroe, Sr.","Shawn D. Monroe, Sr. Percent",precinct_id
15,1,124,37,29.84,7,5.65,52,41.94,2,1.61,2,1.61,1,0.81,1,0.81,3,2.42,15,12.1,3,2.42,1,0.81,15001
15,2,123,32,26.02,9,7.32,42,34.15,1,0.81,7,5.69,0,0.0,0,0.0,7,5.69,12,9.76,11,8.94,2,1.63,15002
15,3,124,38,30.65,4,3.23,33,26.61,1,0.81,7,5.65,2,1.61,9,7.26,22,17.74,2,1.61,5,4.03,1,0.81,15003
15,4,125,21,16.8,5,4.0,35,28.0,1,0.8,1,0.8,2,1.6,3,2.4,23,18.4,13,10.4,16,12.8,5,4.0,15004
15,5,132,26,19.7,3,2.27,51,38.64,4,3.03,5,3.79,8,6.06,4,3.03,0,0.0,6,4.55,15,11.36,10,7.58,15005
15,6,123,45,36.59,16,13.01,30,24.39,3,2.44,4,3.25,12,9.76,1,0.81,2,1.63,3,2.44,2,1.63,5,4.07,15006
15,7,123,20,16.26,3,2.44,29,23.58,7,5.69,0,0.0,1,0.81,1,0.81,1,0.81,57,46.34,3,2.44,1,0.81,15007
15,8,147,40,27.21,12,8.16,49,33.33,2,1.36,3,2.04,6,4.08,2,1.36,4,2.72,10,6.8,11,7.48,8,5.44,15008
15,9,148,26,17.57,17,11.49,45,30.41,0,0.0,1,0.68,19,12.84,1,0.68,2,1.35,8,5.41,3,2.03,26,17.57,15009
15,10,100,46,46.0,2,2.0,32,32.0,2,2.0,4,4.0,3,3.0,3,3.0,0,0.0,3,3.0,1,1.0,4,4.0,15010
15,11,130,30,23.08,5,3.85,63,48.46,1,0.77,3,2.31,3,2.31,0,0.0,5,3.85,7,5.38,9,6.92,4,3.08,15011
15,12,81,33,40.74,7,8.64,19,23.46,7,8.64,1,1.23,1,1.23,0,0.0,0,0.0,8,9.88,3,3.7,2,2.47,15012
15,13,67,14,20.9,8,11.94,18,26.87,2,2.99,2,2.99,3,4.48,4,5.97,0,0.0,4,5.97,3,4.48,9,13.43,15013
15,14,153,70,45.75,2,1.31,62,40.52,2,1.31,1,0.65,4,2.61,3,1.96,0,0.0,5,3.27,1,0.65,3,1.96,15014
15,15,114,44,38.6,5,4.39,30,26.32,3,2.63,5,4.39,6,5.26,2,1.75,1,0.88,7,6.14,2,1.75,9,7.89,15015
15,16,78,38,48.72,0,0.0,29,37.18,3,3.85,2,2.56,1,1.28,1,1.28,0,0.0,0,0.0,1,1.28,3,3.85,15016
15,17,126,28,22.22,1,0.79,25,19.84,1,0.79,0,0.0,1,0.79,40,31.75,10,7.94,9,7.14,7,5.56,4,3.17,15017
15,18,92,9,9.78,4,4.35,45,48.91,1,1.09,20,21.74,0,0.0,1,1.09,1,1.09,4,4.35,6,6.52,1,1.09,15018
15,19,139,32,23.02,1,0.72,49,35.25,1,0.72,7,5.04,1,0.72,23,16.55,8,5.76,13,9.35,2,1.44,2,1.44,15019
15,20,112,23,20.54,5,4.46,54,48.21,3,2.68,5,4.46,4,3.57,1,0.89,1,0.89,4,3.57,10,8.93,2,1.79,15020
15,21,120,31,25.83,5,4.17,44,36.67,4,3.33,3,2.5,1,0.83,3,2.5,5,4.17,19,15.83,2,1.67,3,2.5,15021
15,22,144,38,26.39,10,6.94,38,26.39,2,1.39,2,1.39,0,0.0,8,5.56,2,1.39,5,3.47,28,19.44,11,7.64,15022
15,23,85,22,25.88,4,4.71,31,36.47,0,0.0,0,0.0,0,0.0,8,9.41,7,8.24,3,3.53,3,3.53,7,8.24,15023
15,24,165,49,29.7,9,5.45,38,23.03,25,15.15,3,1.82,9,5.45,3,1.82,3,1.82,12,7.27,11,6.67,3,1.82,15024
