ward,precinct,total,Regner ''Ray'' Suarez,Regner ''Ray'' Suarez Percent,Reinaldo ''Ray'' Hernandez,Reinaldo ''Ray'' Hernandez Percent,precinct_id
31,1,67,62,92.54,5,7.46,31001
31,2,84,71,84.52,13,15.48,31002
31,3,130,123,94.62,7,5.38,31003
31,4,105,89,84.76,16,15.24,31004
31,5,130,114,87.69,16,12.31,31005
31,6,112,103,91.96,9,8.04,31006
31,7,106,87,82.08,19,17.92,31007
31,8,103,85,82.52,18,17.48,31008
31,9,93,78,83.87,15,16.13,31009
31,10,67,66,98.51,1,1.49,31010
31,11,86,77,89.53,9,10.47,31011
31,12,100,87,87.0,13,13.0,31012
31,13,86,75,87.21,11,12.79,31013
31,14,96,78,81.25,18,18.75,31014
31,15,63,55,87.3,8,12.7,31015
31,16,52,36,69.23,16,30.77,31016
31,17,119,105,88.24,14,11.76,31017
31,18,112,105,93.75,7,6.25,31018
31,19,100,94,94.0,6,6.0,31019
31,20,101,83,82.18,18,17.82,31020
31,21,120,101,84.17,19,15.83,31021
31,22,74,58,78.38,16,21.62,31022
31,23,70,63,90.0,7,10.0,31023
31,24,94,76,80.85,18,19.15,31024
31,25,121,104,85.95,17,14.05,31025
31,26,68,58,85.29,10,14.71,31026
31,27,113,94,83.19,19,16.81,31027
31,28,122,105,86.07,17,13.93,31028
31,29,91,79,86.81,12,13.19,31029
31,30,142,132,92.96,10,7.04,31030
31,31,136,119,87.5,17,12.5,31031
31,32,159,145,91.19,14,8.81,31032
31,33,98,84,85.71,14,14.29,31033
31,34,92,72,78.26,20,21.74,31034
31,35,98,83,84.69,15,15.31,31035
31,36,136,113,83.09,23,16.91,31036
31,37,115,87,75.65,28,24.35,31037
31,38,74,65,87.84,9,12.16,31038
31,39,83,74,89.16,9,10.84,31039
31,40,102,94,92.16,8,7.84,31040
31,41,112,94,83.93,18,16.07,31041
31,42,155,113,72.9,42,27.1,31042
31,43,110,96,87.27,14,12.73,31043
31,44,103,85,82.52,18,17.48,31044
31,45,103,86,83.5,17,16.5,31045
31,46,123,116,94.31,7,5.69,31046
31,47,138,110,79.71,28,20.29,31047
31,48,106,94,88.68,12,11.32,31048
31,49,76,70,92.11,6,7.89,31049
31,50,125,103,82.4,22,17.6,31050
31,51,89,80,89.89,9,10.11,31051
