ward,precinct,total,Thomas Worthy,Thomas Worthy Percent,Michael D. Chandler,Michael D. Chandler Percent,Julius Anderson,Julius Anderson Percent,Donald Patterson,Donald Patterson Percent,Sharon Denise Dixon,Sharon Denise Dixon Percent,Willie G. Brooks,Willie G. Brooks Percent,Martavius ''Mark'' Carter,Martavius ''Mark'' Carter Percent,precinct_id
24,1,120,17,14.17,37,30.83,20,16.67,24,20.0,15,12.5,3,2.5,4,3.33,24001
24,2,107,10,9.35,30,28.04,5,4.67,11,10.28,29,27.1,5,4.67,17,15.89,24002
24,3,167,25,14.97,51,30.54,7,4.19,14,8.38,51,30.54,0,0.0,19,11.38,24003
24,4,158,13,8.23,58,36.71,14,8.86,12,7.59,48,30.38,7,4.43,6,3.8,24004
24,5,147,24,16.33,61,41.5,12,8.16,19,12.93,15,10.2,2,1.36,14,9.52,24005
24,6,198,69,34.85,54,27.27,8,4.04,12,6.06,36,18.18,1,0.51,18,9.09,24006
24,7,128,8,6.25,65,50.78,8,6.25,14,10.94,32,25.0,1,0.78,0,0.0,24007
24,8,144,5,3.47,31,21.53,56,38.89,22,15.28,23,15.97,2,1.39,5,3.47,24008
24,9,160,21,13.13,52,32.5,9,5.63,13,8.13,26,16.25,1,0.63,38,23.75,24009
24,10,148,18,12.16,53,35.81,10,6.76,16,10.81,41,27.7,5,3.38,5,3.38,24010
24,11,96,5,5.21,22,22.92,25,26.04,25,26.04,10,10.42,1,1.04,8,8.33,24011
24,12,141,6,4.26,34,24.11,7,4.96,32,22.7,14,9.93,1,0.71,47,33.33,24012
24,13,142,11,7.75,45,31.69,5,3.52,7,4.93,44,30.99,1,0.7,29,20.42,24013
24,14,212,10,4.72,78,36.79,12,5.66,37,17.45,52,24.53,2,0.94,21,9.91,24014
24,15,159,12,7.55,51,32.08,6,3.77,20,12.58,25,15.72,3,1.89,42,26.42,24015
24,16,94,11,11.7,45,47.87,2,2.13,11,11.7,21,22.34,1,1.06,3,3.19,24016
24,17,82,3,3.66,38,46.34,3,3.66,7,8.54,20,24.39,10,12.2,1,1.22,24017
24,18,85,11,12.94,39,45.88,5,5.88,1,1.18,25,29.41,3,3.53,1,1.18,24018
24,19,137,4,2.92,30,21.9,68,49.64,12,8.76,21,15.33,1,0.73,1,0.73,24019
24,20,148,12,8.11,82,55.41,9,6.08,18,12.16,20,13.51,2,1.35,5,3.38,24020
24,21,93,3,3.23,25,26.88,9,9.68,16,17.2,26,27.96,0,0.0,14,15.05,24021
24,22,163,18,11.04,71,43.56,14,8.59,26,15.95,22,13.5,5,3.07,7,4.29,24022
24,23,110,5,4.55,38,34.55,12,10.91,14,12.73,28,25.45,2,1.82,11,10.0,24023
24,24,109,15,13.76,34,31.19,16,14.68,12,11.01,15,13.76,1,0.92,16,14.68,24024
24,25,203,4,1.97,52,25.62,87,42.86,23,11.33,21,10.34,12,5.91,4,1.97,24025
24,26,170,41,24.12,36,21.18,6,3.53,19,11.18,50,29.41,4,2.35,14,8.24,24026
24,27,107,14,13.08,31,28.97,6,5.61,14,13.08,29,27.1,5,4.67,8,7.48,24027
24,28,217,14,6.45,64,29.49,90,41.47,14,6.45,24,11.06,8,3.69,3,1.38,24028
24,29,143,11,7.69,61,42.66,21,14.69,19,13.29,24,16.78,6,4.2,1,0.7,24029
24,30,130,14,10.77,37,28.46,35,26.92,8,6.15,23,17.69,3,2.31,10,7.69,24030
24,31,139,30,21.58,32,23.02,13,9.35,11,7.91,20,14.39,1,0.72,32,23.02,24031
24,32,160,16,10.0,69,43.13,9,5.63,8,5.0,17,10.63,33,20.63,8,5.0,24032
24,33,96,16,16.67,49,51.04,3,3.13,6,6.25,15,15.63,6,6.25,1,1.04,24033
24,34,159,32,20.13,39,24.53,16,10.06,13,8.18,29,18.24,8,5.03,22,13.84,24034
24,35,181,12,6.63,76,41.99,11,6.08,19,10.5,38,20.99,5,2.76,20,11.05,24035
24,36,121,7,5.79,48,39.67,25,20.66,21,17.36,13,10.74,4,3.31,3,2.48,24036
24,37,212,26,12.26,50,23.58,9,4.25,8,3.77,85,40.09,1,0.47,33,15.57,24037
24,38,162,21,12.96,79,48.77,13,8.02,12,7.41,33,20.37,2,1.23,2,1.23,24038
24,39,143,5,3.5,76,53.15,24,16.78,10,6.99,12,8.39,13,9.09,3,2.1,24039
24,40,200,55,27.5,64,32.0,16,8.0,19,9.5,31,15.5,1,0.5,14,7.0,24040
