ward,precinct,total,"Walter Burnett, Jr.","Walter Burnett, Jr. Percent",precinct_id
27,1,62,62,100.0,27001
27,2,89,89,100.0,27002
27,3,116,116,100.0,27003
27,4,79,79,100.0,27004
27,5,30,30,100.0,27005
27,6,67,67,100.0,27006
27,7,81,81,100.0,27007
27,8,108,108,100.0,27008
27,9,166,166,100.0,27009
27,10,188,188,100.0,27010
27,11,102,102,100.0,27011
27,12,92,92,100.0,27012
27,13,80,80,100.0,27013
27,14,176,176,100.0,27014
27,15,88,88,100.0,27015
27,16,38,38,100.0,27016
27,17,71,71,100.0,27017
27,18,95,95,100.0,27018
27,19,90,90,100.0,27019
27,20,162,162,100.0,27020
27,21,110,110,100.0,27021
27,22,127,127,100.0,27022
27,23,22,22,100.0,27023
27,24,108,108,100.0,27024
27,25,76,76,100.0,27025
27,26,120,120,100.0,27026
27,27,63,63,100.0,27027
27,28,127,127,100.0,27028
27,29,85,85,100.0,27029
27,30,67,67,100.0,27030
27,31,98,98,100.0,27031
27,32,149,149,100.0,27032
27,33,90,90,100.0,27033
27,34,123,123,100.0,27034
27,35,75,75,100.0,27035
27,36,124,124,100.0,27036
27,37,125,125,100.0,27037
27,38,63,63,100.0,27038
27,39,60,60,100.0,27039
27,40,98,98,100.0,27040
27,41,85,85,100.0,27041
27,42,52,52,100.0,27042
27,43,33,33,100.0,27043
27,44,70,70,100.0,27044
27,45,79,79,100.0,27045
27,46,126,126,100.0,27046
27,47,105,105,100.0,27047
27,48,152,152,100.0,27048
27,49,110,110,100.0,27049
27,50,98,98,100.0,27050
27,51,64,64,100.0,27051
27,52,100,100,100.0,27052
27,53,91,91,100.0,27053
27,54,72,72,100.0,27054
27,55,96,96,100.0,27055
27,56,52,52,100.0,27056
27,57,56,56,100.0,27057
27,58,37,37,100.0,27058
27,59,134,134,100.0,27059
