ward,precinct,total,Mildred McClendon,Mildred McClendon Percent,Sylvia Y. Jones,Sylvia Y. Jones Percent,"Leroy J. Jones, Jr.","Leroy J. Jones, Jr. Percent",Dwayne Belle,Dwayne Belle Percent,"Howard B. Brookins, Jr.","Howard B. Brookins, Jr. Percent",precinct_id
21,1,307,10,3.26,23,7.49,125,40.72,0,0.0,149,48.53,21001
21,2,198,6,3.03,8,4.04,66,33.33,5,2.53,113,57.07,21002
21,3,176,15,8.52,8,4.55,67,38.07,1,0.57,85,48.3,21003
21,4,208,14,6.73,7,3.37,85,40.87,4,1.92,98,47.12,21004
21,5,198,4,2.02,7,3.54,70,35.35,6,3.03,111,56.06,21005
21,6,177,27,15.25,9,5.08,58,32.77,3,1.69,80,45.2,21006
21,7,238,3,1.26,11,4.62,112,47.06,1,0.42,111,46.64,21007
21,8,229,25,10.92,15,6.55,94,41.05,5,2.18,90,39.3,21008
21,9,212,39,18.4,8,3.77,65,30.66,1,0.47,99,46.7,21009
21,10,148,11,7.43,17,11.49,42,28.38,3,2.03,75,50.68,21010
21,11,229,12,5.24,86,37.55,42,18.34,8,3.49,81,35.37,21011
21,12,240,4,1.67,52,21.67,59,24.58,2,0.83,123,51.25,21012
21,13,124,7,5.65,19,15.32,26,20.97,4,3.23,68,54.84,21013
21,14,181,9,4.97,6,3.31,78,43.09,1,0.55,87,48.07,21014
21,15,175,12,6.86,13,7.43,90,51.43,3,1.71,57,32.57,21015
21,16,189,14,7.41,6,3.17,80,42.33,2,1.06,87,46.03,21016
21,17,180,8,4.44,9,5.0,65,36.11,0,0.0,98,54.44,21017
21,18,203,18,8.87,9,4.43,62,30.54,5,2.46,109,53.69,21018
21,19,155,15,9.68,8,5.16,56,36.13,4,2.58,72,46.45,21019
21,20,118,3,2.54,6,5.08,45,38.14,1,0.85,63,53.39,21020
21,21,247,12,4.86,24,9.72,127,51.42,4,1.62,80,32.39,21021
21,22,203,18,8.87,14,6.9,100,49.26,2,0.99,69,33.99,21022
21,23,177,5,2.82,15,8.47,38,21.47,39,22.03,80,45.2,21023
21,24,227,10,4.41,9,3.96,65,28.63,1,0.44,142,62.56,21024
21,25,171,3,1.75,14,8.19,44,25.73,44,25.73,66,38.6,21025
21,26,148,6,4.05,11,7.43,27,18.24,45,30.41,59,39.86,21026
21,27,237,11,4.64,22,9.28,61,25.74,12,5.06,131,55.27,21027
21,28,177,23,12.99,17,9.6,71,40.11,4,2.26,62,35.03,21028
21,29,107,10,9.35,13,12.15,48,44.86,2,1.87,34,31.78,21029
21,30,161,24,14.91,12,7.45,70,43.48,1,0.62,54,33.54,21030
21,31,268,10,3.73,28,10.45,65,24.25,42,15.67,123,45.9,21031
21,32,160,29,18.13,8,5.0,61,38.13,0,0.0,62,38.75,21032
21,33,196,5,2.55,14,7.14,95,48.47,3,1.53,79,40.31,21033
21,34,223,17,7.62,16,7.17,66,29.6,0,0.0,124,55.61,21034
21,35,125,8,6.4,8,6.4,66,52.8,2,1.6,41,32.8,21035
21,36,161,17,10.56,12,7.45,69,42.86,1,0.62,62,38.51,21036
21,37,169,19,11.24,23,13.61,46,27.22,6,3.55,75,44.38,21037
21,38,192,19,9.9,14,7.29,78,40.63,2,1.04,79,41.15,21038
21,39,171,18,10.53,7,4.09,59,34.5,2,1.17,85,49.71,21039
21,40,187,10,5.35,27,14.44,61,32.62,5,2.67,84,44.92,21040
21,41,157,12,7.64,10,6.37,46,29.3,4,2.55,85,54.14,21041
21,42,204,15,7.35,28,13.73,80,39.22,5,2.45,76,37.25,21042
21,43,177,6,3.39,37,20.9,58,32.77,8,4.52,68,38.42,21043
21,44,210,76,36.19,14,6.67,48,22.86,2,0.95,70,33.33,21044
21,45,162,7,4.32,7,4.32,45,27.78,2,1.23,101,62.35,21045
21,46,117,4,3.42,15,12.82,35,29.91,16,13.68,47,40.17,21046
21,47,265,8,3.02,15,5.66,74,27.92,10,3.77,158,59.62,21047
21,48,215,6,2.79,28,13.02,68,31.63,17,7.91,96,44.65,21048
21,49,261,24,9.2,16,6.13,75,28.74,8,3.07,138,52.87,21049
21,50,213,24,11.27,10,4.69,44,20.66,1,0.47,134,62.91,21050
21,51,240,21,8.75,10,4.17,86,35.83,9,3.75,114,47.5,21051
21,52,215,26,12.09,19,8.84,90,41.86,3,1.4,77,35.81,21052
21,53,165,8,4.85,38,23.03,22,13.33,2,1.21,95,57.58,21053
21,54,214,7,3.27,26,12.15,64,29.91,5,2.34,112,52.34,21054
21,55,229,5,2.18,17,7.42,84,36.68,15,6.55,108,47.16,21055
21,56,157,24,15.29,12,7.64,62,39.49,1,0.64,58,36.94,21056
21,57,174,23,13.22,18,10.34,82,47.13,2,1.15,49,28.16,21057
21,58,146,3,2.05,42,28.77,25,17.12,0,0.0,76,52.05,21058
21,59,253,18,7.11,37,14.62,67,26.48,11,4.35,120,47.43,21059
21,60,212,22,10.38,10,4.72,73,34.43,6,2.83,101,47.64,21060
21,61,221,26,11.76,23,10.41,62,28.05,7,3.17,103,46.61,21061
21,62,210,21,10.0,9,4.29,73,34.76,3,1.43,104,49.52,21062
21,63,173,16,9.25,11,6.36,54,31.21,3,1.73,89,51.45,21063
21,64,110,7,6.36,8,7.27,51,46.36,2,1.82,42,38.18,21064
21,65,293,16,5.46,30,10.24,77,26.28,5,1.71,165,56.31,21065
21,66,153,18,11.76,23,15.03,39,25.49,4,2.61,69,45.1,21066
21,67,194,14,7.22,19,9.79,72,37.11,4,2.06,85,43.81,21067
21,68,184,12,6.52,16,8.7,60,32.61,6,3.26,90,48.91,21068
21,69,156,14,8.97,13,8.33,45,28.85,1,0.64,83,53.21,21069
21,70,183,12,6.56,10,5.46,92,50.27,2,1.09,67,36.61,21070
21,71,147,14,9.52,13,8.84,61,41.5,4,2.72,55,37.41,21071
21,72,183,28,15.3,8,4.37,69,37.7,3,1.64,75,40.98,21072
21,73,236,14,5.93,27,11.44,86,36.44,3,1.27,106,44.92,21073
21,74,75,1,1.33,6,8.0,42,56.0,2,2.67,24,32.0,21074
