ward,precinct,total,Isaac ''Ike'' Sims Carothers,Isaac ''Ike'' Sims Carothers Percent,precinct_id
29,1,178,178,100.0,29001
29,2,110,110,100.0,29002
29,3,227,227,100.0,29003
29,4,164,164,100.0,29004
29,5,138,138,100.0,29005
29,6,80,80,100.0,29006
29,7,101,101,100.0,29007
29,8,114,114,100.0,29008
29,9,96,96,100.0,29009
29,10,139,139,100.0,29010
29,11,168,168,100.0,29011
29,12,181,181,100.0,29012
29,13,163,163,100.0,29013
29,14,220,220,100.0,29014
29,15,166,166,100.0,29015
29,16,196,196,100.0,29016
29,17,121,121,100.0,29017
29,18,188,188,100.0,29018
29,19,133,133,100.0,29019
29,20,163,163,100.0,29020
29,21,112,112,100.0,29021
29,22,160,160,100.0,29022
29,23,157,157,100.0,29023
29,24,115,115,100.0,29024
29,25,145,145,100.0,29025
29,26,209,209,100.0,29026
29,27,105,105,100.0,29027
29,28,198,198,100.0,29028
29,29,207,207,100.0,29029
29,30,106,106,100.0,29030
29,31,126,126,100.0,29031
29,32,116,116,100.0,29032
29,33,193,193,100.0,29033
29,34,108,108,100.0,29034
29,35,108,108,100.0,29035
29,36,168,168,100.0,29036
29,37,146,146,100.0,29037
29,38,143,143,100.0,29038
29,39,119,119,100.0,29039
29,40,206,206,100.0,29040
29,41,198,198,100.0,29041
29,42,174,174,100.0,29042
29,43,206,206,100.0,29043
29,44,131,131,100.0,29044
29,45,121,121,100.0,29045
29,46,128,128,100.0,29046
29,47,202,202,100.0,29047
29,48,123,123,100.0,29048
29,49,211,211,100.0,29049
29,50,141,141,100.0,29050
29,51,133,133,100.0,29051
29,52,75,75,100.0,29052
