ward,precinct,total,Darcel A. Beavers,Darcel A. Beavers Percent,Eric R. Brown,Eric R. Brown Percent,Sandi Jackson,Sandi Jackson Percent,precinct_id
7,1,270,100,37.04,3,1.11,146,54.07,07001
7,2,256,84,32.81,2,0.78,145,56.64,07002
7,3,162,42,25.93,6,3.7,95,58.64,07003
7,4,162,55,33.95,3,1.85,95,58.64,07004
7,5,177,79,44.63,3,1.69,83,46.89,07005
7,6,178,69,38.76,4,2.25,96,53.93,07006
7,7,144,54,37.5,3,2.08,75,52.08,07007
7,8,81,19,23.46,3,3.7,55,67.9,07008
7,9,184,47,25.54,3,1.63,125,67.93,07009
7,10,145,36,24.83,4,2.76,94,64.83,07010
7,11,239,52,21.76,2,0.84,169,70.71,07011
7,12,154,60,38.96,2,1.3,86,55.84,07012
7,13,147,40,27.21,4,2.72,94,63.95,07013
7,14,218,64,29.36,7,3.21,130,59.63,07014
7,15,125,42,33.6,1,0.8,76,60.8,07015
7,16,138,50,36.23,5,3.62,79,57.25,07016
7,17,134,57,42.54,3,2.24,66,49.25,07017
7,18,136,29,21.32,4,2.94,91,66.91,07018
7,19,326,115,35.28,4,1.23,172,52.76,07019
7,20,100,31,31.0,4,4.0,61,61.0,07020
7,21,209,66,31.58,1,0.48,127,60.77,07021
7,22,155,54,34.84,5,3.23,85,54.84,07022
7,23,162,41,25.31,1,0.62,104,64.2,07023
7,24,201,85,42.29,3,1.49,95,47.26,07024
7,25,256,100,39.06,7,2.73,132,51.56,07025
7,26,295,131,44.41,1,0.34,129,43.73,07026
7,27,332,73,21.99,1,0.3,211,63.55,07027
7,28,216,65,30.09,7,3.24,134,62.04,07028
7,29,134,50,37.31,0,0.0,78,58.21,07029
7,30,255,103,40.39,2,0.78,129,50.59,07030
7,31,209,82,39.23,2,0.96,113,54.07,07031
7,32,186,59,31.72,3,1.61,101,54.3,07032
7,33,188,82,43.62,2,1.06,93,49.47,07033
7,34,198,71,35.86,5,2.53,111,56.06,07034
7,35,115,25,21.74,4,3.48,69,60.0,07035
7,36,249,101,40.56,2,0.8,128,51.41,07036
7,37,96,42,43.75,3,3.13,41,42.71,07037
7,38,154,54,35.06,2,1.3,88,57.14,07038
7,39,170,42,24.71,4,2.35,113,66.47,07039
7,40,218,53,24.31,5,2.29,142,65.14,07040
7,41,162,44,27.16,3,1.85,90,55.56,07041
7,42,312,117,37.5,6,1.92,170,54.49,07042
7,43,222,88,39.64,5,2.25,104,46.85,07043
7,44,266,69,25.94,8,3.01,172,64.66,07044
7,45,318,78,24.53,2,0.63,227,71.38,07045
7,46,128,44,34.38,4,3.13,74,57.81,07046
7,47,183,72,39.34,4,2.19,95,51.91,07047
7,48,87,22,25.29,1,1.15,62,71.26,07048
7,49,109,48,44.04,3,2.75,52,47.71,07049
7,50,147,40,27.21,5,3.4,90,61.22,07050
7,51,183,57,31.15,2,1.09,102,55.74,07051
7,52,181,80,44.2,0,0.0,87,48.07,07052
7,53,174,85,48.85,7,4.02,67,38.51,07053
7,54,79,25,31.65,1,1.27,43,54.43,07054
7,55,191,76,39.79,1,0.52,97,50.79,07055
7,56,172,50,29.07,6,3.49,102,59.3,07056
7,57,159,46,28.93,3,1.89,95,59.75,07057
7,58,269,110,40.89,1,0.37,119,44.24,07058
7,59,113,44,38.94,0,0.0,61,53.98,07059
7,60,132,50,37.88,2,1.52,68,51.52,07060
7,61,184,54,29.35,2,1.09,105,57.07,07061
7,62,174,57,32.76,8,4.6,94,54.02,07062
7,63,169,44,26.04,6,3.55,108,63.91,07063
7,64,198,50,25.25,0,0.0,141,71.21,07064
7,65,183,53,28.96,6,3.28,112,61.2,07065
