ward,precinct,total,Richard M. Daley,Richard M. Daley Percent,"William Walls, III","William Walls, III Percent",Dorothy A. Brown,Dorothy A. Brown Percent,precinct_id
1,1,135,104,77.04,6,4.44,25,18.52,01001
1,2,92,66,71.74,5,5.43,21,22.83,01002
1,3,56,28,50.0,7,12.5,21,37.5,01003
1,4,97,76,78.35,8,8.25,13,13.4,01004
1,5,74,50,67.57,4,5.41,20,27.03,01005
1,6,118,97,82.2,8,6.78,13,11.02,01006
1,7,110,87,79.09,4,3.64,19,17.27,01007
1,8,85,64,75.29,4,4.71,17,20.0,01008
1,9,127,94,74.02,14,11.02,19,14.96,01009
1,10,91,59,64.84,15,16.48,17,18.68,01010
1,11,79,67,84.81,3,3.8,9,11.39,01011
1,12,96,78,81.25,7,7.29,11,11.46,01012
1,13,153,121,79.08,8,5.23,24,15.69,01013
1,14,120,87,72.5,10,8.33,23,19.17,01014
1,15,113,83,73.45,5,4.42,25,22.12,01015
1,16,84,52,61.9,7,8.33,25,29.76,01016
1,17,71,52,73.24,5,7.04,14,19.72,01017
1,18,100,73,73.0,6,6.0,21,21.0,01018
1,19,117,89,76.07,12,10.26,16,13.68,01019
1,20,193,171,88.6,10,5.18,12,6.22,01020
1,21,89,68,76.4,6,6.74,15,16.85,01021
1,22,143,124,86.71,5,3.5,14,9.79,01022
1,23,110,90,81.82,6,5.45,14,12.73,01023
1,24,193,143,74.09,12,6.22,38,19.69,01024
1,25,77,50,64.94,5,6.49,22,28.57,01025
1,26,70,55,78.57,4,5.71,11,15.71,01026
1,27,75,50,66.67,10,13.33,15,20.0,01027
1,28,92,50,54.35,8,8.7,34,36.96,01028
1,29,104,88,84.62,6,5.77,10,9.62,01029
1,30,200,161,80.5,13,6.5,26,13.0,01030
1,31,71,55,77.46,5,7.04,11,15.49,01031
1,32,159,125,78.62,9,5.66,25,15.72,01032
1,33,121,93,76.86,3,2.48,25,20.66,01033
1,34,64,55,85.94,3,4.69,6,9.38,01034
1,35,62,55,88.71,1,1.61,6,9.68,01035
1,36,87,70,80.46,4,4.6,13,14.94,01036
1,37,72,58,80.56,4,5.56,10,13.89,01037
1,38,71,60,84.51,2,2.82,9,12.68,01038
1,39,171,148,86.55,10,5.85,13,7.6,01039
1,40,65,59,90.77,4,6.15,2,3.08,01040
1,41,124,95,76.61,7,5.65,22,17.74,01041
1,42,95,73,76.84,4,4.21,18,18.95,01042
1,43,97,79,81.44,5,5.15,13,13.4,01043
1,44,97,68,70.1,5,5.15,24,24.74,01044
1,45,119,101,84.87,4,3.36,14,11.76,01045
1,46,118,87,73.73,11,9.32,20,16.95,01046
1,47,75,58,77.33,4,5.33,13,17.33,01047
1,48,96,67,69.79,7,7.29,22,22.92,01048
1,49,42,32,76.19,0,0.0,10,23.81,01049
1,50,80,53,66.25,5,6.25,22,27.5,01050
2,1,270,217,80.37,18,6.67,35,12.96,02001
2,2,2,1,50.0,1,50.0,0,0.0,02002
2,3,170,123,72.35,13,7.65,34,20.0,02003
2,4,155,101,65.16,16,10.32,38,24.52,02004
2,5,98,44,44.9,17,17.35,37,37.76,02005
2,6,160,138,86.25,3,1.88,19,11.88,02006
2,7,253,146,57.71,40,15.81,67,26.48,02007
2,8,304,239,78.62,23,7.57,42,13.82,02008
2,9,157,88,56.05,19,12.1,50,31.85,02009
2,10,32,8,25.0,2,6.25,22,68.75,02010
2,11,143,119,83.22,3,2.1,21,14.69,02011
2,12,200,166,83.0,12,6.0,22,11.0,02012
2,13,180,134,74.44,19,10.56,27,15.0,02013
2,14,289,175,60.55,33,11.42,81,28.03,02014
2,15,33,16,48.48,6,18.18,11,33.33,02015
2,16,229,178,77.73,19,8.3,32,13.97,02016
2,17,157,88,56.05,19,12.1,50,31.85,02017
2,18,266,238,89.47,10,3.76,18,6.77,02018
2,19,263,213,80.99,16,6.08,34,12.93,02019
2,20,258,185,71.71,17,6.59,56,21.71,02020
2,21,301,225,74.75,25,8.31,51,16.94,02021
2,22,390,306,78.46,23,5.9,61,15.64,02022
2,23,136,77,56.62,21,15.44,38,27.94,02023
2,24,105,53,50.48,13,12.38,39,37.14,02024
2,25,100,78,78.0,4,4.0,18,18.0,02025
2,26,425,309,72.71,40,9.41,76,17.88,02026
2,27,201,94,46.77,33,16.42,74,36.82,02027
2,28,79,68,86.08,5,6.33,6,7.59,02028
2,29,80,65,81.25,3,3.75,12,15.0,02029
2,30,44,22,50.0,4,9.09,18,40.91,02030
2,31,261,158,60.54,34,13.03,69,26.44,02031
2,32,70,34,48.57,8,11.43,28,40.0,02032
2,33,119,59,49.58,16,13.45,44,36.97,02033
