ward,precinct,total,Ed H. Smith,Ed H. Smith Percent,Chubby C. Rover,Chubby C. Rover Percent,Donald Greer,Donald Greer Percent,CaSandra Colvin,CaSandra Colvin Percent,Shawn A. Walker,Shawn A. Walker Percent,Alexzandual ''Alex'' M. Lyons,Alexzandual ''Alex'' M. Lyons Percent,precinct_id
28,1,130,80,61.54,6,4.62,4,3.08,3,2.31,34,26.15,3,2.31,28001
28,2,175,93,53.14,10,5.71,11,6.29,14,8.0,42,24.0,5,2.86,28002
28,3,96,59,61.46,5,5.21,4,4.17,14,14.58,13,13.54,1,1.04,28003
28,4,176,94,53.41,2,1.14,4,2.27,3,1.7,72,40.91,1,0.57,28004
28,5,145,97,66.9,11,7.59,5,3.45,4,2.76,27,18.62,1,0.69,28005
28,6,115,69,60.0,4,3.48,5,4.35,5,4.35,26,22.61,6,5.22,28006
28,7,126,63,50.0,4,3.17,1,0.79,5,3.97,49,38.89,4,3.17,28007
28,8,100,47,47.0,9,9.0,1,1.0,2,2.0,41,41.0,0,0.0,28008
28,9,114,71,62.28,10,8.77,3,2.63,4,3.51,23,20.18,3,2.63,28009
28,10,36,26,72.22,0,0.0,0,0.0,1,2.78,8,22.22,1,2.78,28010
28,11,112,52,46.43,3,2.68,3,2.68,3,2.68,46,41.07,5,4.46,28011
28,12,99,61,61.62,5,5.05,0,0.0,2,2.02,30,30.3,1,1.01,28012
28,13,78,39,50.0,7,8.97,0,0.0,6,7.69,25,32.05,1,1.28,28013
28,14,92,49,53.26,31,33.7,1,1.09,1,1.09,8,8.7,2,2.17,28014
28,15,139,73,52.52,14,10.07,4,2.88,1,0.72,44,31.65,3,2.16,28015
28,16,107,61,57.01,18,16.82,1,0.93,4,3.74,22,20.56,1,0.93,28016
28,17,144,99,68.75,6,4.17,3,2.08,4,2.78,32,22.22,0,0.0,28017
28,18,187,112,59.89,5,2.67,5,2.67,11,5.88,51,27.27,3,1.6,28018
28,19,134,89,66.42,10,7.46,2,1.49,3,2.24,28,20.9,2,1.49,28019
28,20,161,100,62.11,20,12.42,7,4.35,6,3.73,27,16.77,1,0.62,28020
28,21,161,90,55.9,32,19.88,3,1.86,5,3.11,30,18.63,1,0.62,28021
28,22,135,83,61.48,5,3.7,15,11.11,7,5.19,23,17.04,2,1.48,28022
28,23,144,70,48.61,13,9.03,3,2.08,3,2.08,47,32.64,8,5.56,28023
28,24,90,56,62.22,6,6.67,3,3.33,2,2.22,20,22.22,3,3.33,28024
28,25,139,90,64.75,4,2.88,1,0.72,4,2.88,39,28.06,1,0.72,28025
28,26,142,92,64.79,0,0.0,5,3.52,1,0.7,36,25.35,8,5.63,28026
28,27,160,92,57.5,8,5.0,4,2.5,5,3.13,46,28.75,5,3.13,28027
28,28,106,57,53.77,4,3.77,5,4.72,3,2.83,34,32.08,3,2.83,28028
28,29,143,91,63.64,13,9.09,4,2.8,23,16.08,6,4.2,6,4.2,28029
28,30,107,46,42.99,15,14.02,6,5.61,3,2.8,29,27.1,8,7.48,28030
28,31,135,72,53.33,3,2.22,11,8.15,4,2.96,23,17.04,22,16.3,28031
28,32,113,62,54.87,4,3.54,5,4.42,11,9.73,27,23.89,4,3.54,28032
28,33,172,81,47.09,1,0.58,4,2.33,2,1.16,81,47.09,3,1.74,28033
28,34,28,21,75.0,4,14.29,0,0.0,2,7.14,1,3.57,0,0.0,28034
28,35,90,64,71.11,2,2.22,7,7.78,2,2.22,13,14.44,2,2.22,28035
28,36,110,58,52.73,4,3.64,10,9.09,15,13.64,20,18.18,3,2.73,28036
28,37,241,179,74.27,8,3.32,7,2.9,9,3.73,35,14.52,3,1.24,28037
28,38,55,45,81.82,1,1.82,0,0.0,5,9.09,2,3.64,2,3.64,28038
28,39,133,76,57.14,22,16.54,5,3.76,1,0.75,28,21.05,1,0.75,28039
28,40,180,82,45.56,5,2.78,2,1.11,2,1.11,87,48.33,2,1.11,28040
28,41,138,98,71.01,4,2.9,0,0.0,5,3.62,30,21.74,1,0.72,28041
28,42,120,79,65.83,5,4.17,2,1.67,3,2.5,29,24.17,2,1.67,28042
28,43,192,128,66.67,8,4.17,7,3.65,8,4.17,39,20.31,2,1.04,28043
28,44,165,70,42.42,18,10.91,16,9.7,4,2.42,52,31.52,5,3.03,28044
28,45,159,111,69.81,12,7.55,0,0.0,3,1.89,33,20.75,0,0.0,28045
28,46,133,87,65.41,11,8.27,1,0.75,3,2.26,30,22.56,1,0.75,28046
28,47,166,113,68.07,2,1.2,11,6.63,7,4.22,26,15.66,7,4.22,28047
28,48,64,37,57.81,9,14.06,4,6.25,0,0.0,14,21.88,0,0.0,28048
28,49,63,29,46.03,7,11.11,5,7.94,5,7.94,17,26.98,0,0.0,28049
28,50,74,51,68.92,7,9.46,3,4.05,6,8.11,7,9.46,0,0.0,28050
28,51,126,73,57.94,13,10.32,13,10.32,0,0.0,23,18.25,4,3.17,28051
28,52,106,80,75.47,12,11.32,1,0.94,7,6.6,3,2.83,3,2.83,28052
28,53,60,42,70.0,2,3.33,2,3.33,8,13.33,6,10.0,0,0.0,28053
28,54,112,86,76.79,2,1.79,5,4.46,4,3.57,15,13.39,0,0.0,28054
28,55,120,74,61.67,16,13.33,3,2.5,5,4.17,21,17.5,1,0.83,28055
28,56,146,74,50.68,13,8.9,1,0.68,2,1.37,47,32.19,9,6.16,28056
28,57,184,88,47.83,9,4.89,8,4.35,3,1.63,71,38.59,5,2.72,28057
28,58,126,79,62.7,8,6.35,2,1.59,3,2.38,33,26.19,1,0.79,28058
28,59,83,63,75.9,1,1.2,5,6.02,4,4.82,10,12.05,0,0.0,28059
28,60,99,67,67.68,5,5.05,2,2.02,3,3.03,20,20.2,2,2.02,28060
28,61,65,48,73.85,1,1.54,1,1.54,7,10.77,8,12.31,0,0.0,28061
