ward,precinct,total,Bernard L. Stone,Bernard L. Stone Percent,Naisy Dolar,Naisy Dolar Percent,Greg Brewer,Greg Brewer Percent,Salman Aftab,Salman Aftab Percent,precinct_id
50,1,358,187,52.23,133,37.15,32,8.94,6,1.68,50001
50,2,335,166,49.55,114,34.03,45,13.43,10,2.99,50002
50,3,272,159,58.46,79,29.04,28,10.29,6,2.21,50003
50,4,250,83,33.2,87,34.8,66,26.4,14,5.6,50004
50,5,322,194,60.25,80,24.84,39,12.11,9,2.8,50005
50,6,204,95,46.57,85,41.67,17,8.33,7,3.43,50006
50,7,292,56,19.18,137,46.92,92,31.51,7,2.4,50007
50,8,161,47,29.19,49,30.43,49,30.43,16,9.94,50008
50,9,227,76,33.48,112,49.34,27,11.89,12,5.29,50009
50,10,201,121,60.2,50,24.88,17,8.46,13,6.47,50010
50,11,283,211,74.56,40,14.13,22,7.77,10,3.53,50011
50,12,190,167,87.89,18,9.47,3,1.58,2,1.05,50012
50,13,231,69,29.87,55,23.81,51,22.08,56,24.24,50013
50,14,142,105,73.94,30,21.13,7,4.93,0,0.0,50014
50,15,293,44,15.02,161,54.95,87,29.69,1,0.34,50015
50,16,164,129,78.66,23,14.02,9,5.49,3,1.83,50016
50,17,227,110,48.46,70,30.84,26,11.45,21,9.25,50017
50,18,218,104,47.71,86,39.45,24,11.01,4,1.83,50018
50,19,223,92,41.26,55,24.66,44,19.73,32,14.35,50019
50,20,236,52,22.03,84,35.59,86,36.44,14,5.93,50020
50,21,300,69,23.0,89,29.67,134,44.67,8,2.67,50021
50,22,215,61,28.37,67,31.16,49,22.79,38,17.67,50022
50,23,174,102,58.62,34,19.54,25,14.37,13,7.47,50023
50,24,216,110,50.93,47,21.76,35,16.2,24,11.11,50024
50,25,272,176,64.71,44,16.18,43,15.81,9,3.31,50025
50,26,176,88,50.0,42,23.86,29,16.48,17,9.66,50026
50,27,111,72,64.86,23,20.72,6,5.41,10,9.01,50027
50,28,229,128,55.9,39,17.03,32,13.97,30,13.1,50028
50,29,244,57,23.36,90,36.89,84,34.43,13,5.33,50029
50,30,255,174,68.24,52,20.39,25,9.8,4,1.57,50030
50,31,123,108,87.8,9,7.32,6,4.88,0,0.0,50031
50,32,170,53,31.18,74,43.53,27,15.88,16,9.41,50032
50,33,195,126,64.62,34,17.44,16,8.21,19,9.74,50033
50,34,235,179,76.17,39,16.6,7,2.98,10,4.26,50034
50,35,276,54,19.57,113,40.94,104,37.68,5,1.81,50035
50,36,275,47,17.09,73,26.55,145,52.73,10,3.64,50036
50,37,267,57,21.35,106,39.7,88,32.96,16,5.99,50037
50,38,189,149,78.84,26,13.76,12,6.35,2,1.06,50038
50,39,222,167,75.23,22,9.91,28,12.61,5,2.25,50039
50,40,313,219,69.97,59,18.85,33,10.54,2,0.64,50040
50,41,349,214,61.32,90,25.79,43,12.32,2,0.57,50041
50,42,242,63,26.03,113,46.69,65,26.86,1,0.41,50042
50,43,234,56,23.93,83,35.47,51,21.79,44,18.8,50043
50,44,226,165,73.01,26,11.5,28,12.39,7,3.1,50044
50,45,152,108,71.05,20,13.16,24,15.79,0,0.0,50045
