ward,precinct,total,Margaret Laurino,Margaret Laurino Percent,Christopher J. Belz,Christopher J. Belz Percent,precinct_id
39,1,186,145,77.96,41,22.04,39001
39,2,374,320,85.56,54,14.44,39002
39,3,193,165,85.49,28,14.51,39003
39,4,147,110,74.83,37,25.17,39004
39,5,139,107,76.98,32,23.02,39005
39,6,190,146,76.84,44,23.16,39006
39,7,143,126,88.11,17,11.89,39007
39,8,205,174,84.88,31,15.12,39008
39,9,228,209,91.67,19,8.33,39009
39,10,147,117,79.59,30,20.41,39010
39,11,281,251,89.32,30,10.68,39011
39,12,134,110,82.09,24,17.91,39012
39,13,83,46,55.42,37,44.58,39013
39,14,158,107,67.72,51,32.28,39014
39,15,179,142,79.33,37,20.67,39015
39,16,119,93,78.15,26,21.85,39016
39,17,149,111,74.5,38,25.5,39017
39,18,215,168,78.14,47,21.86,39018
39,19,138,111,80.43,27,19.57,39019
39,20,158,127,80.38,31,19.62,39020
39,21,130,114,87.69,16,12.31,39021
39,22,205,168,81.95,37,18.05,39022
39,23,108,77,71.3,31,28.7,39023
39,24,153,110,71.9,43,28.1,39024
39,25,177,134,75.71,43,24.29,39025
39,26,183,144,78.69,39,21.31,39026
39,27,171,121,70.76,50,29.24,39027
39,28,198,137,69.19,61,30.81,39028
39,29,168,122,72.62,46,27.38,39029
39,30,114,67,58.77,47,41.23,39030
39,31,124,93,75.0,31,25.0,39031
39,32,170,156,91.76,14,8.24,39032
39,33,233,201,86.27,32,13.73,39033
39,34,187,140,74.87,47,25.13,39034
39,35,174,129,74.14,45,25.86,39035
39,36,210,174,82.86,36,17.14,39036
39,37,261,195,74.71,66,25.29,39037
39,38,192,159,82.81,33,17.19,39038
39,39,100,65,65.0,35,35.0,39039
39,40,126,111,88.1,15,11.9,39040
39,41,88,75,85.23,13,14.77,39041
39,42,180,154,85.56,26,14.44,39042
39,43,144,110,76.39,34,23.61,39043
39,44,178,126,70.79,52,29.21,39044
39,45,99,74,74.75,25,25.25,39045
39,46,153,116,75.82,37,24.18,39046
39,47,132,125,94.7,7,5.3,39047
