ward,precinct,total,Faheem Shabazz,Faheem Shabazz Percent,Derrick T. Prince,Derrick T. Prince Percent,Joseph McAfee,Joseph McAfee Percent,Michelle A. Harris,Michelle A. Harris Percent,Cliff Underwood,Cliff Underwood Percent,Dennis Allen,Dennis Allen Percent,Sharon Ann Adams,Sharon Ann Adams Percent,Van B. Newell Jr.,Van B. Newell Jr. Percent,precinct_id
8,1,236,8,3.39,9,3.81,14,5.93,108,45.76,12,5.08,6,2.54,5,2.12,74,31.36,08001
8,2,108,10,9.26,6,5.56,7,6.48,67,62.04,10,9.26,4,3.7,1,0.93,3,2.78,08002
8,3,281,16,5.69,19,6.76,13,4.63,196,69.75,24,8.54,6,2.14,2,0.71,5,1.78,08003
8,4,227,20,8.81,4,1.76,9,3.96,168,74.01,6,2.64,15,6.61,1,0.44,4,1.76,08004
8,5,287,18,6.27,38,13.24,17,5.92,159,55.4,33,11.5,4,1.39,1,0.35,17,5.92,08005
8,6,227,18,7.93,13,5.73,20,8.81,136,59.91,20,8.81,2,0.88,5,2.2,13,5.73,08006
8,7,170,34,20.0,3,1.76,9,5.29,105,61.76,10,5.88,1,0.59,8,4.71,0,0.0,08007
8,8,260,16,6.15,12,4.62,12,4.62,187,71.92,14,5.38,6,2.31,1,0.38,12,4.62,08008
8,9,286,18,6.29,24,8.39,10,3.5,203,70.98,19,6.64,2,0.7,2,0.7,8,2.8,08009
8,10,290,14,4.83,8,2.76,22,7.59,206,71.03,21,7.24,8,2.76,4,1.38,7,2.41,08010
8,11,193,15,7.77,7,3.63,7,3.63,130,67.36,22,11.4,0,0.0,8,4.15,4,2.07,08011
8,12,196,11,5.61,18,9.18,11,5.61,116,59.18,16,8.16,5,2.55,3,1.53,16,8.16,08012
8,13,164,13,7.93,6,3.66,9,5.49,115,70.12,12,7.32,2,1.22,4,2.44,3,1.83,08013
8,14,122,7,5.74,5,4.1,42,34.43,54,44.26,4,3.28,4,3.28,2,1.64,4,3.28,08014
8,15,176,36,20.45,4,2.27,5,2.84,109,61.93,11,6.25,4,2.27,5,2.84,2,1.14,08015
8,16,241,7,2.9,16,6.64,27,11.2,153,63.49,19,7.88,4,1.66,2,0.83,13,5.39,08016
8,17,200,7,3.5,5,2.5,11,5.5,154,77.0,9,4.5,9,4.5,2,1.0,3,1.5,08017
8,18,120,4,3.33,3,2.5,18,15.0,59,49.17,1,0.83,30,25.0,3,2.5,2,1.67,08018
8,19,270,16,5.93,30,11.11,13,4.81,166,61.48,34,12.59,1,0.37,4,1.48,6,2.22,08019
8,20,162,9,5.56,4,2.47,8,4.94,126,77.78,5,3.09,1,0.62,5,3.09,4,2.47,08020
8,21,168,10,5.95,6,3.57,5,2.98,129,76.79,11,6.55,4,2.38,2,1.19,1,0.6,08021
8,22,180,20,11.11,5,2.78,18,10.0,113,62.78,19,10.56,1,0.56,4,2.22,0,0.0,08022
8,23,180,27,15.0,9,5.0,12,6.67,102,56.67,20,11.11,3,1.67,4,2.22,3,1.67,08023
8,24,225,27,12.0,2,0.89,7,3.11,141,62.67,40,17.78,3,1.33,2,0.89,3,1.33,08024
8,25,195,24,12.31,8,4.1,13,6.67,111,56.92,11,5.64,16,8.21,7,3.59,5,2.56,08025
8,26,164,16,9.76,7,4.27,10,6.1,112,68.29,11,6.71,2,1.22,3,1.83,3,1.83,08026
8,27,258,27,10.47,71,27.52,10,3.88,111,43.02,35,13.57,0,0.0,3,1.16,1,0.39,08027
8,28,179,17,9.5,19,10.61,10,5.59,113,63.13,9,5.03,2,1.12,4,2.23,5,2.79,08028
8,29,226,6,2.65,9,3.98,21,9.29,143,63.27,31,13.72,6,2.65,3,1.33,7,3.1,08029
8,30,196,24,12.24,10,5.1,7,3.57,105,53.57,21,10.71,19,9.69,4,2.04,6,3.06,08030
8,31,148,13,8.78,4,2.7,13,8.78,78,52.7,5,3.38,1,0.68,32,21.62,2,1.35,08031
8,32,301,12,3.99,34,11.3,15,4.98,175,58.14,26,8.64,7,2.33,9,2.99,23,7.64,08032
8,33,215,12,5.58,4,1.86,17,7.91,146,67.91,15,6.98,6,2.79,14,6.51,1,0.47,08033
8,34,235,22,9.36,10,4.26,22,9.36,150,63.83,12,5.11,2,0.85,9,3.83,8,3.4,08034
8,35,240,16,6.67,10,4.17,13,5.42,149,62.08,10,4.17,5,2.08,2,0.83,35,14.58,08035
