ward,precinct,total,Rey Colon,Rey Colon Percent,Vilma Colom,Vilma Colom Percent,Miguel Sotomayor,Miguel Sotomayor Percent,precinct_id
35,1,236,90,38.14,115,48.73,31,13.14,35001
35,2,215,75,34.88,103,47.91,37,17.21,35002
35,3,124,53,42.74,63,50.81,8,6.45,35003
35,4,238,163,68.49,62,26.05,13,5.46,35004
35,5,201,111,55.22,63,31.34,27,13.43,35005
35,6,180,59,32.78,84,46.67,37,20.56,35006
35,7,243,115,47.33,74,30.45,54,22.22,35007
35,8,167,63,37.72,32,19.16,72,43.11,35008
35,9,182,88,48.35,61,33.52,33,18.13,35009
35,10,189,101,53.44,57,30.16,31,16.4,35010
35,11,206,61,29.61,96,46.6,49,23.79,35011
35,12,217,94,43.32,55,25.35,68,31.34,35012
35,13,59,16,27.12,31,52.54,12,20.34,35013
35,14,210,101,48.1,69,32.86,40,19.05,35014
35,15,192,70,36.46,70,36.46,52,27.08,35015
35,16,170,83,48.82,48,28.24,39,22.94,35016
35,17,245,94,38.37,116,47.35,35,14.29,35017
35,18,239,105,43.93,83,34.73,51,21.34,35018
35,19,158,84,53.16,43,27.22,31,19.62,35019
35,20,153,78,50.98,56,36.6,19,12.42,35020
35,21,203,84,41.38,71,34.98,48,23.65,35021
35,22,87,42,48.28,40,45.98,5,5.75,35022
35,23,117,48,41.03,42,35.9,27,23.08,35023
35,24,137,40,29.2,73,53.28,24,17.52,35024
35,25,179,75,41.9,62,34.64,42,23.46,35025
35,26,208,135,64.9,43,20.67,30,14.42,35026
35,27,218,87,39.91,61,27.98,70,32.11,35027
35,28,184,97,52.72,41,22.28,46,25.0,35028
35,29,233,122,52.36,48,20.6,63,27.04,35029
35,30,252,125,49.6,70,27.78,57,22.62,35030
35,31,92,51,55.43,28,30.43,13,14.13,35031
35,32,131,89,67.94,39,29.77,3,2.29,35032
35,33,189,79,41.8,87,46.03,23,12.17,35033
35,34,178,90,50.56,45,25.28,43,24.16,35034
35,35,219,115,52.51,61,27.85,43,19.63,35035
35,36,110,63,57.27,32,29.09,15,13.64,35036
