ward,precinct,total,August Sallas,August Sallas Percent,Joaquin Salamanca,Joaquin Salamanca Percent,Ricardo Munoz,Ricardo Munoz Percent,Jose M Gutierrez,Jose M Gutierrez Percent,precinct_id
22,1,107,18,16.82,5,4.67,60,56.07,24,22.43,22001
22,2,100,5,5.0,9,9.0,59,59.0,27,27.0,22002
22,3,179,13,7.26,17,9.5,100,55.87,49,27.37,22003
22,4,150,13,8.67,8,5.33,79,52.67,50,33.33,22004
22,5,197,13,6.6,20,10.15,119,60.41,45,22.84,22005
22,6,140,6,4.29,18,12.86,101,72.14,15,10.71,22006
22,7,148,27,18.24,7,4.73,99,66.89,15,10.14,22007
22,8,132,8,6.06,4,3.03,71,53.79,49,37.12,22008
22,9,204,21,10.29,7,3.43,145,71.08,31,15.2,22009
22,10,174,4,2.3,22,12.64,94,54.02,54,31.03,22010
22,11,171,13,7.6,14,8.19,99,57.89,45,26.32,22011
22,12,127,6,4.72,6,4.72,66,51.97,49,38.58,22012
22,13,202,16,7.92,39,19.31,93,46.04,54,26.73,22013
22,14,97,2,2.06,3,3.09,63,64.95,29,29.9,22014
22,15,137,20,14.6,6,4.38,86,62.77,25,18.25,22015
22,16,194,9,4.64,28,14.43,97,50.0,60,30.93,22016
22,17,130,14,10.77,14,10.77,76,58.46,26,20.0,22017
22,18,173,11,6.36,33,19.08,90,52.02,39,22.54,22018
22,19,115,16,13.91,4,3.48,71,61.74,24,20.87,22019
22,20,200,10,5.0,42,21.0,117,58.5,31,15.5,22020
22,21,152,31,20.39,4,2.63,95,62.5,22,14.47,22021
22,22,126,5,3.97,9,7.14,71,56.35,41,32.54,22022
22,23,161,4,2.48,32,19.88,85,52.8,40,24.84,22023
22,24,130,5,3.85,5,3.85,85,65.38,35,26.92,22024
22,25,132,17,12.88,17,12.88,61,46.21,37,28.03,22025
22,26,148,10,6.76,12,8.11,84,56.76,42,28.38,22026
22,27,201,10,4.98,42,20.9,96,47.76,53,26.37,22027
22,28,104,12,11.54,8,7.69,53,50.96,31,29.81,22028
22,29,108,15,13.89,5,4.63,51,47.22,37,34.26,22029
