ward,precinct,total,Patrick J. Levar,Patrick J. Levar Percent,"Terrence W. Boyke, Jr.","Terrence W. Boyke, Jr. Percent",Anna Klocek,Anna Klocek Percent,Robert A. Bank,Robert A. Bank Percent,precinct_id
45,1,175,114,65.14,40,22.86,9,5.14,12,6.86,45001
45,2,260,129,49.62,100,38.46,27,10.38,4,1.54,45002
45,3,332,219,65.96,93,28.01,19,5.72,1,0.3,45003
45,4,283,158,55.83,79,27.92,36,12.72,10,3.53,45004
45,5,255,139,54.51,66,25.88,35,13.73,15,5.88,45005
45,6,246,143,58.13,69,28.05,24,9.76,10,4.07,45006
45,7,205,85,41.46,83,40.49,25,12.2,12,5.85,45007
45,8,193,116,60.1,43,22.28,29,15.03,5,2.59,45008
45,9,304,176,57.89,96,31.58,27,8.88,5,1.64,45009
45,10,292,113,38.7,145,49.66,21,7.19,13,4.45,45010
45,11,254,128,50.39,108,42.52,14,5.51,4,1.57,45011
45,12,261,115,44.06,109,41.76,16,6.13,21,8.05,45012
45,13,339,240,70.8,79,23.3,17,5.01,3,0.88,45013
45,14,240,119,49.58,80,33.33,17,7.08,24,10.0,45014
45,15,273,173,63.37,68,24.91,22,8.06,10,3.66,45015
45,16,219,127,57.99,57,26.03,18,8.22,17,7.76,45016
45,17,182,84,46.15,77,42.31,10,5.49,11,6.04,45017
45,18,280,169,60.36,68,24.29,10,3.57,33,11.79,45018
45,19,246,147,59.76,72,29.27,16,6.5,11,4.47,45019
45,20,233,117,50.21,61,26.18,23,9.87,32,13.73,45020
45,21,230,137,59.57,60,26.09,28,12.17,5,2.17,45021
45,22,234,133,56.84,69,29.49,18,7.69,14,5.98,45022
45,23,248,141,56.85,83,33.47,14,5.65,10,4.03,45023
45,24,325,166,51.08,102,31.38,39,12.0,18,5.54,45024
45,25,293,191,65.19,53,18.09,29,9.9,20,6.83,45025
45,26,288,199,69.1,59,20.49,18,6.25,12,4.17,45026
45,27,244,154,63.11,64,26.23,18,7.38,8,3.28,45027
45,28,203,121,59.61,66,32.51,4,1.97,12,5.91,45028
45,29,238,127,53.36,59,24.79,31,13.03,21,8.82,45029
45,30,290,187,64.48,73,25.17,23,7.93,7,2.41,45030
45,31,211,122,57.82,57,27.01,16,7.58,16,7.58,45031
45,32,171,71,41.52,83,48.54,14,8.19,3,1.75,45032
45,33,232,143,61.64,62,26.72,11,4.74,16,6.9,45033
45,34,196,98,50.0,69,35.2,23,11.73,6,3.06,45034
45,35,270,146,54.07,102,37.78,15,5.56,7,2.59,45035
45,36,216,120,55.56,39,18.06,39,18.06,18,8.33,45036
45,37,260,118,45.38,128,49.23,11,4.23,3,1.15,45037
45,38,296,143,48.31,112,37.84,24,8.11,17,5.74,45038
45,39,321,150,46.73,145,45.17,11,3.43,15,4.67,45039
45,40,280,186,66.43,62,22.14,17,6.07,15,5.36,45040
45,41,147,80,54.42,57,38.78,7,4.76,3,2.04,45041
45,42,252,155,61.51,66,26.19,17,6.75,14,5.56,45042
45,43,223,107,47.98,86,38.57,23,10.31,7,3.14,45043
45,44,298,203,68.12,76,25.5,13,4.36,6,2.01,45044
45,45,201,94,46.77,69,34.33,23,11.44,15,7.46,45045
45,46,249,140,56.22,63,25.3,17,6.83,29,11.65,45046
45,47,260,152,58.46,56,21.54,37,14.23,15,5.77,45047
45,48,255,151,59.22,64,25.1,17,6.67,23,9.02,45048
45,49,255,151,59.22,71,27.84,20,7.84,13,5.1,45049
45,50,223,103,46.19,88,39.46,27,12.11,5,2.24,45050
45,51,233,149,63.95,59,25.32,18,7.73,7,3.0,45051
45,52,260,161,61.92,65,25.0,30,11.54,4,1.54,45052
45,53,167,79,47.31,48,28.74,22,13.17,18,10.78,45053
