ward,precinct,total,James Cappleman,James Cappleman Percent,Helen Shiller,Helen Shiller Percent,precinct_id
46,1,412,230,55.83,182,44.17,46001
46,2,213,74,34.74,139,65.26,46002
46,3,231,67,29.0,164,71.0,46003
46,4,297,149,50.17,148,49.83,46004
46,5,125,67,53.6,58,46.4,46005
46,6,303,180,59.41,123,40.59,46006
46,7,140,81,57.86,59,42.14,46007
46,8,344,136,39.53,208,60.47,46008
46,9,308,261,84.74,47,15.26,46009
46,10,201,149,74.13,52,25.87,46010
46,11,284,147,51.76,137,48.24,46011
46,12,312,171,54.81,141,45.19,46012
46,13,208,77,37.02,131,62.98,46013
46,14,137,60,43.8,77,56.2,46014
46,15,240,126,52.5,114,47.5,46015
46,16,221,147,66.52,74,33.48,46016
46,17,293,102,34.81,191,65.19,46017
46,18,228,73,32.02,155,67.98,46018
46,19,178,87,48.88,91,51.12,46019
46,20,248,103,41.53,145,58.47,46020
46,21,46,23,50.0,23,50.0,46021
46,22,359,54,15.04,305,84.96,46022
46,23,245,24,9.8,221,90.2,46023
46,24,103,57,55.34,46,44.66,46024
46,25,363,177,48.76,186,51.24,46025
46,26,326,161,49.39,165,50.61,46026
46,27,269,188,69.89,81,30.11,46027
46,28,208,121,58.17,87,41.83,46028
46,29,201,62,30.85,139,69.15,46029
46,30,252,96,38.1,156,61.9,46030
46,31,199,84,42.21,115,57.79,46031
46,32,273,143,52.38,130,47.62,46032
46,33,280,148,52.86,132,47.14,46033
46,34,224,83,37.05,141,62.95,46034
46,35,365,257,70.41,108,29.59,46035
46,36,212,80,37.74,132,62.26,46036
46,37,117,57,48.72,60,51.28,46037
46,38,249,80,32.13,169,67.87,46038
46,39,248,149,60.08,99,39.92,46039
46,40,278,52,18.71,226,81.29,46040
46,41,305,122,40.0,183,60.0,46041
46,42,299,153,51.17,146,48.83,46042
46,43,226,85,37.61,141,62.39,46043
46,44,149,26,17.45,123,82.55,46044
46,45,228,138,60.53,90,39.47,46045
46,46,224,124,55.36,100,44.64,46046
46,47,103,56,54.37,47,45.63,46047
