ward,precinct,total,Michele Smith,Michele Smith Percent,Rachel Goodstein,Rachel Goodstein Percent,Tim Egan,Tim Egan Percent,Vi Daley,Vi Daley Percent,Peter Zelchenko,Peter Zelchenko Percent,precinct_id
43,1,233,87,37.34,5,2.15,26,11.16,109,46.78,6,2.58,43001
43,2,176,67,38.07,1,0.57,23,13.07,84,47.73,1,0.57,43002
43,3,178,59,33.15,11,6.18,16,8.99,89,50.0,3,1.69,43003
43,4,230,63,27.39,7,3.04,27,11.74,126,54.78,7,3.04,43004
43,5,152,49,32.24,12,7.89,3,1.97,76,50.0,12,7.89,43005
43,6,137,35,25.55,4,2.92,28,20.44,62,45.26,8,5.84,43006
43,7,209,72,34.45,3,1.44,15,7.18,94,44.98,25,11.96,43007
43,8,261,98,37.55,7,2.68,27,10.34,115,44.06,14,5.36,43008
43,9,119,47,39.5,5,4.2,13,10.92,50,42.02,4,3.36,43009
43,10,141,61,43.26,5,3.55,10,7.09,58,41.13,7,4.96,43010
43,11,122,31,25.41,7,5.74,21,17.21,58,47.54,5,4.1,43011
43,12,239,71,29.71,8,3.35,30,12.55,117,48.95,13,5.44,43012
43,13,67,30,44.78,1,1.49,9,13.43,27,40.3,0,0.0,43013
43,14,194,110,56.7,1,0.52,20,10.31,60,30.93,3,1.55,43014
43,15,147,61,41.5,1,0.68,16,10.88,65,44.22,4,2.72,43015
43,16,176,51,28.98,4,2.27,14,7.95,106,60.23,1,0.57,43016
43,17,201,69,34.33,5,2.49,17,8.46,107,53.23,3,1.49,43017
43,18,220,70,31.82,9,4.09,29,13.18,109,49.55,3,1.36,43018
43,19,116,36,31.03,4,3.45,20,17.24,48,41.38,8,6.9,43019
43,20,200,77,38.5,3,1.5,19,9.5,86,43.0,15,7.5,43020
43,21,175,90,51.43,9,5.14,9,5.14,60,34.29,7,4.0,43021
43,22,118,41,34.75,1,0.85,17,14.41,54,45.76,5,4.24,43022
43,23,157,30,19.11,5,3.18,22,14.01,93,59.24,7,4.46,43023
43,24,200,44,22.0,7,3.5,23,11.5,116,58.0,10,5.0,43024
43,25,207,82,39.61,2,0.97,18,8.7,98,47.34,7,3.38,43025
43,26,160,48,30.0,1,0.63,23,14.38,83,51.88,5,3.13,43026
43,27,153,64,41.83,1,0.65,13,8.5,67,43.79,8,5.23,43027
43,28,218,59,27.06,11,5.05,41,18.81,105,48.17,2,0.92,43028
43,29,155,65,41.94,2,1.29,21,13.55,64,41.29,3,1.94,43029
43,30,99,43,43.43,1,1.01,13,13.13,40,40.4,2,2.02,43030
43,31,199,84,42.21,1,0.5,12,6.03,89,44.72,13,6.53,43031
43,32,192,85,44.27,5,2.6,10,5.21,84,43.75,8,4.17,43032
43,33,60,11,18.33,3,5.0,11,18.33,31,51.67,4,6.67,43033
43,34,89,15,16.85,2,2.25,20,22.47,42,47.19,10,11.24,43034
43,35,198,61,30.81,8,4.04,41,20.71,86,43.43,2,1.01,43035
43,36,143,47,32.87,8,5.59,30,20.98,56,39.16,2,1.4,43036
43,37,114,33,28.95,1,0.88,16,14.04,60,52.63,4,3.51,43037
43,38,130,41,31.54,1,0.77,19,14.62,61,46.92,8,6.15,43038
43,39,148,55,37.16,2,1.35,26,17.57,61,41.22,4,2.7,43039
43,40,69,15,21.74,1,1.45,32,46.38,20,28.99,1,1.45,43040
43,41,90,30,33.33,5,5.56,4,4.44,48,53.33,3,3.33,43041
43,42,199,65,32.66,5,2.51,28,14.07,98,49.25,3,1.51,43042
43,43,118,35,29.66,7,5.93,13,11.02,56,47.46,7,5.93,43043
43,44,155,45,29.03,8,5.16,17,10.97,81,52.26,4,2.58,43044
43,45,55,10,18.18,1,1.82,7,12.73,33,60.0,4,7.27,43045
43,46,240,64,26.67,12,5.0,13,5.42,147,61.25,4,1.67,43046
43,47,176,56,31.82,5,2.84,14,7.95,86,48.86,15,8.52,43047
43,48,125,38,30.4,8,6.4,18,14.4,52,41.6,9,7.2,43048
43,49,175,26,14.86,1,0.57,16,9.14,121,69.14,11,6.29,43049
43,50,129,33,25.58,7,5.43,5,3.88,75,58.14,9,6.98,43050
43,51,188,39,20.74,5,2.66,26,13.83,103,54.79,15,7.98,43051
43,52,112,31,27.68,6,5.36,10,8.93,57,50.89,8,7.14,43052
43,53,195,42,21.54,9,4.62,21,10.77,105,53.85,18,9.23,43053
43,54,132,42,31.82,2,1.52,22,16.67,62,46.97,4,3.03,43054
43,55,167,59,35.33,4,2.4,14,8.38,87,52.1,3,1.8,43055
43,56,92,45,48.91,2,2.17,12,13.04,29,31.52,4,4.35,43056
43,57,108,27,25.0,2,1.85,16,14.81,58,53.7,5,4.63,43057
43,58,126,51,40.48,2,1.59,21,16.67,49,38.89,3,2.38,43058
43,59,223,94,42.15,5,2.24,9,4.04,111,49.78,4,1.79,43059
