ward,precinct,total,John Somerville,John Somerville Percent,Timothy J. Sheehan,Timothy J. Sheehan Percent,Virginia A. Rugai,Virginia A. Rugai Percent,precinct_id
19,1,385,51,13.25,91,23.64,243,63.12,19001
19,2,298,119,39.93,16,5.37,163,54.7,19002
19,3,299,52,17.39,64,21.4,183,61.2,19003
19,4,315,39,12.38,61,19.37,215,68.25,19004
19,5,350,137,39.14,27,7.71,186,53.14,19005
19,6,327,59,18.04,83,25.38,185,56.57,19006
19,7,329,52,15.81,62,18.84,215,65.35,19007
19,8,273,36,13.19,63,23.08,174,63.74,19008
19,9,251,59,23.51,62,24.7,130,51.79,19009
19,10,456,147,32.24,23,5.04,286,62.72,19010
19,11,389,31,7.97,98,25.19,260,66.84,19011
19,12,369,45,12.2,56,15.18,268,72.63,19012
19,13,232,131,56.47,7,3.02,94,40.52,19013
19,14,200,25,12.5,64,32.0,111,55.5,19014
19,15,272,46,16.91,87,31.99,139,51.1,19015
19,16,399,71,17.79,72,18.05,256,64.16,19016
19,17,375,54,14.4,71,18.93,250,66.67,19017
19,18,397,83,20.91,32,8.06,282,71.03,19018
19,19,367,211,57.49,36,9.81,120,32.7,19019
19,20,284,155,54.58,20,7.04,109,38.38,19020
19,21,251,40,15.94,47,18.73,164,65.34,19021
19,22,433,179,41.34,51,11.78,203,46.88,19022
19,23,388,86,22.16,115,29.64,187,48.2,19023
19,24,296,43,14.53,67,22.64,186,62.84,19024
19,25,427,187,43.79,56,13.11,184,43.09,19025
19,26,416,133,31.97,99,23.8,184,44.23,19026
19,27,216,124,57.41,12,5.56,80,37.04,19027
19,28,321,139,43.3,21,6.54,161,50.16,19028
19,29,281,40,14.23,83,29.54,158,56.23,19029
19,30,325,67,20.62,70,21.54,188,57.85,19030
19,31,349,104,29.8,81,23.21,164,46.99,19031
19,32,412,83,20.15,117,28.4,212,51.46,19032
19,33,368,57,15.49,87,23.64,224,60.87,19033
19,34,382,91,23.82,93,24.35,198,51.83,19034
19,35,311,101,32.48,75,24.12,135,43.41,19035
19,36,310,122,39.35,59,19.03,129,41.61,19036
19,37,359,133,37.05,28,7.8,198,55.15,19037
19,38,344,152,44.19,36,10.47,156,45.35,19038
19,39,125,29,23.2,18,14.4,78,62.4,19039
19,40,311,91,29.26,64,20.58,156,50.16,19040
19,41,310,34,10.97,73,23.55,203,65.48,19041
19,42,261,95,36.4,56,21.46,110,42.15,19042
19,43,317,154,48.58,23,7.26,140,44.16,19043
19,44,294,44,14.97,64,21.77,186,63.27,19044
19,45,363,65,17.91,77,21.21,221,60.88,19045
19,46,455,69,15.16,90,19.78,296,65.05,19046
19,47,246,108,43.9,27,10.98,111,45.12,19047
19,48,202,143,70.79,6,2.97,53,26.24,19048
19,49,350,164,46.86,20,5.71,166,47.43,19049
19,50,243,128,52.67,8,3.29,107,44.03,19050
19,51,303,46,15.18,78,25.74,179,59.08,19051
19,52,269,38,14.13,58,21.56,173,64.31,19052
19,53,346,70,20.23,90,26.01,186,53.76,19053
19,54,274,41,14.96,78,28.47,155,56.57,19054
19,55,302,42,13.91,71,23.51,189,62.58,19055
19,56,430,102,23.72,26,6.05,302,70.23,19056
19,57,399,198,49.62,48,12.03,153,38.35,19057
19,58,348,42,12.07,79,22.7,227,65.23,19058
19,59,387,56,14.47,89,23.0,242,62.53,19059
19,60,225,111,49.33,17,7.56,97,43.11,19060
19,61,460,69,15.0,136,29.57,255,55.43,19061
19,62,308,50,16.23,62,20.13,196,63.64,19062
19,63,234,126,53.85,16,6.84,92,39.32,19063
19,64,344,127,36.92,56,16.28,161,46.8,19064
19,65,232,98,42.24,33,14.22,101,43.53,19065
19,66,231,118,51.08,13,5.63,100,43.29,19066
19,67,95,12,12.63,13,13.68,70,73.68,19067
