ward,precinct,total,Earick D. Rayburn,Earick D. Rayburn Percent,Anthony A. Beale,Anthony A. Beale Percent,Harold Noonie Ward,Harold Noonie Ward Percent,Deborah E. Levi,Deborah E. Levi Percent,precinct_id
9,1,238,58,24.37,119,50.0,4,1.68,57,23.95,09001
9,2,245,39,15.92,159,64.9,3,1.22,44,17.96,09002
9,3,83,12,14.46,29,34.94,36,43.37,6,7.23,09003
9,4,186,41,22.04,113,60.75,12,6.45,20,10.75,09004
9,5,204,29,14.22,131,64.22,10,4.9,34,16.67,09005
9,6,197,47,23.86,113,57.36,9,4.57,28,14.21,09006
9,7,164,23,14.02,106,64.63,6,3.66,29,17.68,09007
9,8,181,35,19.34,112,61.88,2,1.1,32,17.68,09008
9,9,236,47,19.92,121,51.27,1,0.42,67,28.39,09009
9,10,190,48,25.26,111,58.42,3,1.58,28,14.74,09010
9,11,157,42,26.75,89,56.69,7,4.46,19,12.1,09011
9,12,189,47,24.87,120,63.49,2,1.06,20,10.58,09012
9,13,229,30,13.1,151,65.94,5,2.18,43,18.78,09013
9,14,280,28,10.0,113,40.36,2,0.71,137,48.93,09014
9,15,164,31,18.9,90,54.88,29,17.68,14,8.54,09015
9,16,116,19,16.38,70,60.34,3,2.59,24,20.69,09016
9,17,170,21,12.35,119,70.0,0,0.0,30,17.65,09017
9,18,204,52,25.49,121,59.31,8,3.92,23,11.27,09018
9,19,201,32,15.92,128,63.68,9,4.48,32,15.92,09019
9,20,256,47,18.36,174,67.97,4,1.56,31,12.11,09020
9,21,196,34,17.35,139,70.92,5,2.55,18,9.18,09021
9,22,254,31,12.2,161,63.39,4,1.57,58,22.83,09022
9,23,160,59,36.88,79,49.38,3,1.88,19,11.88,09023
9,24,122,15,12.3,52,42.62,46,37.7,9,7.38,09024
9,25,177,41,23.16,91,51.41,0,0.0,45,25.42,09025
9,26,82,18,21.95,38,46.34,21,25.61,5,6.1,09026
9,27,190,36,18.95,128,67.37,4,2.11,22,11.58,09027
9,28,100,16,16.0,78,78.0,2,2.0,4,4.0,09028
9,29,159,29,18.24,100,62.89,4,2.52,26,16.35,09029
9,30,180,31,17.22,109,60.56,13,7.22,27,15.0,09030
9,31,169,74,43.79,65,38.46,6,3.55,24,14.2,09031
9,32,197,28,14.21,128,64.97,5,2.54,36,18.27,09032
9,33,126,14,11.11,75,59.52,26,20.63,11,8.73,09033
9,34,166,54,32.53,87,52.41,4,2.41,21,12.65,09034
9,35,278,42,15.11,192,69.06,3,1.08,41,14.75,09035
9,36,237,73,30.8,124,52.32,8,3.38,32,13.5,09036
9,37,189,62,32.8,90,47.62,4,2.12,33,17.46,09037
9,38,205,43,20.98,123,60.0,5,2.44,34,16.59,09038
9,39,261,74,28.35,144,55.17,11,4.21,32,12.26,09039
9,40,223,33,14.8,128,57.4,3,1.35,59,26.46,09040
9,41,204,32,15.69,145,71.08,7,3.43,20,9.8,09041
9,42,65,8,12.31,23,35.38,25,38.46,9,13.85,09042
9,43,124,56,45.16,57,45.97,5,4.03,6,4.84,09043
9,44,137,27,19.71,90,65.69,4,2.92,16,11.68,09044
9,45,182,43,23.63,111,60.99,5,2.75,23,12.64,09045
9,46,193,43,22.28,100,51.81,12,6.22,38,19.69,09046
9,47,228,76,33.33,116,50.88,4,1.75,32,14.04,09047
9,48,243,55,22.63,125,51.44,4,1.65,59,24.28,09048
9,49,131,26,19.85,55,41.98,7,5.34,43,32.82,09049
9,50,189,23,12.17,120,63.49,4,2.12,42,22.22,09050
9,51,109,17,15.6,68,62.39,1,0.92,23,21.1,09051
9,52,242,38,15.7,128,52.89,3,1.24,73,30.17,09052
9,53,78,16,20.51,45,57.69,3,3.85,14,17.95,09053
