ward,precinct,total,Emma M. Mitts,Emma M. Mitts Percent,Daryl Jones,Daryl Jones Percent,Tommy O. Abina,Tommy O. Abina Percent,Percy Z. Giles,Percy Z. Giles Percent,Arlene P. Jones,Arlene P. Jones Percent,Eric P. McKennie,Eric P. McKennie Percent,precinct_id
37,1,122,47,38.52,10,8.2,41,33.61,3,2.46,4,3.28,17,13.93,37001
37,2,162,110,67.9,7,4.32,10,6.17,12,7.41,10,6.17,13,8.02,37002
37,3,86,45,52.33,7,8.14,2,2.33,20,23.26,3,3.49,9,10.47,37003
37,4,209,122,58.37,10,4.78,6,2.87,26,12.44,9,4.31,36,17.22,37004
37,5,207,135,65.22,5,2.42,7,3.38,28,13.53,6,2.9,26,12.56,37005
37,6,210,106,50.48,12,5.71,26,12.38,10,4.76,10,4.76,46,21.9,37006
37,7,215,123,57.21,12,5.58,6,2.79,17,7.91,7,3.26,50,23.26,37007
37,8,141,79,56.03,8,5.67,14,9.93,18,12.77,5,3.55,17,12.06,37008
37,9,150,108,72.0,9,6.0,5,3.33,10,6.67,6,4.0,12,8.0,37009
37,10,183,146,79.78,1,0.55,7,3.83,13,7.1,3,1.64,13,7.1,37010
37,11,78,31,39.74,4,5.13,37,47.44,0,0.0,2,2.56,4,5.13,37011
37,12,119,63,52.94,7,5.88,9,7.56,21,17.65,3,2.52,16,13.45,37012
37,13,160,98,61.25,15,9.38,6,3.75,10,6.25,7,4.38,24,15.0,37013
37,14,261,186,71.26,9,3.45,4,1.53,31,11.88,4,1.53,27,10.34,37014
37,15,199,131,65.83,10,5.03,6,3.02,23,11.56,8,4.02,21,10.55,37015
37,16,196,113,57.65,5,2.55,5,2.55,40,20.41,14,7.14,19,9.69,37016
37,17,160,96,60.0,12,7.5,3,1.88,30,18.75,7,4.38,12,7.5,37017
37,18,195,143,73.33,6,3.08,16,8.21,10,5.13,7,3.59,13,6.67,37018
37,19,155,36,23.23,3,1.94,105,67.74,0,0.0,4,2.58,7,4.52,37019
37,20,153,115,75.16,6,3.92,2,1.31,13,8.5,5,3.27,12,7.84,37020
37,21,214,130,60.75,11,5.14,1,0.47,38,17.76,9,4.21,25,11.68,37021
37,22,119,89,74.79,1,0.84,3,2.52,8,6.72,0,0.0,18,15.13,37022
37,23,157,86,54.78,2,1.27,3,1.91,8,5.1,1,0.64,57,36.31,37023
37,24,178,112,62.92,9,5.06,9,5.06,25,14.04,6,3.37,17,9.55,37024
37,25,195,118,60.51,13,6.67,5,2.56,13,6.67,8,4.1,38,19.49,37025
37,26,210,139,66.19,11,5.24,6,2.86,25,11.9,9,4.29,20,9.52,37026
37,27,201,141,70.15,10,4.98,1,0.5,24,11.94,7,3.48,18,8.96,37027
37,28,198,137,69.19,5,2.53,3,1.52,29,14.65,8,4.04,16,8.08,37028
37,29,181,118,65.19,11,6.08,8,4.42,16,8.84,7,3.87,21,11.6,37029
37,30,132,77,58.33,3,2.27,4,3.03,25,18.94,7,5.3,16,12.12,37030
37,31,206,133,64.56,4,1.94,7,3.4,16,7.77,11,5.34,35,16.99,37031
37,32,174,106,60.92,11,6.32,4,2.3,13,7.47,8,4.6,32,18.39,37032
37,33,157,105,66.88,4,2.55,3,1.91,10,6.37,5,3.18,30,19.11,37033
37,34,188,94,50.0,4,2.13,3,1.6,28,14.89,32,17.02,27,14.36,37034
37,35,192,136,70.83,10,5.21,5,2.6,15,7.81,4,2.08,22,11.46,37035
37,36,158,112,70.89,11,6.96,3,1.9,12,7.59,11,6.96,9,5.7,37036
37,37,171,94,54.97,11,6.43,8,4.68,34,19.88,6,3.51,18,10.53,37037
37,38,233,87,37.34,13,5.58,9,3.86,34,14.59,4,1.72,86,36.91,37038
37,39,210,78,37.14,11,5.24,96,45.71,3,1.43,4,1.9,18,8.57,37039
37,40,206,106,51.46,10,4.85,3,1.46,18,8.74,4,1.94,65,31.55,37040
37,41,236,106,44.92,4,1.69,3,1.27,12,5.08,4,1.69,107,45.34,37041
37,42,146,54,36.99,3,2.05,6,4.11,5,3.42,1,0.68,77,52.74,37042
37,43,148,94,63.51,6,4.05,2,1.35,20,13.51,2,1.35,24,16.22,37043
