ward,precinct,total,Tom Tunney,Tom Tunney Percent,precinct_id
44,1,131,131,100.0,44001
44,2,108,108,100.0,44002
44,3,232,232,100.0,44003
44,4,221,221,100.0,44004
44,5,140,140,100.0,44005
44,6,82,82,100.0,44006
44,7,171,171,100.0,44007
44,8,73,73,100.0,44008
44,9,76,76,100.0,44009
44,10,46,46,100.0,44010
44,11,97,97,100.0,44011
44,12,102,102,100.0,44012
44,13,78,78,100.0,44013
44,14,78,78,100.0,44014
44,15,150,150,100.0,44015
44,16,113,113,100.0,44016
44,17,124,124,100.0,44017
44,18,71,71,100.0,44018
44,19,75,75,100.0,44019
44,20,99,99,100.0,44020
44,21,105,105,100.0,44021
44,22,187,187,100.0,44022
44,23,88,88,100.0,44023
44,24,75,75,100.0,44024
44,25,100,100,100.0,44025
44,26,73,73,100.0,44026
44,27,113,113,100.0,44027
44,28,75,75,100.0,44028
44,29,103,103,100.0,44029
44,30,107,107,100.0,44030
44,31,97,97,100.0,44031
44,32,70,70,100.0,44032
44,33,119,119,100.0,44033
44,34,111,111,100.0,44034
44,35,142,142,100.0,44035
44,36,100,100,100.0,44036
44,37,164,164,100.0,44037
44,38,75,75,100.0,44038
44,39,94,94,100.0,44039
44,40,132,132,100.0,44040
44,41,151,151,100.0,44041
44,42,170,170,100.0,44042
44,43,128,128,100.0,44043
44,44,176,176,100.0,44044
44,45,124,124,100.0,44045
44,46,82,82,100.0,44046
44,47,134,134,100.0,44047
44,48,114,114,100.0,44048
44,49,166,166,100.0,44049
44,50,111,111,100.0,44050
44,51,71,71,100.0,44051
