ward,precinct,total,Mary Ann Smith,Mary Ann Smith Percent,precinct_id
48,1,114,114,100.0,48001
48,2,139,139,100.0,48002
48,3,143,143,100.0,48003
48,4,164,164,100.0,48004
48,5,149,149,100.0,48005
48,6,160,160,100.0,48006
48,7,84,84,100.0,48007
48,8,94,94,100.0,48008
48,9,165,165,100.0,48009
48,10,60,60,100.0,48010
48,11,128,128,100.0,48011
48,12,95,95,100.0,48012
48,13,129,129,100.0,48013
48,14,235,235,100.0,48014
48,15,59,59,100.0,48015
48,16,120,120,100.0,48016
48,17,139,139,100.0,48017
48,18,96,96,100.0,48018
48,19,120,120,100.0,48019
48,20,55,55,100.0,48020
48,21,57,57,100.0,48021
48,22,258,258,100.0,48022
48,23,156,156,100.0,48023
48,24,187,187,100.0,48024
48,25,156,156,100.0,48025
48,26,131,131,100.0,48026
48,27,124,124,100.0,48027
48,28,122,122,100.0,48028
48,29,161,161,100.0,48029
48,30,102,102,100.0,48030
48,31,130,130,100.0,48031
48,32,88,88,100.0,48032
48,33,157,157,100.0,48033
48,34,89,89,100.0,48034
48,35,107,107,100.0,48035
48,36,177,177,100.0,48036
48,37,75,75,100.0,48037
48,38,158,158,100.0,48038
48,39,123,123,100.0,48039
48,40,69,69,100.0,48040
48,41,80,80,100.0,48041
48,42,74,74,100.0,48042
48,43,124,124,100.0,48043
48,44,96,96,100.0,48044
48,45,110,110,100.0,48045
48,46,99,99,100.0,48046
48,47,103,103,100.0,48047
48,48,120,120,100.0,48048
48,49,62,62,100.0,48049
48,50,161,161,100.0,48050
48,51,162,162,100.0,48051
48,52,85,85,100.0,48052
48,53,118,118,100.0,48053
48,54,91,91,100.0,48054
48,55,74,74,100.0,48055
48,56,113,113,100.0,48056
