ward,precinct,total,Michael R. Zalewski,Michael R. Zalewski Percent,precinct_id
23,1,241,159,65.98,23001
23,2,333,243,72.97,23002
23,3,274,169,61.68,23003
23,4,261,185,70.88,23004
23,5,192,155,80.73,23005
23,6,266,225,84.59,23006
23,7,54,39,72.22,23007
23,8,246,196,79.67,23008
23,9,211,156,73.93,23009
23,10,268,247,92.16,23010
23,11,288,200,69.44,23011
23,12,271,185,68.27,23012
23,13,327,210,64.22,23013
23,14,41,25,60.98,23014
23,15,233,146,62.66,23015
23,16,310,194,62.58,23016
23,17,321,213,66.36,23017
23,18,206,135,65.53,23018
23,19,259,166,64.09,23019
23,20,260,195,75.0,23020
23,21,151,93,61.59,23021
23,22,265,189,71.32,23022
23,23,227,144,63.44,23023
23,24,127,105,82.68,23024
23,25,157,131,83.44,23025
23,26,304,202,66.45,23026
23,27,196,134,68.37,23027
23,28,260,179,68.85,23028
23,29,180,122,67.78,23029
23,30,257,174,67.7,23030
23,31,220,179,81.36,23031
23,32,223,166,74.44,23032
23,33,237,197,83.12,23033
23,34,216,164,75.93,23034
23,35,138,93,67.39,23035
23,36,354,238,67.23,23036
23,37,128,84,65.63,23037
23,38,229,184,80.35,23038
23,39,254,186,73.23,23039
23,40,276,184,66.67,23040
23,41,187,151,80.75,23041
23,42,230,186,80.87,23042
23,43,304,185,60.86,23043
23,44,290,220,75.86,23044
23,45,307,183,59.61,23045
23,46,279,176,63.08,23046
23,47,332,213,64.16,23047
23,48,217,181,83.41,23048
23,49,328,226,68.9,23049
23,50,147,113,76.87,23050
23,51,221,179,81.0,23051
23,52,305,189,61.97,23052
23,53,143,120,83.92,23053
23,54,263,148,56.27,23054
23,55,268,192,71.64,23055
23,56,293,226,77.13,23056
