ward,precinct,total,Manuel ''Manny'' Flores,Manuel ''Manny'' Flores Percent,precinct_id
1,1,113,113,100.0,01001
1,2,86,86,100.0,01002
1,3,47,47,100.0,01003
1,4,84,84,100.0,01004
1,5,62,62,100.0,01005
1,6,94,94,100.0,01006
1,7,105,105,100.0,01007
1,8,76,76,100.0,01008
1,9,119,119,100.0,01009
1,10,87,87,100.0,01010
1,11,73,73,100.0,01011
1,12,90,90,100.0,01012
1,13,144,144,100.0,01013
1,14,109,109,100.0,01014
1,15,100,100,100.0,01015
1,16,73,73,100.0,01016
1,17,66,66,100.0,01017
1,18,94,94,100.0,01018
1,19,93,93,100.0,01019
1,20,180,180,100.0,01020
1,21,80,80,100.0,01021
1,22,134,134,100.0,01022
1,23,97,97,100.0,01023
1,24,167,167,100.0,01024
1,25,63,63,100.0,01025
1,26,63,63,100.0,01026
1,27,69,69,100.0,01027
1,28,79,79,100.0,01028
1,29,96,96,100.0,01029
1,30,184,184,100.0,01030
1,31,68,68,100.0,01031
1,32,139,139,100.0,01032
1,33,106,106,100.0,01033
1,34,58,58,100.0,01034
1,35,59,59,100.0,01035
1,36,81,81,100.0,01036
1,37,62,62,100.0,01037
1,38,68,68,100.0,01038
1,39,158,158,100.0,01039
1,40,57,57,100.0,01040
1,41,117,117,100.0,01041
1,42,88,88,100.0,01042
1,43,88,88,100.0,01043
1,44,89,89,100.0,01044
1,45,106,106,100.0,01045
1,46,104,104,100.0,01046
1,47,65,65,100.0,01047
1,48,79,79,100.0,01048
1,49,41,41,100.0,01049
1,50,69,69,100.0,01050
