ward,precinct,total,Scott Waguespack,Scott Waguespack Percent,Ted Matlak,Ted Matlak Percent,Catherine A. Zaryczny,Catherine A. Zaryczny Percent,precinct_id
32,1,204,52,25.49,73,35.78,79,38.73,32001
32,2,137,76,55.47,40,29.2,21,15.33,32002
32,3,134,44,32.84,67,50.0,23,17.16,32003
32,4,207,87,42.03,106,51.21,14,6.76,32004
32,5,125,56,44.8,62,49.6,7,5.6,32005
32,6,219,28,12.79,85,38.81,106,48.4,32006
32,7,91,53,58.24,31,34.07,7,7.69,32007
32,8,186,77,41.4,85,45.7,24,12.9,32008
32,9,253,166,65.61,75,29.64,12,4.74,32009
32,10,150,58,38.67,77,51.33,15,10.0,32010
32,11,143,67,46.85,57,39.86,19,13.29,32011
32,12,94,20,21.28,60,63.83,14,14.89,32012
32,13,59,24,40.68,30,50.85,5,8.47,32013
32,14,160,37,23.13,101,63.13,22,13.75,32014
32,15,119,57,47.9,50,42.02,12,10.08,32015
32,16,179,59,32.96,109,60.89,11,6.15,32016
32,17,152,42,27.63,54,35.53,56,36.84,32017
32,18,115,49,42.61,49,42.61,17,14.78,32018
32,19,171,54,31.58,96,56.14,21,12.28,32019
32,20,137,35,25.55,93,67.88,9,6.57,32020
32,21,145,72,49.66,62,42.76,11,7.59,32021
32,22,201,109,54.23,76,37.81,16,7.96,32022
32,23,166,79,47.59,58,34.94,29,17.47,32023
32,24,167,68,40.72,80,47.9,19,11.38,32024
32,25,128,49,38.28,63,49.22,16,12.5,32025
32,26,149,42,28.19,54,36.24,53,35.57,32026
32,27,145,49,33.79,89,61.38,7,4.83,32027
32,28,128,40,31.25,80,62.5,8,6.25,32028
32,29,170,56,32.94,98,57.65,16,9.41,32029
32,30,131,48,36.64,72,54.96,11,8.4,32030
32,31,215,82,38.14,115,53.49,18,8.37,32031
32,32,137,47,34.31,75,54.74,15,10.95,32032
32,33,137,48,35.04,72,52.55,17,12.41,32033
32,34,166,46,27.71,105,63.25,15,9.04,32034
32,35,226,119,52.65,90,39.82,17,7.52,32035
32,36,167,74,44.31,60,35.93,33,19.76,32036
32,37,168,51,30.36,92,54.76,25,14.88,32037
32,38,126,64,50.79,52,41.27,10,7.94,32038
32,39,170,81,47.65,74,43.53,15,8.82,32039
32,40,168,70,41.67,77,45.83,21,12.5,32040
32,41,174,72,41.38,78,44.83,24,13.79,32041
32,42,195,86,44.1,85,43.59,24,12.31,32042
32,43,156,67,42.95,67,42.95,22,14.1,32043
32,44,165,43,26.06,110,66.67,12,7.27,32044
32,45,112,46,41.07,48,42.86,18,16.07,32045
32,46,70,10,14.29,54,77.14,6,8.57,32046
32,47,225,97,43.11,95,42.22,33,14.67,32047
32,48,218,97,44.5,92,42.2,29,13.3,32048
32,49,91,31,34.07,35,38.46,25,27.47,32049
32,50,202,87,43.07,91,45.05,24,11.88,32050
32,51,161,85,52.8,45,27.95,31,19.25,32051
32,52,93,30,32.26,55,59.14,8,8.6,32052
