ward,precinct,total,Daniel ''Danny'' Solis,Daniel ''Danny'' Solis Percent,Cuahutemoc Morfin,Cuahutemoc Morfin Percent,Aaron Del Valle,Aaron Del Valle Percent,Juan M. Soliz,Juan M. Soliz Percent,Joe D. Acevedo,Joe D. Acevedo Percent,Martha Padilla,Martha Padilla Percent,precinct_id
25,1,221,82,37.1,69,31.22,4,1.81,40,18.1,12,5.43,14,6.33,25001
25,2,294,131,44.56,109,37.07,5,1.7,28,9.52,7,2.38,14,4.76,25002
25,3,93,39,41.94,30,32.26,6,6.45,5,5.38,3,3.23,10,10.75,25003
25,4,253,172,67.98,38,15.02,4,1.58,7,2.77,5,1.98,27,10.67,25004
25,5,225,110,48.89,40,17.78,2,0.89,22,9.78,28,12.44,23,10.22,25005
25,6,159,49,30.82,86,54.09,6,3.77,8,5.03,3,1.89,7,4.4,25006
25,7,208,96,46.15,56,26.92,8,3.85,29,13.94,7,3.37,12,5.77,25007
25,8,238,106,44.54,44,18.49,19,7.98,34,14.29,21,8.82,14,5.88,25008
25,9,304,124,40.79,47,15.46,13,4.28,77,25.33,29,9.54,14,4.61,25009
25,10,127,81,63.78,19,14.96,1,0.79,8,6.3,4,3.15,14,11.02,25010
25,11,227,97,42.73,54,23.79,13,5.73,33,14.54,16,7.05,14,6.17,25011
25,12,178,78,43.82,57,32.02,6,3.37,15,8.43,2,1.12,20,11.24,25012
25,13,280,116,41.43,91,32.5,13,4.64,30,10.71,19,6.79,11,3.93,25013
25,14,174,138,79.31,20,11.49,0,0.0,6,3.45,1,0.57,9,5.17,25014
25,15,247,128,51.82,52,21.05,25,10.12,20,8.1,11,4.45,11,4.45,25015
25,16,165,128,77.58,14,8.48,1,0.61,1,0.61,0,0.0,21,12.73,25016
25,17,360,150,41.67,99,27.5,15,4.17,37,10.28,8,2.22,51,14.17,25017
25,18,364,312,85.71,16,4.4,4,1.1,14,3.85,4,1.1,14,3.85,25018
25,19,251,91,36.25,77,30.68,21,8.37,34,13.55,7,2.79,21,8.37,25019
25,20,267,110,41.2,58,21.72,23,8.61,32,11.99,31,11.61,13,4.87,25020
25,21,141,90,63.83,16,11.35,1,0.71,6,4.26,2,1.42,26,18.44,25021
25,22,126,38,30.16,36,28.57,14,11.11,22,17.46,10,7.94,6,4.76,25022
25,23,277,89,32.13,106,38.27,33,11.91,25,9.03,11,3.97,13,4.69,25023
25,24,275,101,36.73,113,41.09,6,2.18,28,10.18,8,2.91,19,6.91,25024
25,25,172,132,76.74,14,8.14,7,4.07,1,0.58,0,0.0,18,10.47,25025
25,26,150,96,64.0,12,8.0,10,6.67,4,2.67,4,2.67,24,16.0,25026
25,27,171,129,75.44,7,4.09,4,2.34,3,1.75,0,0.0,28,16.37,25027
25,28,239,160,66.95,21,8.79,13,5.44,7,2.93,2,0.84,36,15.06,25028
25,29,293,236,80.55,13,4.44,5,1.71,13,4.44,2,0.68,24,8.19,25029
25,30,232,57,24.57,74,31.9,27,11.64,31,13.36,33,14.22,10,4.31,25030
25,31,143,56,39.16,47,32.87,20,13.99,7,4.9,1,0.7,12,8.39,25031
