ward,precinct,total,Latasha R. Thomas,Latasha R. Thomas Percent,Tyrone De'Andre Hawthorne,Tyrone De'Andre Hawthorne Percent,Yvette Williams,Yvette Williams Percent,Charles Partlow Jr.,Charles Partlow Jr. Percent,precinct_id
17,1,105,74,70.48,3,2.86,24,22.86,4,3.81,17001
17,2,139,95,68.35,18,12.95,13,9.35,13,9.35,17002
17,3,106,66,62.26,21,19.81,12,11.32,7,6.6,17003
17,4,216,167,77.31,34,15.74,13,6.02,2,0.93,17004
17,5,141,89,63.12,17,12.06,28,19.86,7,4.96,17005
17,6,126,86,68.25,27,21.43,11,8.73,2,1.59,17006
17,7,185,132,71.35,31,16.76,12,6.49,10,5.41,17007
17,8,141,111,78.72,11,7.8,17,12.06,2,1.42,17008
17,9,106,59,55.66,31,29.25,12,11.32,4,3.77,17009
17,10,174,137,78.74,18,10.34,8,4.6,11,6.32,17010
17,11,165,98,59.39,31,18.79,28,16.97,8,4.85,17011
17,12,176,150,85.23,20,11.36,1,0.57,5,2.84,17012
17,13,120,76,63.33,26,21.67,12,10.0,6,5.0,17013
17,14,136,83,61.03,10,7.35,38,27.94,5,3.68,17014
17,15,157,100,63.69,42,26.75,8,5.1,7,4.46,17015
17,16,124,70,56.45,30,24.19,15,12.1,9,7.26,17016
17,17,105,59,56.19,25,23.81,17,16.19,4,3.81,17017
17,18,187,155,82.89,20,10.7,8,4.28,4,2.14,17018
17,19,59,37,62.71,3,5.08,19,32.2,0,0.0,17019
17,20,142,95,66.9,16,11.27,22,15.49,9,6.34,17020
17,21,218,168,77.06,20,9.17,17,7.8,13,5.96,17021
17,22,163,102,62.58,45,27.61,6,3.68,10,6.13,17022
17,23,111,73,65.77,17,15.32,19,17.12,2,1.8,17023
17,24,138,95,68.84,33,23.91,3,2.17,7,5.07,17024
17,25,94,74,78.72,10,10.64,5,5.32,5,5.32,17025
17,26,207,137,66.18,31,14.98,33,15.94,6,2.9,17026
17,27,222,135,60.81,60,27.03,16,7.21,11,4.95,17027
17,28,126,72,57.14,41,32.54,9,7.14,4,3.17,17028
17,29,155,117,75.48,12,7.74,21,13.55,5,3.23,17029
17,30,168,109,64.88,29,17.26,9,5.36,21,12.5,17030
17,31,146,93,63.7,17,11.64,28,19.18,8,5.48,17031
17,32,172,75,43.6,51,29.65,44,25.58,2,1.16,17032
17,33,132,102,77.27,8,6.06,22,16.67,0,0.0,17033
17,34,136,102,75.0,16,11.76,11,8.09,7,5.15,17034
17,35,96,67,69.79,16,16.67,6,6.25,7,7.29,17035
17,36,87,57,65.52,14,16.09,15,17.24,1,1.15,17036
17,37,135,71,52.59,51,37.78,9,6.67,4,2.96,17037
17,38,130,89,68.46,25,19.23,3,2.31,13,10.0,17038
17,39,134,96,71.64,19,14.18,9,6.72,10,7.46,17039
17,40,134,78,58.21,24,17.91,22,16.42,10,7.46,17040
17,41,116,70,60.34,18,15.52,22,18.97,6,5.17,17041
17,42,107,64,59.81,8,7.48,31,28.97,4,3.74,17042
17,43,112,76,67.86,18,16.07,13,11.61,5,4.46,17043
17,44,108,85,78.7,9,8.33,6,5.56,8,7.41,17044
17,45,101,79,78.22,8,7.92,9,8.91,5,4.95,17045
17,46,150,103,68.67,11,7.33,29,19.33,7,4.67,17046
17,47,94,58,61.7,20,21.28,7,7.45,9,9.57,17047
17,48,178,111,62.36,43,24.16,11,6.18,13,7.3,17048
17,49,108,58,53.7,11,10.19,30,27.78,9,8.33,17049
17,50,147,89,60.54,30,20.41,19,12.93,9,6.12,17050
17,51,174,135,77.59,25,14.37,10,5.75,4,2.3,17051
17,52,206,128,62.14,58,28.16,16,7.77,4,1.94,17052
17,53,145,94,64.83,18,12.41,21,14.48,12,8.28,17053
17,54,192,136,70.83,12,6.25,36,18.75,8,4.17,17054
17,55,138,102,73.91,18,13.04,12,8.7,6,4.35,17055
17,56,148,83,56.08,26,17.57,34,22.97,5,3.38,17056
17,57,176,110,62.5,21,11.93,40,22.73,5,2.84,17057
17,58,118,80,67.8,8,6.78,19,16.1,11,9.32,17058
17,59,74,47,63.51,8,10.81,18,24.32,1,1.35,17059
17,60,197,130,65.99,15,7.61,44,22.34,8,4.06,17060
17,61,121,90,74.38,10,8.26,20,16.53,1,0.83,17061
17,62,109,71,65.14,6,5.5,31,28.44,1,0.92,17062
17,63,96,52,54.17,2,2.08,38,39.58,4,4.17,17063
17,64,108,46,42.59,4,3.7,55,50.93,3,2.78,17064
