ward,precinct,total,Oscar Worrill,Oscar Worrill Percent,Leslie A. Hairston,Leslie A. Hairston Percent,Sylvester ''Junebug'' Hendricks,Sylvester ''Junebug'' Hendricks Percent,precinct_id
5,1,199,29,14.57,159,79.9,11,5.53,05001
5,2,171,45,26.32,119,69.59,7,4.09,05002
5,3,88,13,14.77,67,76.14,8,9.09,05003
5,4,136,42,30.88,92,67.65,2,1.47,05004
5,5,176,37,21.02,131,74.43,8,4.55,05005
5,6,219,51,23.29,158,72.15,10,4.57,05006
5,7,200,49,24.5,142,71.0,9,4.5,05007
5,8,156,16,10.26,133,85.26,7,4.49,05008
5,9,168,38,22.62,122,72.62,8,4.76,05009
5,10,195,52,26.67,131,67.18,12,6.15,05010
5,11,153,26,16.99,124,81.05,3,1.96,05011
5,12,137,33,24.09,97,70.8,7,5.11,05012
5,13,145,26,17.93,106,73.1,13,8.97,05013
5,14,213,28,13.15,162,76.06,23,10.8,05014
5,15,142,26,18.31,103,72.54,13,9.15,05015
5,16,144,27,18.75,107,74.31,10,6.94,05016
5,17,220,42,19.09,168,76.36,10,4.55,05017
5,18,188,31,16.49,141,75.0,16,8.51,05018
5,19,96,32,33.33,58,60.42,6,6.25,05019
5,20,88,18,20.45,63,71.59,7,7.95,05020
5,21,203,42,20.69,146,71.92,15,7.39,05021
5,22,194,38,19.59,134,69.07,22,11.34,05022
5,23,119,32,26.89,79,66.39,8,6.72,05023
5,24,208,16,7.69,187,89.9,5,2.4,05024
5,25,162,29,17.9,116,71.6,17,10.49,05025
5,26,198,43,21.72,140,70.71,15,7.58,05026
5,27,141,19,13.48,113,80.14,9,6.38,05027
5,28,218,29,13.3,184,84.4,5,2.29,05028
5,29,197,56,28.43,130,65.99,11,5.58,05029
5,30,118,15,12.71,93,78.81,10,8.47,05030
5,31,151,22,14.57,118,78.15,11,7.28,05031
5,32,321,45,14.02,269,83.8,7,2.18,05032
5,33,165,15,9.09,144,87.27,6,3.64,05033
5,34,193,44,22.8,139,72.02,10,5.18,05034
5,35,153,52,33.99,95,62.09,6,3.92,05035
5,36,98,23,23.47,69,70.41,6,6.12,05036
5,37,132,20,15.15,108,81.82,4,3.03,05037
5,38,205,26,12.68,169,82.44,10,4.88,05038
5,39,164,17,10.37,139,84.76,8,4.88,05039
5,40,162,42,25.93,112,69.14,8,4.94,05040
5,41,130,17,13.08,109,83.85,4,3.08,05041
5,42,204,51,25.0,138,67.65,15,7.35,05042
5,43,206,36,17.48,165,80.1,5,2.43,05043
5,44,228,56,24.56,153,67.11,19,8.33,05044
5,45,109,23,21.1,80,73.39,6,5.5,05045
5,46,162,21,12.96,132,81.48,9,5.56,05046
5,47,146,46,31.51,91,62.33,9,6.16,05047
5,48,108,35,32.41,68,62.96,5,4.63,05048
5,49,43,9,20.93,30,69.77,4,9.3,05049
5,50,167,49,29.34,107,64.07,11,6.59,05050
5,51,117,26,22.22,81,69.23,10,8.55,05051
5,52,20,1,5.0,15,75.0,4,20.0,05052
5,53,207,29,14.01,165,79.71,13,6.28,05053
5,54,290,65,22.41,214,73.79,11,3.79,05054
5,55,164,19,11.59,133,81.1,12,7.32,05055
