ward,precinct,total,"Elizabeth """"Beth"""" Ryan","Elizabeth """"Beth"""" Ryan Percent",Yolanda Harris Sayre,Yolanda Harris Sayre Percent,precinct_id
1,1,174,120,68.97,54,31.03,01001
1,2,131,87,66.41,44,33.59,01002
1,3,187,119,63.64,68,36.36,01003
1,4,148,92,62.16,56,37.84,01004
1,5,141,97,68.79,44,31.21,01005
1,6,135,82,60.74,53,39.26,01006
1,7,133,85,63.91,48,36.09,01007
1,8,139,82,58.99,57,41.01,01008
1,9,116,69,59.48,47,40.52,01009
1,10,180,111,61.67,69,38.33,01010
1,11,189,129,68.25,60,31.75,01011
1,12,190,130,68.42,60,31.58,01012
1,13,86,58,67.44,28,32.56,01013
1,14,161,101,62.73,60,37.27,01014
1,15,132,86,65.15,46,34.85,01015
1,16,203,127,62.56,76,37.44,01016
1,17,137,93,67.88,44,32.12,01017
1,18,160,108,67.5,52,32.5,01018
1,19,233,157,67.38,76,32.62,01019
1,20,127,87,68.5,40,31.5,01020
1,21,192,120,62.5,72,37.5,01021
1,22,114,78,68.42,36,31.58,01022
1,23,244,159,65.16,85,34.84,01023
1,24,179,102,56.98,77,43.02,01024
1,25,157,98,62.42,59,37.58,01025
1,26,108,78,72.22,30,27.78,01026
1,27,187,119,63.64,68,36.36,01027
1,28,26,13,50.0,13,50.0,01028
1,29,216,134,62.04,82,37.96,01029
1,30,188,129,68.62,59,31.38,01030
1,31,138,87,63.04,51,36.96,01031
1,32,157,107,68.15,50,31.85,01032
1,33,171,111,64.91,60,35.09,01033
1,34,158,99,62.66,59,37.34,01034
1,35,157,100,63.69,57,36.31,01035
1,36,196,135,68.88,61,31.12,01036
1,37,160,106,66.25,54,33.75,01037
1,38,150,97,64.67,53,35.33,01038
1,39,131,84,64.12,47,35.88,01039
1,40,130,69,53.08,61,46.92,01040
1,41,88,56,63.64,32,36.36,01041
1,42,50,34,68.0,16,32.0,01042
1,43,127,76,59.84,51,40.16,01043
1,44,140,105,75.0,35,25.0,01044
2,1,146,99,67.81,47,32.19,02001
2,2,123,75,60.98,48,39.02,02002
2,3,182,118,64.84,64,35.16,02003
2,4,157,116,73.89,41,26.11,02004
2,5,173,116,67.05,57,32.95,02005
2,6,134,87,64.93,47,35.07,02006
2,7,115,79,68.7,36,31.3,02007
2,8,152,96,63.16,56,36.84,02008
2,9,140,90,64.29,50,35.71,02009
2,10,126,86,68.25,40,31.75,02010
2,11,167,108,64.67,59,35.33,02011
2,12,115,65,56.52,50,43.48,02012
2,13,165,110,66.67,55,33.33,02013
2,14,176,124,70.45,52,29.55,02014
2,15,143,81,56.64,62,43.36,02015
2,16,161,96,59.63,65,40.37,02016
2,17,227,162,71.37,65,28.63,02017
2,18,127,95,74.8,32,25.2,02018
2,19,109,68,62.39,41,37.61,02019
2,20,131,90,68.7,41,31.3,02020
2,21,182,127,69.78,55,30.22,02021
2,22,155,104,67.1,51,32.9,02022
2,23,116,80,68.97,36,31.03,02023
2,24,121,72,59.5,49,40.5,02024
2,25,186,116,62.37,70,37.63,02025
2,26,110,71,64.55,39,35.45,02026
2,27,90,50,55.56,40,44.44,02027
2,28,140,93,66.43,47,33.57,02028
2,29,132,90,68.18,42,31.82,02029
2,30,110,74,67.27,36,32.73,02030
2,31,183,128,69.95,55,30.05,02031
2,32,80,52,65.0,28,35.0,02032
2,33,189,124,65.61,65,34.39,02033
2,34,143,98,68.53,45,31.47,02034
2,35,164,107,65.24,57,34.76,02035
2,36,139,83,59.71,56,40.29,02036
2,37,163,107,65.64,56,34.36,02037
2,38,121,66,54.55,55,45.45,02038
2,39,68,49,72.06,19,27.94,02039
2,40,149,99,66.44,50,33.56,02040
2,41,127,89,70.08,38,29.92,02041
2,42,120,78,65.0,42,35.0,02042
2,43,145,99,68.28,46,31.72,02043
2,44,150,102,68.0,48,32.0,02044
2,45,90,64,71.11,26,28.89,02045
2,46,85,50,58.82,35,41.18,02046
3,1,178,52,29.21,126,70.79,03001
3,2,258,69,26.74,189,73.26,03002
3,3,107,43,40.19,64,59.81,03003
3,4,228,37,16.23,191,83.77,03004
3,5,80,19,23.75,61,76.25,03005
3,6,230,112,48.7,118,51.3,03006
3,7,151,55,36.42,96,63.58,03007
3,8,96,33,34.38,63,65.63,03008
3,9,186,39,20.97,147,79.03,03009
3,10,62,19,30.65,43,69.35,03010
3,11,156,39,25.0,117,75.0,03011
3,12,245,71,28.98,174,71.02,03012
3,13,199,112,56.28,87,43.72,03013
3,14,178,95,53.37,83,46.63,03014
3,15,124,34,27.42,90,72.58,03015
3,16,129,34,26.36,95,73.64,03016
3,17,178,66,37.08,112,62.92,03017
3,18,213,81,38.03,132,61.97,03018
3,19,201,101,50.25,100,49.75,03019
3,20,171,39,22.81,132,77.19,03020
3,21,207,93,44.93,114,55.07,03021
3,22,215,123,57.21,92,42.79,03022
3,23,102,35,34.31,67,65.69,03023
3,24,118,33,27.97,85,72.03,03024
3,25,302,173,57.28,129,42.72,03025
3,26,224,110,49.11,114,50.89,03026
3,27,199,102,51.26,97,48.74,03027
3,28,119,48,40.34,71,59.66,03028
3,29,120,32,26.67,88,73.33,03029
3,30,166,44,26.51,122,73.49,03030
3,31,154,44,28.57,110,71.43,03031
3,32,209,97,46.41,112,53.59,03032
3,33,183,95,51.91,88,48.09,03033
3,34,228,113,49.56,115,50.44,03034
3,35,88,24,27.27,64,72.73,03035
3,36,61,16,26.23,45,73.77,03036
3,37,118,41,34.75,77,65.25,03037
3,38,168,54,32.14,114,67.86,03038
3,39,286,164,57.34,122,42.66,03039
3,40,142,59,41.55,83,58.45,03040
3,41,149,59,39.6,90,60.4,03041
4,1,255,119,46.67,136,53.33,04001
4,2,240,130,54.17,110,45.83,04002
4,3,110,35,31.82,75,68.18,04003
4,4,212,62,29.25,150,70.75,04004
4,5,212,49,23.11,163,76.89,04005
4,6,288,81,28.13,207,71.88,04006
4,7,240,67,27.92,173,72.08,04007
4,8,234,45,19.23,189,80.77,04008
4,9,309,61,19.74,248,80.26,04009
4,10,286,74,25.87,212,74.13,04010
4,11,101,27,26.73,74,73.27,04011
4,12,208,54,25.96,154,74.04,04012
4,13,118,66,55.93,52,44.07,04013
4,14,205,61,29.76,144,70.24,04014
4,15,215,62,28.84,153,71.16,04015
4,16,281,158,56.23,123,43.77,04016
4,17,222,122,54.95,100,45.05,04017
4,18,212,85,40.09,127,59.91,04018
4,19,88,20,22.73,68,77.27,04019
4,20,183,107,58.47,76,41.53,04020
4,21,158,100,63.29,58,36.71,04021
4,22,198,78,39.39,120,60.61,04022
4,23,269,142,52.79,127,47.21,04023
4,24,162,57,35.19,105,64.81,04024
4,25,239,126,52.72,113,47.28,04025
4,26,148,44,29.73,104,70.27,04026
4,27,243,89,36.63,154,63.37,04027
4,28,143,39,27.27,104,72.73,04028
4,29,193,50,25.91,143,74.09,04029
4,30,190,42,22.11,148,77.89,04030
4,31,277,69,24.91,208,75.09,04031
4,32,222,56,25.23,166,74.77,04032
4,33,161,65,40.37,96,59.63,04033
4,34,169,45,26.63,124,73.37,04034
4,35,248,61,24.6,187,75.4,04035
4,36,259,73,28.19,186,71.81,04036
4,37,315,172,54.6,143,45.4,04037
4,38,247,56,22.67,191,77.33,04038
5,1,108,26,24.07,82,75.93,05001
5,2,95,32,33.68,63,66.32,05002
5,3,173,97,56.07,76,43.93,05003
5,4,234,88,37.61,146,62.39,05004
5,5,134,39,29.1,95,70.9,05005
5,6,129,36,27.91,93,72.09,05006
5,7,180,62,34.44,118,65.56,05007
5,8,207,121,58.45,86,41.55,05008
5,9,248,91,36.69,157,63.31,05009
5,10,98,25,25.51,73,74.49,05010
5,11,210,106,50.48,104,49.52,05011
5,12,79,29,36.71,50,63.29,05012
5,13,123,29,23.58,94,76.42,05013
5,14,202,44,21.78,158,78.22,05014
5,15,157,53,33.76,104,66.24,05015
5,16,151,48,31.79,103,68.21,05016
5,17,104,33,31.73,71,68.27,05017
5,18,167,72,43.11,95,56.89,05018
5,19,208,109,52.4,99,47.6,05019
5,20,268,100,37.31,168,62.69,05020
5,21,177,94,53.11,83,46.89,05021
5,22,302,117,38.74,185,61.26,05022
5,23,321,144,44.86,177,55.14,05023
5,24,219,119,54.34,100,45.66,05024
5,25,177,50,28.25,127,71.75,05025
5,26,148,39,26.35,109,73.65,05026
5,27,154,100,64.94,54,35.06,05027
5,28,184,41,22.28,143,77.72,05028
5,29,167,46,27.54,121,72.46,05029
5,30,90,22,24.44,68,75.56,05030
5,31,99,28,28.28,71,71.72,05031
5,32,216,59,27.31,157,72.69,05032
5,33,186,57,30.65,129,69.35,05033
5,34,204,106,51.96,98,48.04,05034
5,35,261,119,45.59,142,54.41,05035
5,36,61,19,31.15,42,68.85,05036
5,37,234,136,58.12,98,41.88,05037
5,38,133,42,31.58,91,68.42,05038
5,39,181,92,50.83,89,49.17,05039
5,40,126,26,20.63,100,79.37,05040
5,41,146,42,28.77,104,71.23,05041
6,1,166,40,24.1,126,75.9,06001
6,2,191,41,21.47,150,78.53,06002
6,3,139,46,33.09,93,66.91,06003
6,4,76,27,35.53,49,64.47,06004
6,5,76,23,30.26,53,69.74,06005
6,6,155,38,24.52,117,75.48,06006
6,7,93,34,36.56,59,63.44,06007
6,8,170,40,23.53,130,76.47,06008
6,9,91,26,28.57,65,71.43,06009
6,10,60,18,30.0,42,70.0,06010
6,11,99,30,30.3,69,69.7,06011
6,12,59,20,33.9,39,66.1,06012
6,13,128,38,29.69,90,70.31,06013
6,14,128,31,24.22,97,75.78,06014
6,15,70,20,28.57,50,71.43,06015
6,16,157,40,25.48,117,74.52,06016
6,17,67,21,31.34,46,68.66,06017
6,18,83,32,38.55,51,61.45,06018
6,19,82,20,24.39,62,75.61,06019
6,20,73,16,21.92,57,78.08,06020
6,21,46,18,39.13,28,60.87,06021
6,22,57,9,15.79,48,84.21,06022
6,23,46,17,36.96,29,63.04,06023
6,24,53,17,32.08,36,67.92,06024
6,25,59,20,33.9,39,66.1,06025
6,26,62,20,32.26,42,67.74,06026
6,27,62,22,35.48,40,64.52,06027
6,28,41,9,21.95,32,78.05,06028
6,29,174,39,22.41,135,77.59,06029
6,30,80,29,36.25,51,63.75,06030
6,31,173,31,17.92,142,82.08,06031
6,32,126,44,34.92,82,65.08,06032
6,33,135,34,25.19,101,74.81,06033
6,34,130,33,25.38,97,74.62,06034
6,35,155,39,25.16,116,74.84,06035
6,36,187,40,21.39,147,78.61,06036
6,37,208,50,24.04,158,75.96,06037
6,38,164,30,18.29,134,81.71,06038
6,39,109,35,32.11,74,67.89,06039
6,40,105,35,33.33,70,66.67,06040
6,41,151,32,21.19,119,78.81,06041
6,42,117,32,27.35,85,72.65,06042
6,43,120,30,25.0,90,75.0,06043
6,44,129,22,17.05,107,82.95,06044
6,45,152,28,18.42,124,81.58,06045
6,46,102,25,24.51,77,75.49,06046
6,47,109,44,40.37,65,59.63,06047
6,48,111,27,24.32,84,75.68,06048
7,1,91,20,21.98,71,78.02,07001
7,2,93,26,27.96,67,72.04,07002
7,3,126,32,25.4,94,74.6,07003
7,4,115,25,21.74,90,78.26,07004
7,5,86,30,34.88,56,65.12,07005
7,6,168,49,29.17,119,70.83,07006
7,7,90,23,25.56,67,74.44,07007
7,8,100,37,37.0,63,63.0,07008
7,9,237,65,27.43,172,72.57,07009
7,10,170,39,22.94,131,77.06,07010
7,11,98,29,29.59,69,70.41,07011
7,12,73,26,35.62,47,64.38,07012
7,13,103,38,36.89,65,63.11,07013
7,14,111,44,39.64,67,60.36,07014
7,15,133,27,20.3,106,79.7,07015
7,16,81,23,28.4,58,71.6,07016
7,17,91,30,32.97,61,67.03,07017
7,18,102,36,35.29,66,64.71,07018
7,19,100,24,24.0,76,76.0,07019
7,20,66,20,30.3,46,69.7,07020
7,21,66,20,30.3,46,69.7,07021
7,22,95,38,40.0,57,60.0,07022
7,23,143,24,16.78,119,83.22,07023
7,24,82,27,32.93,55,67.07,07024
7,25,47,22,46.81,25,53.19,07025
7,26,111,27,24.32,84,75.68,07026
7,27,95,23,24.21,72,75.79,07027
7,28,66,21,31.82,45,68.18,07028
7,29,108,27,25.0,81,75.0,07029
7,30,72,22,30.56,50,69.44,07030
7,31,61,19,31.15,42,68.85,07031
7,32,227,58,25.55,169,74.45,07032
7,33,218,58,26.61,160,73.39,07033
7,34,173,48,27.75,125,72.25,07034
7,35,107,29,27.1,78,72.9,07035
7,36,164,32,19.51,132,80.49,07036
7,37,133,44,33.08,89,66.92,07037
