ward,precinct,total,Raymond W. Mitchell,Raymond W. Mitchell Percent,Devlin Joseph Schoop,Devlin Joseph Schoop Percent,John H. Ehrlich,John H. Ehrlich Percent,precinct_id
1,1,181,42,23.2,79,43.65,60,33.15,01001
1,2,132,45,34.09,54,40.91,33,25.0,01002
1,3,195,68,34.87,60,30.77,67,34.36,01003
1,4,153,45,29.41,53,34.64,55,35.95,01004
1,5,142,51,35.92,43,30.28,48,33.8,01005
1,6,141,56,39.72,48,34.04,37,26.24,01006
1,7,138,38,27.54,50,36.23,50,36.23,01007
1,8,148,57,38.51,51,34.46,40,27.03,01008
1,9,122,40,32.79,39,31.97,43,35.25,01009
1,10,183,55,30.05,67,36.61,61,33.33,01010
1,11,187,78,41.71,57,30.48,52,27.81,01011
1,12,189,46,24.34,88,46.56,55,29.1,01012
1,13,84,23,27.38,36,42.86,25,29.76,01013
1,14,163,46,28.22,58,35.58,59,36.2,01014
1,15,133,37,27.82,51,38.35,45,33.83,01015
1,16,199,58,29.15,68,34.17,73,36.68,01016
1,17,137,43,31.39,58,42.34,36,26.28,01017
1,18,160,48,30.0,70,43.75,42,26.25,01018
1,19,235,66,28.09,99,42.13,70,29.79,01019
1,20,132,34,25.76,62,46.97,36,27.27,01020
1,21,198,59,29.8,75,37.88,64,32.32,01021
1,22,114,33,28.95,49,42.98,32,28.07,01022
1,23,244,64,26.23,103,42.21,77,31.56,01023
1,24,185,60,32.43,72,38.92,53,28.65,01024
1,25,157,45,28.66,61,38.85,51,32.48,01025
1,26,110,26,23.64,54,49.09,30,27.27,01026
1,27,185,65,35.14,57,30.81,63,34.05,01027
1,28,28,16,57.14,7,25.0,5,17.86,01028
1,29,223,77,34.53,81,36.32,65,29.15,01029
1,30,197,62,31.47,92,46.7,43,21.83,01030
1,31,140,62,44.29,44,31.43,34,24.29,01031
1,32,156,43,27.56,56,35.9,57,36.54,01032
1,33,176,69,39.2,51,28.98,56,31.82,01033
1,34,159,52,32.7,68,42.77,39,24.53,01034
1,35,154,57,37.01,46,29.87,51,33.12,01035
1,36,198,73,36.87,60,30.3,65,32.83,01036
1,37,156,42,26.92,69,44.23,45,28.85,01037
1,38,152,48,31.58,61,40.13,43,28.29,01038
1,39,127,54,42.52,38,29.92,35,27.56,01039
1,40,128,53,41.41,28,21.88,47,36.72,01040
1,41,89,30,33.71,31,34.83,28,31.46,01041
1,42,50,15,30.0,20,40.0,15,30.0,01042
1,43,133,39,29.32,51,38.35,43,32.33,01043
1,44,143,43,30.07,64,44.76,36,25.17,01044
2,1,152,54,35.53,64,42.11,34,22.37,02001
2,2,133,63,47.37,16,12.03,54,40.6,02002
2,3,181,62,34.25,56,30.94,63,34.81,02003
2,4,162,43,26.54,67,41.36,52,32.1,02004
2,5,174,56,32.18,55,31.61,63,36.21,02005
2,6,133,43,32.33,59,44.36,31,23.31,02006
2,7,115,37,32.17,37,32.17,41,35.65,02007
2,8,153,64,41.83,48,31.37,41,26.8,02008
2,9,138,56,40.58,41,29.71,41,29.71,02009
2,10,135,65,48.15,8,5.93,62,45.93,02010
2,11,176,86,48.86,22,12.5,68,38.64,02011
2,12,114,55,48.25,25,21.93,34,29.82,02012
2,13,172,89,51.74,23,13.37,60,34.88,02013
2,14,181,70,38.67,58,32.04,53,29.28,02014
2,15,147,62,42.18,35,23.81,50,34.01,02015
2,16,165,49,29.7,60,36.36,56,33.94,02016
2,17,224,66,29.46,92,41.07,66,29.46,02017
2,18,133,76,57.14,16,12.03,41,30.83,02018
2,19,118,50,42.37,19,16.1,49,41.53,02019
2,20,136,66,48.53,33,24.26,37,27.21,02020
2,21,179,52,29.05,69,38.55,58,32.4,02021
2,22,171,72,42.11,31,18.13,68,39.77,02022
2,23,120,59,49.17,10,8.33,51,42.5,02023
2,24,132,63,47.73,24,18.18,45,34.09,02024
2,25,188,68,36.17,54,28.72,66,35.11,02025
2,26,108,40,37.04,27,25.0,41,37.96,02026
2,27,96,43,44.79,15,15.63,38,39.58,02027
2,28,141,56,39.72,31,21.99,54,38.3,02028
2,29,134,57,42.54,26,19.4,51,38.06,02029
2,30,114,52,45.61,15,13.16,47,41.23,02030
2,31,180,106,58.89,8,4.44,66,36.67,02031
2,32,82,36,43.9,17,20.73,29,35.37,02032
2,33,189,69,36.51,30,15.87,90,47.62,02033
2,34,148,71,47.97,13,8.78,64,43.24,02034
2,35,166,76,45.78,40,24.1,50,30.12,02035
2,36,143,65,45.45,32,22.38,46,32.17,02036
2,37,169,78,46.15,25,14.79,66,39.05,02037
2,38,125,60,48.0,13,10.4,52,41.6,02038
2,39,67,28,41.79,14,20.9,25,37.31,02039
2,40,153,78,50.98,31,20.26,44,28.76,02040
2,41,130,62,47.69,28,21.54,40,30.77,02041
2,42,125,64,51.2,33,26.4,28,22.4,02042
