ward,precinct,total,"Elizabeth """"Lisa"""" Hernandez","Elizabeth """"Lisa"""" Hernandez Percent",precinct_id
11,1,127,127,100.0,11001
11,3,149,149,100.0,11003
11,4,103,103,100.0,11004
11,5,139,139,100.0,11005
11,8,107,107,100.0,11008
11,9,87,87,100.0,11009
11,11,100,100,100.0,11011
11,17,182,182,100.0,11017
11,19,186,186,100.0,11019
11,25,170,170,100.0,11025
11,31,1,1,100.0,11031
12,1,112,112,100.0,12001
12,2,64,64,100.0,12002
12,3,140,140,100.0,12003
12,4,115,115,100.0,12004
12,5,102,102,100.0,12005
12,6,107,107,100.0,12006
12,7,61,61,100.0,12007
12,8,112,112,100.0,12008
12,9,77,77,100.0,12009
12,10,95,95,100.0,12010
12,11,60,60,100.0,12011
12,12,68,68,100.0,12012
12,13,77,77,100.0,12013
12,14,70,70,100.0,12014
12,15,70,70,100.0,12015
12,16,38,38,100.0,12016
12,17,60,60,100.0,12017
12,18,47,47,100.0,12018
12,19,75,75,100.0,12019
12,20,76,76,100.0,12020
12,21,97,97,100.0,12021
12,22,59,59,100.0,12022
12,23,119,119,100.0,12023
13,1,86,86,100.0,13001
13,3,39,39,100.0,13003
13,5,56,56,100.0,13005
13,7,44,44,100.0,13007
13,8,56,56,100.0,13008
13,9,57,57,100.0,13009
13,12,59,59,100.0,13012
13,13,71,71,100.0,13013
13,14,72,72,100.0,13014
13,15,81,81,100.0,13015
13,16,43,43,100.0,13016
13,17,73,73,100.0,13017
13,19,59,59,100.0,13019
13,23,59,59,100.0,13023
13,24,60,60,100.0,13024
13,25,53,53,100.0,13025
13,26,85,85,100.0,13026
13,27,69,69,100.0,13027
13,28,51,51,100.0,13028
13,29,49,49,100.0,13029
13,30,33,33,100.0,13030
13,34,67,67,100.0,13034
13,35,53,53,100.0,13035
13,36,28,28,100.0,13036
13,37,120,120,100.0,13037
13,39,69,69,100.0,13039
13,40,43,43,100.0,13040
13,41,79,79,100.0,13041
13,43,81,81,100.0,13043
13,44,54,54,100.0,13044
13,45,67,67,100.0,13045
13,46,56,56,100.0,13046
13,47,79,79,100.0,13047
14,2,73,73,100.0,14002
14,3,45,45,100.0,14003
14,5,58,58,100.0,14005
14,6,22,22,100.0,14006
14,7,78,78,100.0,14007
14,8,68,68,100.0,14008
14,10,41,41,100.0,14010
14,11,23,23,100.0,14011
14,12,75,75,100.0,14012
14,13,65,65,100.0,14013
14,14,66,66,100.0,14014
14,15,45,45,100.0,14015
14,16,55,55,100.0,14016
14,17,34,34,100.0,14017
14,18,31,31,100.0,14018
14,19,61,61,100.0,14019
14,20,44,44,100.0,14020
14,21,40,40,100.0,14021
14,22,85,85,100.0,14022
14,23,57,57,100.0,14023
14,25,30,30,100.0,14025
14,26,56,56,100.0,14026
14,27,63,63,100.0,14027
14,28,41,41,100.0,14028
14,29,50,50,100.0,14029
14,30,39,39,100.0,14030
14,31,40,40,100.0,14031
15,1,69,69,100.0,15001
15,4,49,49,100.0,15004
15,5,41,41,100.0,15005
15,6,51,51,100.0,15006
15,8,57,57,100.0,15008
15,9,69,69,100.0,15009
15,10,107,107,100.0,15010
15,11,68,68,100.0,15011
15,12,60,60,100.0,15012
15,13,58,58,100.0,15013
15,14,41,41,100.0,15014
15,15,48,48,100.0,15015
15,16,54,54,100.0,15016
15,19,70,70,100.0,15019
16,1,74,74,100.0,16001
16,7,10,10,100.0,16007
