ward,precinct,total,Eva-Dina Delgado,Eva-Dina Delgado Percent,precinct_id
1,1,171,171,100.0,01001
1,2,124,124,100.0,01002
1,5,131,131,100.0,01005
1,8,124,124,100.0,01008
1,10,22,22,100.0,01010
1,11,163,163,100.0,01011
1,14,27,27,100.0,01014
1,17,132,132,100.0,01017
1,20,125,125,100.0,01020
1,21,174,174,100.0,01021
1,22,115,115,100.0,01022
1,24,9,9,100.0,01024
1,25,155,155,100.0,01025
1,26,112,112,100.0,01026
1,27,182,182,100.0,01027
1,29,222,222,100.0,01029
1,30,191,191,100.0,01030
1,31,129,129,100.0,01031
1,38,150,150,100.0,01038
1,44,139,139,100.0,01044
2,14,8,8,100.0,02014
2,15,68,68,100.0,02015
2,16,161,161,100.0,02016
2,21,9,9,100.0,02021
26,7,4,4,100.0,26007
26,11,0,0,0.0,26011
26,23,48,48,100.0,26023
26,24,75,75,100.0,26024
26,30,105,105,100.0,26030
26,34,10,10,100.0,26034
26,37,111,111,100.0,26037
26,42,97,97,100.0,26042
26,49,38,38,100.0,26049
29,29,28,28,100.0,29029
29,31,37,37,100.0,29031
29,38,72,72,100.0,29038
29,39,86,86,100.0,29039
30,2,83,83,100.0,30002
30,5,53,53,100.0,30005
30,6,87,87,100.0,30006
30,10,101,101,100.0,30010
30,11,74,74,100.0,30011
30,12,32,32,100.0,30012
30,13,100,100,100.0,30013
30,14,50,50,100.0,30014
30,16,45,45,100.0,30016
30,17,68,68,100.0,30017
30,19,47,47,100.0,30019
30,21,74,74,100.0,30021
30,29,54,54,100.0,30029
30,30,46,46,100.0,30030
31,3,12,12,100.0,31003
31,4,106,106,100.0,31004
31,16,124,124,100.0,31016
31,21,9,9,100.0,31021
31,22,52,52,100.0,31022
31,39,68,68,100.0,31039
32,2,128,128,100.0,32002
32,6,135,135,100.0,32006
35,2,186,186,100.0,35002
35,3,126,126,100.0,35003
35,7,185,185,100.0,35007
35,8,149,149,100.0,35008
35,12,30,30,100.0,35012
35,14,99,99,100.0,35014
35,18,81,81,100.0,35018
35,19,38,38,100.0,35019
35,21,154,154,100.0,35021
36,1,93,93,100.0,36001
36,2,6,6,100.0,36002
36,3,40,40,100.0,36003
36,7,103,103,100.0,36007
36,8,26,26,100.0,36008
36,9,64,64,100.0,36009
36,10,97,97,100.0,36010
36,11,55,55,100.0,36011
36,14,52,52,100.0,36014
36,16,21,21,100.0,36016
36,17,142,142,100.0,36017
36,18,119,119,100.0,36018
36,19,111,111,100.0,36019
36,20,38,38,100.0,36020
36,21,51,51,100.0,36021
36,23,23,23,100.0,36023
36,24,100,100,100.0,36024
36,25,35,35,100.0,36025
36,26,85,85,100.0,36026
36,27,61,61,100.0,36027
36,28,81,81,100.0,36028
36,29,101,101,100.0,36029
36,30,97,97,100.0,36030
38,8,42,42,100.0,38008
38,10,94,94,100.0,38010
