ward,precinct,total,Thomas E. Nowinski,Thomas E. Nowinski Percent,Carmen Migdalia Quinones,Carmen Migdalia Quinones Percent,precinct_id
1,1,166,82,49.4,84,50.6,01001
1,2,130,53,40.77,77,59.23,01002
1,3,185,125,67.57,60,32.43,01003
1,4,137,71,51.82,66,48.18,01004
1,5,134,93,69.4,41,30.6,01005
1,6,132,74,56.06,58,43.94,01006
1,7,132,72,54.55,60,45.45,01007
1,8,134,71,52.99,63,47.01,01008
1,9,115,62,53.91,53,46.09,01009
1,10,171,107,62.57,64,37.43,01010
1,11,184,114,61.96,70,38.04,01011
1,12,178,91,51.12,87,48.88,01012
1,13,85,42,49.41,43,50.59,01013
1,14,159,87,54.72,72,45.28,01014
1,15,128,64,50.0,64,50.0,01015
1,16,192,102,53.13,90,46.88,01016
1,17,131,61,46.56,70,53.44,01017
1,18,146,67,45.89,79,54.11,01018
1,19,225,109,48.44,116,51.56,01019
1,20,118,57,48.31,61,51.69,01020
1,21,189,112,59.26,77,40.74,01021
1,22,107,58,54.21,49,45.79,01022
1,23,232,123,53.02,109,46.98,01023
1,24,166,79,47.59,87,52.41,01024
1,25,153,82,53.59,71,46.41,01025
1,26,108,46,42.59,62,57.41,01026
1,27,180,117,65.0,63,35.0,01027
1,28,25,11,44.0,14,56.0,01028
1,29,210,132,62.86,78,37.14,01029
1,30,178,69,38.76,109,61.24,01030
1,31,136,61,44.85,75,55.15,01031
1,32,149,77,51.68,72,48.32,01032
1,33,165,95,57.58,70,42.42,01033
1,34,150,76,50.67,74,49.33,01034
1,35,151,94,62.25,57,37.75,01035
1,36,185,115,62.16,70,37.84,01036
1,37,156,78,50.0,78,50.0,01037
1,38,141,71,50.35,70,49.65,01038
1,39,124,68,54.84,56,45.16,01039
1,40,128,71,55.47,57,44.53,01040
1,41,83,48,57.83,35,42.17,01041
1,42,46,31,67.39,15,32.61,01042
1,43,124,68,54.84,56,45.16,01043
1,44,132,71,53.79,61,46.21,01044
2,1,143,78,54.55,65,45.45,02001
2,2,121,83,68.6,38,31.4,02002
2,3,178,105,58.99,73,41.01,02003
2,4,149,95,63.76,54,36.24,02004
2,5,167,100,59.88,67,40.12,02005
2,6,133,66,49.62,67,50.38,02006
2,7,108,72,66.67,36,33.33,02007
2,8,149,90,60.4,59,39.6,02008
2,9,136,65,47.79,71,52.21,02009
2,10,130,100,76.92,30,23.08,02010
2,11,172,119,69.19,53,30.81,02011
2,12,110,71,64.55,39,35.45,02012
2,13,165,130,78.79,35,21.21,02013
2,14,160,88,55.0,72,45.0,02014
2,15,140,96,68.57,44,31.43,02015
2,16,159,92,57.86,67,42.14,02016
2,17,216,125,57.87,91,42.13,02017
2,18,127,84,66.14,43,33.86,02018
2,19,114,84,73.68,30,26.32,02019
2,20,132,98,74.24,34,25.76,02020
2,21,166,98,59.04,68,40.96,02021
2,22,152,109,71.71,43,28.29,02022
2,23,117,95,81.2,22,18.8,02023
2,24,123,82,66.67,41,33.33,02024
2,25,177,109,61.58,68,38.42,02025
2,26,108,72,66.67,36,33.33,02026
2,27,87,59,67.82,28,32.18,02027
2,28,138,90,65.22,48,34.78,02028
2,29,132,86,65.15,46,34.85,02029
2,30,109,75,68.81,34,31.19,02030
2,31,173,127,73.41,46,26.59,02031
2,32,80,54,67.5,26,32.5,02032
2,33,186,124,66.67,62,33.33,02033
2,34,139,111,79.86,28,20.14,02034
2,35,161,98,60.87,63,39.13,02035
2,36,140,87,62.14,53,37.86,02036
2,37,163,119,73.01,44,26.99,02037
2,38,123,86,69.92,37,30.08,02038
2,39,69,36,52.17,33,47.83,02039
2,40,147,91,61.9,56,38.1,02040
2,41,121,76,62.81,45,37.19,02041
2,42,118,72,61.02,46,38.98,02042
2,43,144,110,76.39,34,23.61,02043
2,44,148,105,70.95,43,29.05,02044
2,45,88,69,78.41,19,21.59,02045
2,46,81,54,66.67,27,33.33,02046
3,1,166,68,40.96,98,59.04,03001
3,2,237,129,54.43,108,45.57,03002
3,3,100,51,51.0,49,49.0,03003
3,4,210,101,48.1,109,51.9,03004
3,5,76,32,42.11,44,57.89,03005
3,6,227,152,66.96,75,33.04,03006
3,7,140,72,51.43,68,48.57,03007
3,8,92,43,46.74,49,53.26,03008
3,9,173,76,43.93,97,56.07,03009
3,10,62,42,67.74,20,32.26,03010
3,11,145,69,47.59,76,52.41,03011
3,12,227,102,44.93,125,55.07,03012
3,13,200,136,68.0,64,32.0,03013
3,14,172,109,63.37,63,36.63,03014
3,15,118,59,50.0,59,50.0,03015
3,16,122,54,44.26,68,55.74,03016
3,17,167,94,56.29,73,43.71,03017
3,18,204,98,48.04,106,51.96,03018
3,19,197,126,63.96,71,36.04,03019
3,20,165,72,43.64,93,56.36,03020
3,21,200,117,58.5,83,41.5,03021
3,22,205,118,57.56,87,42.44,03022
3,23,95,43,45.26,52,54.74,03023
3,24,110,46,41.82,64,58.18,03024
3,25,295,198,67.12,97,32.88,03025
3,26,220,139,63.18,81,36.82,03026
3,27,198,115,58.08,83,41.92,03027
3,28,116,53,45.69,63,54.31,03028
3,29,113,53,46.9,60,53.1,03029
3,30,155,88,56.77,67,43.23,03030
3,31,145,67,46.21,78,53.79,03031
3,32,200,126,63.0,74,37.0,03032
3,33,182,119,65.38,63,34.62,03033
3,34,220,127,57.73,93,42.27,03034
3,35,86,43,50.0,43,50.0,03035
3,36,57,26,45.61,31,54.39,03036
3,37,107,48,44.86,59,55.14,03037
3,38,152,84,55.26,68,44.74,03038
3,39,282,173,61.35,109,38.65,03039
3,40,138,74,53.62,64,46.38,03040
3,41,144,85,59.03,59,40.97,03041
4,1,239,146,61.09,93,38.91,04001
4,2,239,168,70.29,71,29.71,04002
4,3,99,55,55.56,44,44.44,04003
4,4,202,78,38.61,124,61.39,04004
4,5,196,83,42.35,113,57.65,04005
4,6,281,123,43.77,158,56.23,04006
4,7,225,103,45.78,122,54.22,04007
4,8,220,110,50.0,110,50.0,04008
4,9,294,162,55.1,132,44.9,04009
4,10,270,127,47.04,143,52.96,04010
4,11,100,61,61.0,39,39.0,04011
4,12,199,104,52.26,95,47.74,04012
4,13,120,65,54.17,55,45.83,04013
4,14,191,111,58.12,80,41.88,04014
4,15,207,100,48.31,107,51.69,04015
4,16,276,165,59.78,111,40.22,04016
4,17,217,127,58.53,90,41.47,04017
4,18,196,95,48.47,101,51.53,04018
4,19,80,36,45.0,44,55.0,04019
4,20,180,127,70.56,53,29.44,04020
4,21,158,105,66.46,53,33.54,04021
4,22,189,115,60.85,74,39.15,04022
4,23,254,158,62.2,96,37.8,04023
4,24,156,95,60.9,61,39.1,04024
4,25,238,154,64.71,84,35.29,04025
4,26,142,84,59.15,58,40.85,04026
4,27,231,132,57.14,99,42.86,04027
4,28,138,76,55.07,62,44.93,04028
4,29,179,81,45.25,98,54.75,04029
4,30,179,86,48.04,93,51.96,04030
4,31,259,141,54.44,118,45.56,04031
4,32,206,87,42.23,119,57.77,04032
4,33,154,73,47.4,81,52.6,04033
4,34,156,85,54.49,71,45.51,04034
4,35,228,113,49.56,115,50.44,04035
4,36,245,133,54.29,112,45.71,04036
