ward,precinct,total,Fritz Kaegi,Fritz Kaegi Percent,Kari K. Steele,Kari K. Steele Percent,precinct_id
1,1,186,128,68.82,58,31.18,01001
1,2,134,96,71.64,38,28.36,01002
1,3,195,105,53.85,90,46.15,01003
1,4,158,95,60.13,63,39.87,01004
1,5,145,105,72.41,40,27.59,01005
1,6,146,91,62.33,55,37.67,01006
1,7,140,91,65.0,49,35.0,01007
1,8,151,80,52.98,71,47.02,01008
1,9,123,72,58.54,51,41.46,01009
1,10,189,130,68.78,59,31.22,01010
1,11,192,127,66.15,65,33.85,01011
1,12,196,131,66.84,65,33.16,01012
1,13,90,67,74.44,23,25.56,01013
1,14,173,109,63.01,64,36.99,01014
1,15,146,90,61.64,56,38.36,01015
1,16,207,140,67.63,67,32.37,01016
1,17,146,104,71.23,42,28.77,01017
1,18,172,113,65.7,59,34.3,01018
1,19,241,159,65.98,82,34.02,01019
1,20,135,96,71.11,39,28.89,01020
1,21,204,130,63.73,74,36.27,01021
1,22,116,72,62.07,44,37.93,01022
1,23,253,184,72.73,69,27.27,01023
1,24,194,108,55.67,86,44.33,01024
1,25,163,114,69.94,49,30.06,01025
1,26,117,84,71.79,33,28.21,01026
1,27,187,133,71.12,54,28.88,01027
1,28,32,14,43.75,18,56.25,01028
1,29,231,157,67.97,74,32.03,01029
1,30,212,145,68.4,67,31.6,01030
1,31,138,95,68.84,43,31.16,01031
1,32,158,95,60.13,63,39.87,01032
1,33,199,137,68.84,62,31.16,01033
1,34,171,123,71.93,48,28.07,01034
1,35,168,99,58.93,69,41.07,01035
1,36,205,132,64.39,73,35.61,01036
1,37,179,117,65.36,62,34.64,01037
1,38,155,94,60.65,61,39.35,01038
1,39,136,82,60.29,54,39.71,01039
1,40,134,71,52.99,63,47.01,01040
1,41,96,65,67.71,31,32.29,01041
1,42,43,28,65.12,15,34.88,01042
1,43,131,91,69.47,40,30.53,01043
1,44,150,105,70.0,45,30.0,01044
2,1,151,88,58.28,63,41.72,02001
2,2,141,96,68.09,45,31.91,02002
2,3,187,122,65.24,65,34.76,02003
2,4,164,105,64.02,59,35.98,02004
2,5,176,102,57.95,74,42.05,02005
2,6,136,92,67.65,44,32.35,02006
2,7,120,84,70.0,36,30.0,02007
2,8,157,87,55.41,70,44.59,02008
2,9,155,85,54.84,70,45.16,02009
2,10,145,91,62.76,54,37.24,02010
2,11,187,132,70.59,55,29.41,02011
2,12,122,70,57.38,52,42.62,02012
2,13,194,126,64.95,68,35.05,02013
2,14,187,126,67.38,61,32.62,02014
2,15,142,95,66.9,47,33.1,02015
2,16,169,109,64.5,60,35.5,02016
2,17,245,170,69.39,75,30.61,02017
2,18,147,90,61.22,57,38.78,02018
2,19,130,89,68.46,41,31.54,02019
2,20,149,108,72.48,41,27.52,02020
2,21,181,120,66.3,61,33.7,02021
2,22,183,112,61.2,71,38.8,02022
2,23,139,96,69.06,43,30.94,02023
2,24,136,81,59.56,55,40.44,02024
2,25,199,125,62.81,74,37.19,02025
2,26,116,72,62.07,44,37.93,02026
2,27,115,74,64.35,41,35.65,02027
2,28,155,95,61.29,60,38.71,02028
2,29,145,92,63.45,53,36.55,02029
2,30,129,89,68.99,40,31.01,02030
2,31,211,149,70.62,62,29.38,02031
2,32,87,51,58.62,36,41.38,02032
2,33,208,148,71.15,60,28.85,02033
2,34,157,109,69.43,48,30.57,02034
2,35,175,93,53.14,82,46.86,02035
2,36,158,88,55.7,70,44.3,02036
2,37,179,124,69.27,55,30.73,02037
