ward,precinct,total,Willie Preston,Willie Preston Percent,Lamont Raymond Williams,Lamont Raymond Williams Percent,precinct_id
6,4,40,23,57.5,17,42.5,06004
6,5,74,37,50.0,37,50.0,06005
6,6,33,17,51.52,16,48.48,06006
6,7,89,44,49.44,45,50.56,06007
6,8,14,5,35.71,9,64.29,06008
6,9,7,5,71.43,2,28.57,06009
6,10,60,31,51.67,29,48.33,06010
6,11,103,50,48.54,53,51.46,06011
6,12,57,30,52.63,27,47.37,06012
6,14,128,75,58.59,53,41.41,06014
6,15,41,24,58.54,17,41.46,06015
6,17,70,32,45.71,38,54.29,06017
6,18,63,28,44.44,35,55.56,06018
6,19,88,46,52.27,42,47.73,06019
6,20,72,38,52.78,34,47.22,06020
6,21,48,32,66.67,16,33.33,06021
6,22,62,36,58.06,26,41.94,06022
6,23,45,23,51.11,22,48.89,06023
6,24,54,31,57.41,23,42.59,06024
6,25,55,31,56.36,24,43.64,06025
6,26,65,38,58.46,27,41.54,06026
6,27,64,41,64.06,23,35.94,06027
6,28,17,13,76.47,4,23.53,06028
6,30,85,36,42.35,49,57.65,06030
6,32,91,51,56.04,40,43.96,06032
6,33,118,73,61.86,45,38.14,06033
6,39,69,36,52.17,33,47.83,06039
6,40,110,44,40.0,66,60.0,06040
6,46,57,21,36.84,36,63.16,06046
6,47,106,67,63.21,39,36.79,06047
6,48,102,45,44.12,57,55.88,06048
8,16,32,14,43.75,18,56.25,08016
8,26,89,49,55.06,40,44.94,08026
8,43,56,24,42.86,32,57.14,08043
8,54,62,28,45.16,34,54.84,08054
8,55,139,72,51.8,67,48.2,08055
16,16,81,43,53.09,38,46.91,16016
16,24,5,4,80.0,1,20.0,16024
16,29,46,29,63.04,17,36.96,16029
16,30,22,9,40.91,13,59.09,16030
17,1,63,38,60.32,25,39.68,17001
17,2,96,50,52.08,46,47.92,17002
17,3,101,60,59.41,41,40.59,17003
17,4,142,102,71.83,40,28.17,17004
17,5,86,46,53.49,40,46.51,17005
17,7,62,26,41.94,36,58.06,17007
17,9,88,58,65.91,30,34.09,17009
17,10,130,73,56.15,57,43.85,17010
17,11,63,38,60.32,25,39.68,17011
17,12,69,36,52.17,33,47.83,17012
17,13,83,54,65.06,29,34.94,17013
17,14,59,25,42.37,34,57.63,17014
17,15,105,68,64.76,37,35.24,17015
17,16,77,37,48.05,40,51.95,17016
17,17,93,47,50.54,46,49.46,17017
17,18,147,97,65.99,50,34.01,17018
17,19,45,28,62.22,17,37.78,17019
17,20,168,107,63.69,61,36.31,17020
17,21,181,106,58.56,75,41.44,17021
17,22,106,55,51.89,51,48.11,17022
17,23,75,35,46.67,40,53.33,17023
17,24,136,75,55.15,61,44.85,17024
17,25,9,4,44.44,5,55.56,17025
17,26,117,69,58.97,48,41.03,17026
17,27,107,59,55.14,48,44.86,17027
17,28,91,61,67.03,30,32.97,17028
17,29,107,64,59.81,43,40.19,17029
17,30,36,22,61.11,14,38.89,17030
