ward,precinct,total,"Robert """"Bob"""" Rita","Robert """"Bob"""" Rita Percent",precinct_id
9,4,78,78,100.0,09004
9,6,97,97,100.0,09006
9,11,55,55,100.0,09011
9,16,92,92,100.0,09016
9,18,91,91,100.0,09018
9,19,107,107,100.0,09019
9,31,59,59,100.0,09031
9,34,51,51,100.0,09034
9,39,146,146,100.0,09039
9,43,61,61,100.0,09043
9,44,115,115,100.0,09044
34,3,133,133,100.0,34003
34,6,151,151,100.0,34006
34,9,80,80,100.0,34009
34,11,70,70,100.0,34011
34,14,94,94,100.0,34014
34,15,18,18,100.0,34015
34,16,103,103,100.0,34016
34,23,42,42,100.0,34023
34,26,150,150,100.0,34026
34,31,76,76,100.0,34031
34,33,81,81,100.0,34033
34,37,44,44,100.0,34037
34,38,46,46,100.0,34038
34,40,128,128,100.0,34040
34,41,17,17,100.0,34041
34,42,43,43,100.0,34042
34,50,97,97,100.0,34050
34,51,162,162,100.0,34051
34,53,73,73,100.0,34053
