ward,precinct,total,Araceli R. De La Cruz,Araceli R. De La Cruz Percent,Jacqueline Marie Griffin,Jacqueline Marie Griffin Percent,Dan Balanoff,Dan Balanoff Percent,precinct_id
1,1,178,91,51.12,22,12.36,65,36.52,01001
1,2,134,75,55.97,14,10.45,45,33.58,01002
1,3,190,125,65.79,36,18.95,29,15.26,01003
1,4,150,85,56.67,34,22.67,31,20.67,01004
1,5,141,92,65.25,18,12.77,31,21.99,01005
1,6,138,82,59.42,28,20.29,28,20.29,01006
1,7,135,92,68.15,21,15.56,22,16.3,01007
1,8,141,79,56.03,31,21.99,31,21.99,01008
1,9,120,77,64.17,13,10.83,30,25.0,01009
1,10,177,115,64.97,26,14.69,36,20.34,01010
1,11,188,116,61.7,36,19.15,36,19.15,01011
1,12,187,92,49.2,29,15.51,66,35.29,01012
1,13,86,48,55.81,11,12.79,27,31.4,01013
1,14,160,97,60.63,28,17.5,35,21.88,01014
1,15,135,74,54.81,24,17.78,37,27.41,01015
1,16,204,119,58.33,29,14.22,56,27.45,01016
1,17,139,74,53.24,19,13.67,46,33.09,01017
1,18,160,73,45.63,28,17.5,59,36.88,01018
1,19,238,141,59.24,29,12.18,68,28.57,01019
1,20,125,59,47.2,23,18.4,43,34.4,01020
1,21,194,131,67.53,31,15.98,32,16.49,01021
1,22,116,73,62.93,16,13.79,27,23.28,01022
1,23,244,148,60.66,27,11.07,69,28.28,01023
1,24,182,104,57.14,37,20.33,41,22.53,01024
1,25,161,94,58.39,20,12.42,47,29.19,01025
1,26,114,68,59.65,11,9.65,35,30.7,01026
1,27,187,134,71.66,18,9.63,35,18.72,01027
1,28,26,10,38.46,12,46.15,4,15.38,01028
1,29,223,133,59.64,38,17.04,52,23.32,01029
1,30,190,104,54.74,20,10.53,66,34.74,01030
1,31,140,90,64.29,24,17.14,26,18.57,01031
1,32,153,73,47.71,38,24.84,42,27.45,01032
1,33,173,105,60.69,28,16.18,40,23.12,01033
1,34,158,91,57.59,21,13.29,46,29.11,01034
1,35,158,95,60.13,25,15.82,38,24.05,01035
1,36,194,125,64.43,30,15.46,39,20.1,01036
1,37,164,91,55.49,26,15.85,47,28.66,01037
1,38,153,98,64.05,22,14.38,33,21.57,01038
1,39,128,72,56.25,26,20.31,30,23.44,01039
1,40,133,88,66.17,25,18.8,20,15.04,01040
1,41,90,54,60.0,11,12.22,25,27.78,01041
1,42,51,33,64.71,6,11.76,12,23.53,01042
1,43,128,82,64.06,16,12.5,30,23.44,01043
1,44,137,70,51.09,16,11.68,51,37.23,01044
2,1,147,82,55.78,23,15.65,42,28.57,02001
2,2,122,73,59.84,30,24.59,19,15.57,02002
2,3,188,104,55.32,37,19.68,47,25.0,02003
2,4,155,96,61.94,22,14.19,37,23.87,02004
2,5,172,113,65.7,24,13.95,35,20.35,02005
2,6,135,79,58.52,17,12.59,39,28.89,02006
