ward,precinct,total,Iris Y. Chavira,Iris Y. Chavira Percent,precinct_id
3,28,2,2,100.0,03028
11,1,114,114,100.0,11001
11,2,5,5,100.0,11002
11,3,120,120,100.0,11003
11,4,97,97,100.0,11004
11,5,119,119,100.0,11005
11,7,65,65,100.0,11007
11,8,98,98,100.0,11008
11,9,73,73,100.0,11009
11,10,73,73,100.0,11010
11,11,93,93,100.0,11011
11,17,156,156,100.0,11017
11,19,158,158,100.0,11019
11,21,138,138,100.0,11021
11,22,116,116,100.0,11022
11,24,158,158,100.0,11024
11,25,128,128,100.0,11025
11,26,126,126,100.0,11026
11,29,115,115,100.0,11029
11,31,87,87,100.0,11031
11,33,127,127,100.0,11033
11,37,0,0,0.0,11037
11,38,59,59,100.0,11038
12,1,107,107,100.0,12001
12,2,57,57,100.0,12002
12,3,136,136,100.0,12003
12,4,109,109,100.0,12004
12,5,102,102,100.0,12005
12,6,97,97,100.0,12006
12,7,59,59,100.0,12007
12,8,104,104,100.0,12008
12,9,72,72,100.0,12009
12,10,91,91,100.0,12010
12,11,53,53,100.0,12011
12,12,67,67,100.0,12012
12,13,73,73,100.0,12013
12,14,57,57,100.0,12014
12,15,61,61,100.0,12015
12,16,37,37,100.0,12016
12,17,62,62,100.0,12017
12,18,43,43,100.0,12018
12,19,74,74,100.0,12019
12,20,68,68,100.0,12020
12,21,91,91,100.0,12021
12,22,61,61,100.0,12022
12,23,112,112,100.0,12023
14,5,53,53,100.0,14005
14,6,22,22,100.0,14006
14,10,42,42,100.0,14010
14,11,22,22,100.0,14011
14,14,63,63,100.0,14014
14,15,47,47,100.0,14015
14,16,51,51,100.0,14016
14,17,31,31,100.0,14017
14,19,59,59,100.0,14019
14,20,43,43,100.0,14020
14,21,35,35,100.0,14021
14,25,25,25,100.0,14025
14,26,51,51,100.0,14026
14,29,46,46,100.0,14029
14,30,39,39,100.0,14030
14,31,37,37,100.0,14031
15,1,64,64,100.0,15001
15,4,46,46,100.0,15004
15,5,38,38,100.0,15005
15,6,45,45,100.0,15006
15,8,52,52,100.0,15008
15,9,65,65,100.0,15009
15,10,102,102,100.0,15010
15,11,63,63,100.0,15011
15,12,59,59,100.0,15012
15,13,58,58,100.0,15013
15,14,38,38,100.0,15014
15,15,50,50,100.0,15015
15,16,57,57,100.0,15016
15,19,69,69,100.0,15019
16,1,74,74,100.0,16001
16,2,22,22,100.0,16002
16,4,57,57,100.0,16004
16,6,5,5,100.0,16006
16,7,71,71,100.0,16007
16,11,50,50,100.0,16011
16,13,23,23,100.0,16013
16,17,48,48,100.0,16017
16,18,56,56,100.0,16018
16,19,60,60,100.0,16019
16,22,45,45,100.0,16022
16,23,41,41,100.0,16023
16,32,54,54,100.0,16032
16,35,50,50,100.0,16035
17,6,60,60,100.0,17006
17,7,58,58,100.0,17007
17,12,45,45,100.0,17012
17,14,33,33,100.0,17014
17,16,70,70,100.0,17016
17,25,52,52,100.0,17025
20,4,5,5,100.0,20004
20,15,56,56,100.0,20015
20,17,44,44,100.0,20017
20,20,45,45,100.0,20020
22,3,90,90,100.0,22003
22,4,44,44,100.0,22004
22,5,61,61,100.0,22005
22,6,58,58,100.0,22006
22,7,62,62,100.0,22007
22,9,55,55,100.0,22009
22,10,100,100,100.0,22010
22,11,32,32,100.0,22011
22,12,53,53,100.0,22012
22,13,55,55,100.0,22013
22,14,62,62,100.0,22014
22,15,44,44,100.0,22015
22,16,48,48,100.0,22016
22,17,82,82,100.0,22017
22,18,52,52,100.0,22018
22,19,36,36,100.0,22019
22,20,56,56,100.0,22020
22,22,43,43,100.0,22022
22,24,95,95,100.0,22024
22,25,52,52,100.0,22025
24,7,39,39,100.0,24007
24,10,4,4,100.0,24010
24,16,382,382,100.0,24016
24,39,86,86,100.0,24039
25,1,85,85,100.0,25001
25,2,124,124,100.0,25002
25,4,26,26,100.0,25004
25,5,102,102,100.0,25005
25,7,98,98,100.0,25007
25,8,116,116,100.0,25008
25,9,86,86,100.0,25009
25,11,114,114,100.0,25011
25,12,115,115,100.0,25012
25,13,141,141,100.0,25013
25,14,8,8,100.0,25014
25,15,93,93,100.0,25015
25,17,126,126,100.0,25017
25,19,101,101,100.0,25019
25,22,108,108,100.0,25022
25,23,147,147,100.0,25023
25,24,85,85,100.0,25024
25,25,90,90,100.0,25025
25,26,93,93,100.0,25026
25,27,16,16,100.0,25027
25,28,96,96,100.0,25028
25,30,83,83,100.0,25030
25,32,76,76,100.0,25032
28,19,2,2,100.0,28019
