ward,precinct,total,Mariyana T. Spyropoulos,Mariyana T. Spyropoulos Percent,Yumeka Brown,Yumeka Brown Percent,Patricia Theresa Flynn,Patricia Theresa Flynn Percent,Frank Avila,Frank Avila Percent,Rick Garcia,Rick Garcia Percent,Cristina P. Nonato,Cristina P. Nonato Percent,Precious W. Brady-Davis,Precious W. Brady-Davis Percent,Sharon Waller,Sharon Waller Percent,precinct_id
1,1,437,128,29.29,34,7.78,35,8.01,28,6.41,15,3.43,24,5.49,93,21.28,80,18.31,01001
1,2,329,83,25.23,27,8.21,34,10.33,27,8.21,21,6.38,25,7.6,52,15.81,60,18.24,01002
1,3,474,127,26.79,66,13.92,46,9.7,24,5.06,17,3.59,23,4.85,78,16.46,93,19.62,01003
1,4,369,96,26.02,37,10.03,48,13.01,31,8.4,19,5.15,31,8.4,54,14.63,53,14.36,01004
1,5,353,101,28.61,34,9.63,28,7.93,23,6.52,13,3.68,16,4.53,65,18.41,73,20.68,01005
1,6,365,89,24.38,52,14.25,40,10.96,29,7.95,18,4.93,22,6.03,47,12.88,68,18.63,01006
1,7,343,93,27.11,43,12.54,40,11.66,24,7.0,14,4.08,15,4.37,60,17.49,54,15.74,01007
1,8,365,80,21.92,51,13.97,56,15.34,35,9.59,32,8.77,15,4.11,42,11.51,54,14.79,01008
1,9,292,79,27.05,20,6.85,29,9.93,25,8.56,26,8.9,21,7.19,38,13.01,54,18.49,01009
1,10,423,124,29.31,50,11.82,41,9.69,19,4.49,10,2.36,24,5.67,77,18.2,78,18.44,01010
1,11,464,118,25.43,51,10.99,52,11.21,51,10.99,14,3.02,24,5.17,70,15.09,84,18.1,01011
1,12,452,122,26.99,47,10.4,47,10.4,22,4.87,18,3.98,18,3.98,87,19.25,91,20.13,01012
1,13,204,55,26.96,19,9.31,20,9.8,15,7.35,11,5.39,7,3.43,42,20.59,35,17.16,01013
1,14,391,104,26.6,51,13.04,39,9.97,28,7.16,12,3.07,20,5.12,69,17.65,68,17.39,01014
1,15,336,87,25.89,41,12.2,38,11.31,31,9.23,24,7.14,17,5.06,59,17.56,39,11.61,01015
1,16,529,133,25.14,55,10.4,60,11.34,38,7.18,29,5.48,26,4.91,92,17.39,96,18.15,01016
1,17,326,91,27.91,33,10.12,24,7.36,23,7.06,15,4.6,14,4.29,69,21.17,57,17.48,01017
1,18,390,110,28.21,35,8.97,27,6.92,24,6.15,14,3.59,17,4.36,78,20.0,85,21.79,01018
1,19,603,164,27.2,55,9.12,41,6.8,35,5.8,38,6.3,37,6.14,110,18.24,123,20.4,01019
1,20,323,92,28.48,32,9.91,33,10.22,23,7.12,10,3.1,14,4.33,64,19.81,55,17.03,01020
1,21,487,127,26.08,67,13.76,58,11.91,33,6.78,18,3.7,29,5.95,67,13.76,88,18.07,01021
1,22,286,72,25.17,29,10.14,29,10.14,24,8.39,14,4.9,11,3.85,57,19.93,50,17.48,01022
1,23,604,162,26.82,72,11.92,56,9.27,37,6.13,31,5.13,25,4.14,111,18.38,110,18.21,01023
1,24,450,100,22.22,56,12.44,47,10.44,40,8.89,32,7.11,31,6.89,74,16.44,70,15.56,01024
1,25,395,107,27.09,48,12.15,36,9.11,25,6.33,13,3.29,22,5.57,71,17.97,73,18.48,01025
1,26,275,72,26.18,23,8.36,20,7.27,24,8.73,18,6.55,11,4.0,54,19.64,53,19.27,01026
1,27,435,122,28.05,55,12.64,41,9.43,25,5.75,12,2.76,21,4.83,82,18.85,77,17.7,01027
1,28,68,13,19.12,8,11.76,12,17.65,5,7.35,7,10.29,3,4.41,11,16.18,9,13.24,01028
1,29,536,137,25.56,76,14.18,52,9.7,45,8.4,26,4.85,24,4.48,90,16.79,86,16.04,01029
