ward,precinct,total,John J. Cullerton,John J. Cullerton Percent,Robert Martwick,Robert Martwick Percent,precinct_id
1,5,65,32,49.23,33,50.77,01005
1,8,24,8,33.33,16,66.67,01008
1,11,123,59,47.97,64,52.03,01011
1,21,168,79,47.02,89,52.98,01021
1,28,27,21,77.78,6,22.22,01028
1,42,8,3,37.5,5,62.5,01042
2,1,83,47,56.63,36,43.37,02001
2,2,120,70,58.33,50,41.67,02002
2,6,117,57,48.72,60,51.28,02006
2,7,101,50,49.5,51,50.5,02007
2,8,129,70,54.26,59,45.74,02008
2,10,133,88,66.17,45,33.83,02010
2,11,168,115,68.45,53,31.55,02011
2,12,0,0,0.0,0,0.0,02012
2,13,162,103,63.58,59,36.42,02013
2,15,54,30,55.56,24,44.44,02015
2,18,129,93,72.09,36,27.91,02018
2,19,112,70,62.5,42,37.5,02019
2,20,127,77,60.63,50,39.37,02020
2,22,155,107,69.03,48,30.97,02022
2,23,118,77,65.25,41,34.75,02023
2,24,126,75,59.52,51,40.48,02024
2,25,175,98,56.0,77,44.0,02025
2,26,102,58,56.86,44,43.14,02026
2,27,99,74,74.75,25,25.25,02027
2,28,137,84,61.31,53,38.69,02028
2,29,126,77,61.11,49,38.89,02029
2,30,112,75,66.96,37,33.04,02030
2,31,195,148,75.9,47,24.1,02031
2,32,21,15,71.43,6,28.57,02032
2,33,194,143,73.71,51,26.29,02033
2,34,142,89,62.68,53,37.32,02034
2,36,135,88,65.19,47,34.81,02036
2,37,163,118,72.39,45,27.61,02037
2,38,119,87,73.11,32,26.89,02038
2,39,30,20,66.67,10,33.33,02039
2,42,122,69,56.56,53,43.44,02042
2,43,38,20,52.63,18,47.37,02043
2,44,146,102,69.86,44,30.14,02044
27,12,78,47,60.26,31,39.74,27012
27,35,5,3,60.0,2,40.0,27035
27,37,17,13,76.47,4,23.53,27037
27,38,72,54,75.0,18,25.0,27038
27,42,30,17,56.67,13,43.33,27042
27,46,81,58,71.6,23,28.4,27046
30,15,178,54,30.34,124,69.66,30015
32,1,80,40,50.0,40,50.0,32001
32,2,132,78,59.09,54,40.91,32002
32,4,148,89,60.14,59,39.86,32004
32,5,144,77,53.47,67,46.53,32005
32,6,167,91,54.49,76,45.51,32006
32,7,157,91,57.96,66,42.04,32007
32,8,144,77,53.47,67,46.53,32008
32,9,148,95,64.19,53,35.81,32009
32,10,147,91,61.9,56,38.1,32010
32,13,134,86,64.18,48,35.82,32013
32,15,152,89,58.55,63,41.45,32015
32,16,154,86,55.84,68,44.16,32016
32,18,131,90,68.7,41,31.3,32018
32,19,139,78,56.12,61,43.88,32019
32,21,186,113,60.75,73,39.25,32021
32,23,145,82,56.55,63,43.45,32023
32,24,113,68,60.18,45,39.82,32024
32,25,160,103,64.38,57,35.63,32025
32,27,117,68,58.12,49,41.88,32027
32,29,147,69,46.94,78,53.06,32029
32,30,111,78,70.27,33,29.73,32030
32,31,133,79,59.4,54,40.6,32031
32,32,172,97,56.4,75,43.6,32032
32,33,154,98,63.64,56,36.36,32033
32,34,146,73,50.0,73,50.0,32034
32,35,136,76,55.88,60,44.12,32035
32,36,137,65,47.45,72,52.55,32036
32,37,156,74,47.44,82,52.56,32037
32,38,146,89,60.96,57,39.04,32038
32,39,150,88,58.67,62,41.33,32039
