ward,precinct,total,La Shawn K. Ford,La Shawn K. Ford Percent,precinct_id
24,41,67,67,100.0,24041
28,1,44,44,100.0,28001
28,12,72,72,100.0,28012
28,14,64,64,100.0,28014
28,31,115,115,100.0,28031
28,38,0,0,0.0,28038
28,39,46,46,100.0,28039
28,40,30,30,100.0,28040
28,41,66,66,100.0,28041
28,42,63,63,100.0,28042
28,43,100,100,100.0,28043
29,2,141,141,100.0,29002
29,3,116,116,100.0,29003
29,6,79,79,100.0,29006
29,8,60,60,100.0,29008
29,11,83,83,100.0,29011
29,14,117,117,100.0,29014
29,16,94,94,100.0,29016
29,18,105,105,100.0,29018
29,19,142,142,100.0,29019
29,20,105,105,100.0,29020
29,21,114,114,100.0,29021
29,22,105,105,100.0,29022
29,28,143,143,100.0,29028
29,34,80,80,100.0,29034
29,42,119,119,100.0,29042
37,1,105,105,100.0,37001
37,5,13,13,100.0,37005
37,6,105,105,100.0,37006
37,9,78,78,100.0,37009
37,10,112,112,100.0,37010
37,11,53,53,100.0,37011
37,14,104,104,100.0,37014
37,15,90,90,100.0,37015
37,16,118,118,100.0,37016
37,17,64,64,100.0,37017
37,18,14,14,100.0,37018
37,20,63,63,100.0,37020
37,22,46,46,100.0,37022
37,23,94,94,100.0,37023
37,24,108,108,100.0,37024
37,25,83,83,100.0,37025
37,26,137,137,100.0,37026
37,27,92,92,100.0,37027
37,29,6,6,100.0,37029
37,30,74,74,100.0,37030
37,31,110,110,100.0,37031
37,32,47,47,100.0,37032
37,33,118,118,100.0,37033
37,34,90,90,100.0,37034
37,35,81,81,100.0,37035
37,36,75,75,100.0,37036
37,38,140,140,100.0,37038
37,39,77,77,100.0,37039
37,40,108,108,100.0,37040
37,41,121,121,100.0,37041
