ward,precinct,total,Javier Loera Cervantes,Javier Loera Cervantes Percent,precinct_id
11,21,144,144,100.0,11021
11,24,153,153,100.0,11024
11,25,164,164,100.0,11025
11,31,0,0,0.0,11031
12,3,146,146,100.0,12003
12,4,21,21,100.0,12004
12,8,115,115,100.0,12008
12,19,2,2,100.0,12019
12,21,43,43,100.0,12021
12,23,0,0,0.0,12023
14,2,72,72,100.0,14002
14,3,47,47,100.0,14003
14,4,67,67,100.0,14004
14,5,56,56,100.0,14005
14,6,21,21,100.0,14006
14,7,78,78,100.0,14007
14,8,67,67,100.0,14008
14,9,74,74,100.0,14009
14,10,0,0,0.0,14010
14,11,24,24,100.0,14011
14,12,75,75,100.0,14012
14,13,63,63,100.0,14013
14,14,64,64,100.0,14014
14,15,47,47,100.0,14015
14,17,33,33,100.0,14017
14,18,8,8,100.0,14018
14,19,61,61,100.0,14019
14,21,39,39,100.0,14021
14,22,81,81,100.0,14022
14,23,57,57,100.0,14023
14,24,93,93,100.0,14024
14,25,30,30,100.0,14025
14,26,51,51,100.0,14026
14,27,62,62,100.0,14027
14,28,40,40,100.0,14028
14,29,44,44,100.0,14029
14,30,38,38,100.0,14030
15,4,1,1,100.0,15004
15,8,19,19,100.0,15008
15,9,12,12,100.0,15009
15,13,33,33,100.0,15013
15,14,11,11,100.0,15014
15,15,47,47,100.0,15015
15,16,55,55,100.0,15016
15,19,68,68,100.0,15019
16,1,72,72,100.0,16001
16,11,24,24,100.0,16011
16,13,22,22,100.0,16013
16,17,24,24,100.0,16017
16,23,34,34,100.0,16023
16,32,52,52,100.0,16032
16,35,51,51,100.0,16035
17,12,8,8,100.0,17012
22,1,44,44,100.0,22001
22,2,89,89,100.0,22002
22,8,88,88,100.0,22008
22,12,50,50,100.0,22012
22,23,113,113,100.0,22023
23,6,11,11,100.0,23006
23,13,52,52,100.0,23013
23,14,31,31,100.0,23014
23,15,41,41,100.0,23015
23,17,33,33,100.0,23017
23,19,39,39,100.0,23019
23,20,36,36,100.0,23020
23,22,15,15,100.0,23022
23,24,23,23,100.0,23024
23,25,42,42,100.0,23025
23,26,23,23,100.0,23026
23,31,35,35,100.0,23031
23,34,56,56,100.0,23034
25,32,73,73,100.0,25032
