ward,precinct,total,"Jesus """"Chuy"""" Garcia","Jesus """"Chuy"""" Garcia Percent",precinct_id
11,1,131,131,100.0,11001
11,3,146,146,100.0,11003
11,4,112,112,100.0,11004
11,5,143,143,100.0,11005
11,8,110,110,100.0,11008
11,9,87,87,100.0,11009
11,11,102,102,100.0,11011
11,17,180,180,100.0,11017
11,19,189,189,100.0,11019
11,25,168,168,100.0,11025
11,31,1,1,100.0,11031
12,1,115,115,100.0,12001
12,2,66,66,100.0,12002
12,3,161,161,100.0,12003
12,4,126,126,100.0,12004
12,5,107,107,100.0,12005
12,6,109,109,100.0,12006
12,7,72,72,100.0,12007
12,8,109,109,100.0,12008
12,9,84,84,100.0,12009
12,10,96,96,100.0,12010
12,11,64,64,100.0,12011
12,12,74,74,100.0,12012
12,13,81,81,100.0,12013
12,14,77,77,100.0,12014
12,15,70,70,100.0,12015
12,16,40,40,100.0,12016
12,17,73,73,100.0,12017
12,18,46,46,100.0,12018
12,19,81,81,100.0,12019
12,20,80,80,100.0,12020
12,21,103,103,100.0,12021
12,22,71,71,100.0,12022
12,23,129,129,100.0,12023
13,1,85,85,100.0,13001
13,3,38,38,100.0,13003
13,5,57,57,100.0,13005
13,7,41,41,100.0,13007
13,8,50,50,100.0,13008
13,9,57,57,100.0,13009
13,12,59,59,100.0,13012
13,13,74,74,100.0,13013
13,14,72,72,100.0,13014
13,15,81,81,100.0,13015
13,16,41,41,100.0,13016
13,17,71,71,100.0,13017
13,19,57,57,100.0,13019
13,23,55,55,100.0,13023
13,24,66,66,100.0,13024
13,25,52,52,100.0,13025
13,26,83,83,100.0,13026
13,27,68,68,100.0,13027
13,28,53,53,100.0,13028
13,29,43,43,100.0,13029
13,30,35,35,100.0,13030
13,34,67,67,100.0,13034
13,35,52,52,100.0,13035
13,36,29,29,100.0,13036
13,37,127,127,100.0,13037
13,39,70,70,100.0,13039
13,40,42,42,100.0,13040
13,41,81,81,100.0,13041
13,43,87,87,100.0,13043
13,44,55,55,100.0,13044
13,45,71,71,100.0,13045
13,46,61,61,100.0,13046
13,47,82,82,100.0,13047
14,2,76,76,100.0,14002
14,3,49,49,100.0,14003
14,5,58,58,100.0,14005
14,6,22,22,100.0,14006
14,7,83,83,100.0,14007
14,8,70,70,100.0,14008
14,10,45,45,100.0,14010
14,11,25,25,100.0,14011
14,12,71,71,100.0,14012
14,13,60,60,100.0,14013
14,14,70,70,100.0,14014
14,15,47,47,100.0,14015
14,16,60,60,100.0,14016
14,17,35,35,100.0,14017
14,18,30,30,100.0,14018
14,19,65,65,100.0,14019
14,20,50,50,100.0,14020
14,21,37,37,100.0,14021
14,22,75,75,100.0,14022
14,23,61,61,100.0,14023
14,25,29,29,100.0,14025
14,26,58,58,100.0,14026
14,27,63,63,100.0,14027
14,28,43,43,100.0,14028
14,29,50,50,100.0,14029
14,30,42,42,100.0,14030
14,31,38,38,100.0,14031
15,1,69,69,100.0,15001
15,4,50,50,100.0,15004
15,5,42,42,100.0,15005
15,6,49,49,100.0,15006
15,8,56,56,100.0,15008
15,9,73,73,100.0,15009
15,10,105,105,100.0,15010
15,11,71,71,100.0,15011
15,12,64,64,100.0,15012
15,13,63,63,100.0,15013
15,14,46,46,100.0,15014
15,15,53,53,100.0,15015
15,16,57,57,100.0,15016
15,19,74,74,100.0,15019
16,1,75,75,100.0,16001
16,7,11,11,100.0,16007
16,13,22,22,100.0,16013
16,17,57,57,100.0,16017
16,23,43,43,100.0,16023
16,32,55,55,100.0,16032
16,35,55,55,100.0,16035
17,1,58,58,100.0,17001
17,14,19,19,100.0,17014
17,30,31,31,100.0,17030
18,3,72,72,100.0,18003
18,6,81,81,100.0,18006
18,15,94,94,100.0,18015
18,24,53,53,100.0,18024
18,25,86,86,100.0,18025
18,28,73,73,100.0,18028
18,30,81,81,100.0,18030
18,40,107,107,100.0,18040
18,43,48,48,100.0,18043
18,44,73,73,100.0,18044
18,46,79,79,100.0,18046
20,2,8,8,100.0,20002
20,4,7,7,100.0,20004
20,15,65,65,100.0,20015
20,17,14,14,100.0,20017
20,20,30,30,100.0,20020
22,1,47,47,100.0,22001
22,2,94,94,100.0,22002
22,3,100,100,100.0,22003
22,4,51,51,100.0,22004
22,5,70,70,100.0,22005
22,6,69,69,100.0,22006
22,7,69,69,100.0,22007
22,8,105,105,100.0,22008
22,9,52,52,100.0,22009
22,10,106,106,100.0,22010
22,11,42,42,100.0,22011
22,12,66,66,100.0,22012
22,13,60,60,100.0,22013
22,14,67,67,100.0,22014
22,15,51,51,100.0,22015
22,16,48,48,100.0,22016
22,17,91,91,100.0,22017
22,18,50,50,100.0,22018
22,19,15,15,100.0,22019
22,20,64,64,100.0,22020
22,22,44,44,100.0,22022
22,23,128,128,100.0,22023
22,24,99,99,100.0,22024
22,25,55,55,100.0,22025
23,4,66,66,100.0,23004
23,5,57,57,100.0,23005
23,6,60,60,100.0,23006
23,7,45,45,100.0,23007
23,8,80,80,100.0,23008
23,9,36,36,100.0,23009
23,10,74,74,100.0,23010
23,11,60,60,100.0,23011
23,13,51,51,100.0,23013
23,15,47,47,100.0,23015
23,17,35,35,100.0,23017
23,19,24,24,100.0,23019
23,20,32,32,100.0,23020
23,22,3,3,100.0,23022
23,24,57,57,100.0,23024
23,25,52,52,100.0,23025
23,26,72,72,100.0,23026
23,29,64,64,100.0,23029
23,30,71,71,100.0,23030
23,31,13,13,100.0,23031
23,32,62,62,100.0,23032
23,33,61,61,100.0,23033
23,34,62,62,100.0,23034
23,38,71,71,100.0,23038
23,39,80,80,100.0,23039
24,16,387,387,100.0,24016
24,39,36,36,100.0,24039
25,1,91,91,100.0,25001
25,2,154,154,100.0,25002
25,5,113,113,100.0,25005
25,7,122,122,100.0,25007
25,8,133,133,100.0,25008
25,9,97,97,100.0,25009
25,11,136,136,100.0,25011
25,12,134,134,100.0,25012
25,13,167,167,100.0,25013
25,15,98,98,100.0,25015
25,17,146,146,100.0,25017
25,19,125,125,100.0,25019
25,22,116,116,100.0,25022
25,23,160,160,100.0,25023
25,24,92,92,100.0,25024
25,26,112,112,100.0,25026
25,28,115,115,100.0,25028
25,30,97,97,100.0,25030
25,32,90,90,100.0,25032
28,19,2,2,100.0,28019
