ward,precinct,total,Delia Ramirez,Delia Ramirez Percent,"Gilbert """"Gil"""" Villegas","Gilbert """"Gil"""" Villegas Percent",Juan Enrique Aguirre,Juan Enrique Aguirre Percent,Iymen H Chehade,Iymen H Chehade Percent,precinct_id
1,1,204,166,81.37,31,15.2,2,0.98,5,2.45,01001
1,2,148,107,72.3,32,21.62,3,2.03,6,4.05,01002
1,7,153,111,72.55,27,17.65,5,3.27,10,6.54,01007
1,9,129,90,69.77,25,19.38,4,3.1,10,7.75,01009
1,13,97,75,77.32,16,16.49,1,1.03,5,5.15,01013
1,15,117,89,76.07,14,11.97,4,3.42,10,8.55,01015
1,16,220,166,75.45,22,10.0,7,3.18,25,11.36,01016
1,17,157,126,80.25,17,10.83,4,2.55,10,6.37,01017
1,18,177,143,80.79,12,6.78,6,3.39,16,9.04,01018
1,19,258,201,77.91,35,13.57,9,3.49,13,5.04,01019
1,20,150,120,80.0,20,13.33,3,2.0,7,4.67,01020
1,22,132,107,81.06,14,10.61,7,5.3,4,3.03,01022
1,23,270,205,75.93,48,17.78,6,2.22,11,4.07,01023
1,24,215,154,71.63,31,14.42,15,6.98,15,6.98,01024
1,25,173,134,77.46,25,14.45,3,1.73,11,6.36,01025
1,26,122,105,86.07,5,4.1,5,4.1,7,5.74,01026
1,27,199,142,71.36,32,16.08,5,2.51,20,10.05,01027
1,29,249,186,74.7,36,14.46,5,2.01,22,8.84,01029
1,30,223,176,78.92,34,15.25,7,3.14,6,2.69,01030
1,31,149,103,69.13,33,22.15,8,5.37,5,3.36,01031
1,34,182,146,80.22,20,10.99,7,3.85,9,4.95,01034
1,38,64,46,71.88,10,15.63,3,4.69,5,7.81,01038
1,41,107,75,70.09,18,16.82,5,4.67,9,8.41,01041
1,42,41,25,60.98,10,24.39,1,2.44,5,12.2,01042
1,43,140,101,72.14,21,15.0,5,3.57,13,9.29,01043
1,44,159,132,83.02,19,11.95,1,0.63,7,4.4,01044
26,1,133,110,82.71,13,9.77,4,3.01,6,4.51,26001
26,2,102,82,80.39,15,14.71,2,1.96,3,2.94,26002
26,3,146,109,74.66,20,13.7,6,4.11,11,7.53,26003
26,4,55,42,76.36,10,18.18,0,0.0,3,5.45,26004
