ward,precinct,total,Kerrie Maloney Laytin,Kerrie Maloney Laytin Percent,precinct_id
1,1,169,133,78.7,01001
1,2,131,80,61.07,01002
1,3,188,146,77.66,01003
1,4,138,103,74.64,01004
1,5,137,109,79.56,01005
1,6,130,94,72.31,01006
1,7,132,93,70.45,01007
1,8,137,83,60.58,01008
1,9,108,66,61.11,01009
1,10,171,139,81.29,01010
1,11,184,143,77.72,01011
1,12,182,146,80.22,01012
1,13,84,53,63.1,01013
1,14,155,121,78.06,01014
1,15,135,91,67.41,01015
1,16,192,145,75.52,01016
1,17,131,92,70.23,01017
1,18,156,110,70.51,01018
1,19,236,170,72.03,01019
1,20,122,96,78.69,01020
1,21,187,154,82.35,01021
1,22,112,80,71.43,01022
1,23,233,169,72.53,01023
1,24,172,108,62.79,01024
1,25,154,116,75.32,01025
1,26,114,66,57.89,01026
1,27,182,137,75.27,01027
1,28,26,16,61.54,01028
1,29,210,172,81.9,01029
1,30,190,122,64.21,01030
1,31,136,90,66.18,01031
1,32,149,112,75.17,01032
1,33,161,128,79.5,01033
1,34,151,114,75.5,01034
1,35,151,110,72.85,01035
1,36,185,134,72.43,01036
1,37,153,116,75.82,01037
1,38,149,110,73.83,01038
1,39,124,77,62.1,01039
1,40,125,69,55.2,01040
1,41,85,61,71.76,01041
1,42,46,36,78.26,01042
1,43,123,94,76.42,01043
1,44,137,101,73.72,01044
2,1,141,113,80.14,02001
2,3,177,142,80.23,02003
2,4,150,117,78.0,02004
2,5,167,118,70.66,02005
2,6,128,102,79.69,02006
2,7,108,83,76.85,02007
2,8,145,113,77.93,02008
2,14,168,125,74.4,02014
2,15,134,111,82.84,02015
2,16,155,120,77.42,02016
2,17,214,181,84.58,02017
2,20,1,0,0.0,02020
2,21,174,140,80.46,02021
2,25,182,136,74.73,02025
26,1,111,67,60.36,26001
26,2,13,9,69.23,26002
26,3,126,101,80.16,26003
26,4,54,25,46.3,26004
26,5,93,49,52.69,26005
26,6,65,42,64.62,26006
26,7,95,76,80.0,26007
26,8,45,27,60.0,26008
26,9,98,40,40.82,26009
26,10,32,14,43.75,26010
26,11,101,48,47.52,26011
26,12,124,65,52.42,26012
26,13,41,17,41.46,26013
26,14,79,36,45.57,26014
26,15,43,12,27.91,26015
26,16,34,13,38.24,26016
26,18,63,35,55.56,26018
26,19,40,16,40.0,26019
26,20,113,75,66.37,26020
26,21,110,83,75.45,26021
26,22,22,6,27.27,26022
26,23,49,25,51.02,26023
26,24,74,42,56.76,26024
26,25,80,50,62.5,26025
26,26,71,51,71.83,26026
26,27,133,77,57.89,26027
26,28,150,113,75.33,26028
26,29,67,36,53.73,26029
26,30,108,72,66.67,26030
26,31,45,17,37.78,26031
26,32,108,75,69.44,26032
