ward,precinct,total,Brandon Johnson,Brandon Johnson Percent,precinct_id
1,9,67,67,100.0,01009
1,12,160,160,100.0,01012
1,13,64,64,100.0,01013
1,14,140,140,100.0,01014
1,15,125,125,100.0,01015
1,18,144,144,100.0,01018
1,22,62,62,100.0,01022
1,24,162,162,100.0,01024
1,25,143,143,100.0,01025
1,27,174,174,100.0,01027
1,29,206,206,100.0,01029
1,31,40,40,100.0,01031
1,32,127,127,100.0,01032
1,38,135,135,100.0,01038
1,43,11,11,100.0,01043
1,44,141,141,100.0,01044
2,17,185,185,100.0,02017
26,1,106,106,100.0,26001
26,3,119,119,100.0,26003
26,10,30,30,100.0,26010
26,17,111,111,100.0,26017
26,20,96,96,100.0,26020
26,21,104,104,100.0,26021
26,25,45,45,100.0,26025
26,26,66,66,100.0,26026
26,28,141,141,100.0,26028
26,32,103,103,100.0,26032
26,33,112,112,100.0,26033
26,35,74,74,100.0,26035
26,36,105,105,100.0,26036
26,39,117,117,100.0,26039
26,46,86,86,100.0,26046
26,48,113,113,100.0,26048
27,3,45,45,100.0,27003
27,4,37,37,100.0,27004
27,5,62,62,100.0,27005
27,8,71,71,100.0,27008
27,15,39,39,100.0,27015
27,19,45,45,100.0,27019
27,22,56,56,100.0,27022
27,23,72,72,100.0,27023
27,24,43,43,100.0,27024
27,26,32,32,100.0,27026
27,29,69,69,100.0,27029
27,31,55,55,100.0,27031
27,34,49,49,100.0,27034
27,36,68,68,100.0,27036
27,43,11,11,100.0,27043
27,44,61,61,100.0,27044
28,1,37,37,100.0,28001
28,2,68,68,100.0,28002
28,3,46,46,100.0,28003
28,7,54,54,100.0,28007
28,9,43,43,100.0,28009
28,12,67,67,100.0,28012
28,13,118,118,100.0,28013
28,14,58,58,100.0,28014
28,15,33,33,100.0,28015
28,17,41,41,100.0,28017
28,20,49,49,100.0,28020
28,21,73,73,100.0,28021
28,22,87,87,100.0,28022
28,23,70,70,100.0,28023
28,24,52,52,100.0,28024
28,25,139,139,100.0,28025
28,26,76,76,100.0,28026
28,31,104,104,100.0,28031
28,33,86,86,100.0,28033
28,36,0,0,0.0,28036
28,37,75,75,100.0,28037
28,38,26,26,100.0,28038
28,39,47,47,100.0,28039
28,40,71,71,100.0,28040
28,41,60,60,100.0,28041
28,42,61,61,100.0,28042
28,43,90,90,100.0,28043
28,44,44,44,100.0,28044
29,1,194,194,100.0,29001
29,2,135,135,100.0,29002
29,3,107,107,100.0,29003
29,4,124,124,100.0,29004
29,5,55,55,100.0,29005
29,6,66,66,100.0,29006
29,7,143,143,100.0,29007
29,8,55,55,100.0,29008
29,9,142,142,100.0,29009
29,10,198,198,100.0,29010
29,11,77,77,100.0,29011
29,12,138,138,100.0,29012
29,13,124,124,100.0,29013
29,14,112,112,100.0,29014
29,15,143,143,100.0,29015
29,16,93,93,100.0,29016
29,17,90,90,100.0,29017
29,18,99,99,100.0,29018
29,19,134,134,100.0,29019
29,20,104,104,100.0,29020
29,21,100,100,100.0,29021
29,22,103,103,100.0,29022
29,23,47,47,100.0,29023
29,24,103,103,100.0,29024
29,25,152,152,100.0,29025
29,26,115,115,100.0,29026
29,27,98,98,100.0,29027
29,28,138,138,100.0,29028
29,30,78,78,100.0,29030
29,33,90,90,100.0,29033
29,34,69,69,100.0,29034
29,35,77,77,100.0,29035
29,36,101,101,100.0,29036
29,37,77,77,100.0,29037
29,40,142,142,100.0,29040
29,41,78,78,100.0,29041
29,42,104,104,100.0,29042
29,43,184,184,100.0,29043
29,44,133,133,100.0,29044
32,2,117,117,100.0,32002
32,5,30,30,100.0,32005
32,6,180,180,100.0,32006
32,29,40,40,100.0,32029
32,32,138,138,100.0,32032
37,1,101,101,100.0,37001
37,2,2,2,100.0,37002
37,3,50,50,100.0,37003
37,4,55,55,100.0,37004
37,5,109,109,100.0,37005
37,6,96,96,100.0,37006
37,7,63,63,100.0,37007
37,8,49,49,100.0,37008
37,9,77,77,100.0,37009
37,10,102,102,100.0,37010
37,11,50,50,100.0,37011
37,12,1,1,100.0,37012
37,13,59,59,100.0,37013
37,14,100,100,100.0,37014
37,15,82,82,100.0,37015
37,16,99,99,100.0,37016
37,17,62,62,100.0,37017
37,18,79,79,100.0,37018
37,19,69,69,100.0,37019
37,20,55,55,100.0,37020
37,21,56,56,100.0,37021
37,22,42,42,100.0,37022
37,23,92,92,100.0,37023
37,24,103,103,100.0,37024
37,25,81,81,100.0,37025
37,26,130,130,100.0,37026
37,27,82,82,100.0,37027
37,28,71,71,100.0,37028
37,29,67,67,100.0,37029
37,30,71,71,100.0,37030
37,31,92,92,100.0,37031
37,32,86,86,100.0,37032
37,33,107,107,100.0,37033
37,34,81,81,100.0,37034
37,35,113,113,100.0,37035
37,36,67,67,100.0,37036
37,37,70,70,100.0,37037
37,38,118,118,100.0,37038
37,39,73,73,100.0,37039
37,40,101,101,100.0,37040
37,41,107,107,100.0,37041
