ward,precinct,total,Lilian Jimenez,Lilian Jimenez Percent,Manuel Jimenez Jr,Manuel Jimenez Jr Percent,Hector Villafuerte,Hector Villafuerte Percent,precinct_id
1,3,198,167,84.34,23,11.62,8,4.04,01003
1,4,158,131,82.91,22,13.92,5,3.16,01004
1,5,7,7,100.0,0,0.0,0,0.0,01005
1,10,165,147,89.09,13,7.88,5,3.03,01010
1,12,201,163,81.09,27,13.43,11,5.47,01012
1,14,138,123,89.13,8,5.8,7,5.07,01014
1,15,149,126,84.56,14,9.4,9,6.04,01015
1,18,173,149,86.13,12,6.94,12,6.94,01018
1,24,187,138,73.8,27,14.44,22,11.76,01024
1,32,161,128,79.5,25,15.53,8,4.97,01032
1,33,159,137,86.16,8,5.03,14,8.81,01033
1,36,197,166,84.26,22,11.17,9,4.57,01036
1,39,133,107,80.45,16,12.03,10,7.52,01039
2,3,185,166,89.73,12,6.49,7,3.78,02003
2,4,166,143,86.14,17,10.24,6,3.61,02004
2,14,184,156,84.78,17,9.24,11,5.98,02014
2,17,239,209,87.45,22,9.21,8,3.35,02017
2,21,178,157,88.2,16,8.99,5,2.81,02021
26,1,124,111,89.52,3,2.42,10,8.06,26001
26,2,94,71,75.53,14,14.89,9,9.57,26002
26,3,138,120,86.96,8,5.8,10,7.25,26003
26,4,55,44,80.0,8,14.55,3,5.45,26004
26,5,105,72,68.57,17,16.19,16,15.24,26005
26,6,77,53,68.83,17,22.08,7,9.09,26006
26,8,47,26,55.32,15,31.91,6,12.77,26008
26,9,110,49,44.55,49,44.55,12,10.91,26009
26,10,98,70,71.43,12,12.24,16,16.33,26010
26,11,103,73,70.87,24,23.3,6,5.83,26011
26,12,135,92,68.15,18,13.33,25,18.52,26012
26,13,44,29,65.91,10,22.73,5,11.36,26013
26,14,90,64,71.11,16,17.78,10,11.11,26014
26,15,43,29,67.44,6,13.95,8,18.6,26015
26,16,37,24,64.86,10,27.03,3,8.11,26016
26,17,125,101,80.8,15,12.0,9,7.2,26017
26,18,65,39,60.0,20,30.77,6,9.23,26018
26,19,44,22,50.0,15,34.09,7,15.91,26019
26,20,117,97,82.91,7,5.98,13,11.11,26020
26,21,125,105,84.0,16,12.8,4,3.2,26021
26,22,24,10,41.67,8,33.33,6,25.0,26022
26,25,87,68,78.16,8,9.2,11,12.64,26025
26,26,87,76,87.36,6,6.9,5,5.75,26026
26,27,152,122,80.26,19,12.5,11,7.24,26027
26,28,150,129,86.0,12,8.0,9,6.0,26028
26,29,72,56,77.78,13,18.06,3,4.17,26029
26,31,52,46,88.46,4,7.69,2,3.85,26031
26,32,111,91,81.98,13,11.71,7,6.31,26032
26,33,135,114,84.44,17,12.59,4,2.96,26033
26,35,98,80,81.63,12,12.24,6,6.12,26035
26,36,125,106,84.8,9,7.2,10,8.0,26036
26,38,52,29,55.77,13,25.0,10,19.23,26038
26,39,132,113,85.61,11,8.33,8,6.06,26039
26,40,57,48,84.21,4,7.02,5,8.77,26040
26,41,137,96,70.07,23,16.79,18,13.14,26041
26,43,54,37,68.52,9,16.67,8,14.81,26043
26,44,50,39,78.0,8,16.0,3,6.0,26044
26,45,45,29,64.44,9,20.0,7,15.56,26045
26,46,92,79,85.87,4,4.35,9,9.78,26046
26,47,47,36,76.6,9,19.15,2,4.26,26047
26,48,132,117,88.64,8,6.06,7,5.3,26048
26,49,3,2,66.67,1,33.33,0,0.0,26049
27,5,57,36,63.16,14,24.56,7,12.28,27005
27,15,28,23,82.14,3,10.71,2,7.14,27015
27,19,50,34,68.0,10,20.0,6,12.0,27019
27,24,52,37,71.15,9,17.31,6,11.54,27024
27,27,3,3,100.0,0,0.0,0,0.0,27027
27,29,68,50,73.53,12,17.65,6,8.82,27029
27,43,2,2,100.0,0,0.0,0,0.0,27043
29,30,25,23,92.0,2,8.0,0,0.0,29030
29,36,1,0,0.0,0,0.0,1,100.0,29036
35,12,41,28,68.29,6,14.63,7,17.07,35012
35,13,78,61,78.21,5,6.41,12,15.38,35013
35,16,40,32,80.0,5,12.5,3,7.5,35016
35,19,18,14,77.78,1,5.56,3,16.67,35019
36,2,71,47,66.2,20,28.17,4,5.63,36002
36,4,78,56,71.79,15,19.23,7,8.97,36004
36,5,81,58,71.6,18,22.22,5,6.17,36005
36,6,61,45,73.77,7,11.48,9,14.75,36006
36,8,27,18,66.67,4,14.81,5,18.52,36008
36,12,63,50,79.37,8,12.7,5,7.94,36012
36,13,74,58,78.38,7,9.46,9,12.16,36013
36,21,15,4,26.67,4,26.67,7,46.67,36021
36,22,55,37,67.27,7,12.73,11,20.0,36022
36,23,16,8,50.0,4,25.0,4,25.0,36023
36,25,33,23,69.7,6,18.18,4,12.12,36025
37,2,57,36,63.16,15,26.32,6,10.53,37002
37,4,59,40,67.8,11,18.64,8,13.56,37004
37,7,71,47,66.2,15,21.13,9,12.68,37007
37,8,51,39,76.47,7,13.73,5,9.8,37008
37,12,65,46,70.77,13,20.0,6,9.23,37012
37,19,70,42,60.0,13,18.57,15,21.43,37019
37,21,56,38,67.86,12,21.43,6,10.71,37021
37,22,20,11,55.0,7,35.0,2,10.0,37022
37,26,0,0,0.0,0,0.0,0,0.0,37026
37,28,72,46,63.89,23,31.94,3,4.17,37028
