ward,precinct,total,Angie Guerrero-Cuellar,Angie Guerrero-Cuellar Percent,precinct_id
13,1,87,87,100.0,13001
13,2,76,76,100.0,13002
13,3,40,40,100.0,13003
13,4,81,81,100.0,13004
13,5,60,60,100.0,13005
13,6,95,95,100.0,13006
13,7,43,43,100.0,13007
13,8,58,58,100.0,13008
13,9,58,58,100.0,13009
13,10,72,72,100.0,13010
13,11,94,94,100.0,13011
13,12,62,62,100.0,13012
13,13,77,77,100.0,13013
13,14,78,78,100.0,13014
13,15,82,82,100.0,13015
13,16,41,41,100.0,13016
13,17,70,70,100.0,13017
13,18,61,61,100.0,13018
13,19,56,56,100.0,13019
13,20,54,54,100.0,13020
13,21,101,101,100.0,13021
13,22,90,90,100.0,13022
13,23,58,58,100.0,13023
13,24,64,64,100.0,13024
13,25,57,57,100.0,13025
13,26,79,79,100.0,13026
13,27,71,71,100.0,13027
13,28,56,56,100.0,13028
13,29,51,51,100.0,13029
13,30,33,33,100.0,13030
13,31,92,92,100.0,13031
13,32,64,64,100.0,13032
13,33,91,91,100.0,13033
13,34,67,67,100.0,13034
13,35,61,61,100.0,13035
13,36,32,32,100.0,13036
13,37,122,122,100.0,13037
13,38,56,56,100.0,13038
13,39,79,79,100.0,13039
13,40,42,42,100.0,13040
13,41,76,76,100.0,13041
13,42,93,93,100.0,13042
13,43,83,83,100.0,13043
13,44,56,56,100.0,13044
13,45,66,66,100.0,13045
13,46,58,58,100.0,13046
13,47,76,76,100.0,13047
13,48,70,70,100.0,13048
14,18,22,22,100.0,14018
18,43,12,12,100.0,18043
23,1,78,78,100.0,23001
23,2,89,89,100.0,23002
23,3,10,10,100.0,23003
23,4,70,70,100.0,23004
23,5,56,56,100.0,23005
23,6,46,46,100.0,23006
23,7,44,44,100.0,23007
23,8,81,81,100.0,23008
23,9,39,39,100.0,23009
23,10,75,75,100.0,23010
23,11,64,64,100.0,23011
23,12,78,78,100.0,23012
23,14,7,7,100.0,23014
23,18,66,66,100.0,23018
23,22,44,44,100.0,23022
23,23,94,94,100.0,23023
23,24,28,28,100.0,23024
23,25,9,9,100.0,23025
23,26,50,50,100.0,23026
23,28,65,65,100.0,23028
23,29,63,63,100.0,23029
23,30,65,65,100.0,23030
23,32,59,59,100.0,23032
23,33,58,58,100.0,23033
23,35,46,46,100.0,23035
23,36,30,30,100.0,23036
23,37,31,31,100.0,23037
23,38,68,68,100.0,23038
23,39,80,80,100.0,23039
