ward,precinct,total,Chris Butler,Chris Butler Percent,Pat Dowell,Pat Dowell Percent,Jahmal Cole,Jahmal Cole Percent,Jonathan L. Jackson,Jonathan L. Jackson Percent,Michael A. Thompson Jr.,Michael A. Thompson Jr. Percent,Karin Norington-Reaves,Karin Norington-Reaves Percent,Marcus Lewis,Marcus Lewis Percent,Cassandra Goodrum,Cassandra Goodrum Percent,"Jacqueline """"Jacqui"""" Collins","Jacqueline """"Jacqui"""" Collins Percent",Terre Layng Rosner,Terre Layng Rosner Percent,Robert A. Palmer,Robert A. Palmer Percent,Kirby Birgans,Kirby Birgans Percent,Steven DeJoie,Steven DeJoie Percent,Nykea Pippion McGriff,Nykea Pippion McGriff Percent,Ameena Matthews,Ameena Matthews Percent,Charise A. Williams,Charise A. Williams Percent,Jonathan T. Swain,Jonathan T. Swain Percent,precinct_id
3,2,292,7,2.4,162,55.48,12,4.11,60,20.55,2,0.68,27,9.25,4,1.37,0,0.0,7,2.4,1,0.34,0,0.0,0,0.0,0,0.0,1,0.34,1,0.34,4,1.37,4,1.37,03002
3,4,144,0,0.0,79,54.86,6,4.17,21,14.58,2,1.39,15,10.42,0,0.0,1,0.69,11,7.64,0,0.0,0,0.0,0,0.0,0,0.0,2,1.39,0,0.0,5,3.47,2,1.39,03004
3,6,217,5,2.3,105,48.39,23,10.6,13,5.99,3,1.38,21,9.68,0,0.0,1,0.46,17,7.83,1,0.46,1,0.46,1,0.46,0,0.0,6,2.76,2,0.92,3,1.38,15,6.91,03006
3,7,168,3,1.79,92,54.76,5,2.98,44,26.19,2,1.19,7,4.17,2,1.19,0,0.0,6,3.57,0,0.0,1,0.6,0,0.0,0,0.0,2,1.19,0,0.0,3,1.79,1,0.6,03007
3,12,236,6,2.54,134,56.78,13,5.51,33,13.98,1,0.42,15,6.36,0,0.0,0,0.0,18,7.63,1,0.42,2,0.85,0,0.0,0,0.0,0,0.0,2,0.85,2,0.85,9,3.81,03012
3,17,18,0,0.0,4,22.22,1,5.56,1,5.56,0,0.0,4,22.22,0,0.0,0,0.0,3,16.67,1,5.56,0,0.0,0,0.0,0,0.0,2,11.11,1,5.56,0,0.0,1,5.56,03017
3,18,97,3,3.09,47,48.45,1,1.03,24,24.74,0,0.0,13,13.4,0,0.0,0,0.0,5,5.15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,3.09,1,1.03,03018
3,19,123,2,1.63,61,49.59,7,5.69,4,3.25,2,1.63,20,16.26,0,0.0,0,0.0,15,12.2,0,0.0,1,0.81,2,1.63,1,0.81,1,0.81,3,2.44,3,2.44,1,0.81,03019
3,23,130,4,3.08,57,43.85,3,2.31,26,20.0,1,0.77,17,13.08,0,0.0,2,1.54,9,6.92,0,0.0,0,0.0,1,0.77,0,0.0,2,1.54,1,0.77,3,2.31,4,3.08,03023
3,27,235,6,2.55,125,53.19,12,5.11,11,4.68,7,2.98,23,9.79,0,0.0,2,0.85,25,10.64,3,1.28,2,0.85,3,1.28,0,0.0,1,0.43,2,0.85,6,2.55,7,2.98,03027
3,29,61,2,3.28,21,34.43,13,21.31,7,11.48,1,1.64,4,6.56,0,0.0,1,1.64,6,9.84,0,0.0,2,3.28,0,0.0,0,0.0,0,0.0,0,0.0,2,3.28,2,3.28,03029
3,30,87,3,3.45,45,51.72,7,8.05,8,9.2,0,0.0,8,9.2,0,0.0,0,0.0,6,6.9,0,0.0,1,1.15,0,0.0,0,0.0,1,1.15,0,0.0,1,1.15,7,8.05,03030
3,31,42,3,7.14,17,40.48,2,4.76,10,23.81,0,0.0,5,11.9,0,0.0,0,0.0,3,7.14,0,0.0,0,0.0,0,0.0,0,0.0,1,2.38,0,0.0,1,2.38,0,0.0,03031
3,35,100,1,1.0,41,41.0,5,5.0,11,11.0,2,2.0,14,14.0,0,0.0,0,0.0,13,13.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,1,1.0,9,9.0,03035
3,38,201,7,3.48,109,54.23,8,3.98,34,16.92,2,1.0,18,8.96,0,0.0,0,0.0,8,3.98,0,0.0,0,0.0,2,1.0,0,0.0,2,1.0,2,1.0,5,2.49,4,1.99,03038
3,41,187,4,2.14,92,49.2,2,1.07,40,21.39,5,2.67,21,11.23,2,1.07,1,0.53,7,3.74,0,0.0,1,0.53,1,0.53,1,0.53,1,0.53,1,0.53,3,1.6,5,2.67,03041
4,1,273,5,1.83,46,16.85,38,13.92,40,14.65,0,0.0,35,12.82,2,0.73,1,0.37,58,21.25,1,0.37,5,1.83,3,1.1,2,0.73,4,1.47,3,1.1,3,1.1,27,9.89,04001
4,3,124,8,6.45,29,23.39,8,6.45,37,29.84,6,4.84,9,7.26,1,0.81,1,0.81,7,5.65,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,3.23,3,2.42,11,8.87,04003
4,4,249,14,5.62,81,32.53,13,5.22,61,24.5,4,1.61,20,8.03,3,1.2,3,1.2,25,10.04,1,0.4,0,0.0,4,1.61,0,0.0,2,0.8,3,1.2,6,2.41,9,3.61,04004
4,6,321,19,5.92,96,29.91,12,3.74,76,23.68,12,3.74,61,19.0,2,0.62,2,0.62,27,8.41,0,0.0,3,0.93,0,0.0,1,0.31,1,0.31,1,0.31,3,0.93,5,1.56,04006
4,7,270,9,3.33,96,35.56,19,7.04,55,20.37,7,2.59,30,11.11,1,0.37,2,0.74,22,8.15,0,0.0,0,0.0,2,0.74,1,0.37,2,0.74,1,0.37,7,2.59,16,5.93,04007
4,8,193,3,1.55,59,30.57,14,7.25,48,24.87,5,2.59,21,10.88,0,0.0,2,1.04,21,10.88,0,0.0,0,0.0,1,0.52,2,1.04,2,1.04,0,0.0,7,3.63,8,4.15,04008
4,11,114,2,1.75,47,41.23,10,8.77,27,23.68,0,0.0,14,12.28,0,0.0,1,0.88,5,4.39,2,1.75,1,0.88,1,0.88,0,0.0,1,0.88,1,0.88,1,0.88,1,0.88,04011
4,12,224,13,5.8,69,30.8,17,7.59,49,21.88,7,3.13,24,10.71,1,0.45,1,0.45,18,8.04,0,0.0,1,0.45,0,0.0,0,0.0,2,0.89,1,0.45,10,4.46,11,4.91,04012
4,14,97,5,5.15,41,42.27,6,6.19,15,15.46,0,0.0,10,10.31,0,0.0,0,0.0,9,9.28,0,0.0,0,0.0,1,1.03,1,1.03,0,0.0,0,0.0,4,4.12,5,5.15,04014
4,15,100,1,1.0,27,27.0,7,7.0,16,16.0,4,4.0,17,17.0,2,2.0,2,2.0,9,9.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,4,4.0,10,10.0,04015
4,18,241,16,6.64,71,29.46,10,4.15,62,25.73,5,2.07,21,8.71,5,2.07,4,1.66,22,9.13,2,0.83,2,0.83,3,1.24,0,0.0,1,0.41,1,0.41,8,3.32,8,3.32,04018
4,19,112,10,8.93,32,28.57,2,1.79,40,35.71,0,0.0,8,7.14,4,3.57,1,0.89,8,7.14,0,0.0,4,3.57,0,0.0,0,0.0,0,0.0,1,0.89,1,0.89,1,0.89,04019
4,23,303,7,2.31,57,18.81,21,6.93,39,12.87,7,2.31,34,11.22,3,0.99,5,1.65,86,28.38,1,0.33,0,0.0,2,0.66,0,0.0,5,1.65,4,1.32,2,0.66,30,9.9,04023
4,24,183,7,3.83,43,23.5,21,11.48,24,13.11,0,0.0,25,13.66,0,0.0,3,1.64,28,15.3,1,0.55,1,0.55,4,2.19,1,0.55,0,0.0,6,3.28,3,1.64,16,8.74,04024
4,26,175,5,2.86,45,25.71,14,8.0,52,29.71,3,1.71,17,9.71,0,0.0,2,1.14,13,7.43,0,0.0,0,0.0,0,0.0,0,0.0,3,1.71,0,0.0,5,2.86,16,9.14,04026
4,28,155,4,2.58,44,28.39,7,4.52,47,30.32,2,1.29,19,12.26,1,0.65,1,0.65,18,11.61,0,0.0,4,2.58,0,0.0,0,0.0,0,0.0,2,1.29,3,1.94,3,1.94,04028
4,29,200,12,6.0,63,31.5,11,5.5,41,20.5,1,0.5,18,9.0,2,1.0,1,0.5,27,13.5,0,0.0,0,0.0,4,2.0,1,0.5,2,1.0,2,1.0,6,3.0,9,4.5,04029
4,30,211,8,3.79,64,30.33,18,8.53,62,29.38,6,2.84,22,10.43,2,0.95,4,1.9,16,7.58,0,0.0,0,0.0,2,0.95,0,0.0,1,0.47,1,0.47,3,1.42,2,0.95,04030
4,32,238,8,3.36,70,29.41,15,6.3,48,20.17,4,1.68,22,9.24,1,0.42,0,0.0,23,9.66,1,0.42,2,0.84,2,0.84,0,0.0,5,2.1,4,1.68,7,2.94,26,10.92,04032
4,33,188,2,1.06,31,16.49,6,3.19,45,23.94,3,1.6,23,12.23,0,0.0,4,2.13,42,22.34,0,0.0,0,0.0,0,0.0,0,0.0,1,0.53,2,1.06,3,1.6,26,13.83,04033
4,34,67,3,4.48,24,35.82,2,2.99,10,14.93,3,4.48,6,8.96,1,1.49,1,1.49,6,8.96,0,0.0,1,1.49,1,1.49,0,0.0,0,0.0,2,2.99,0,0.0,7,10.45,04034
4,35,277,6,2.17,80,28.88,16,5.78,87,31.41,1,0.36,27,9.75,3,1.08,1,0.36,21,7.58,0,0.0,2,0.72,2,0.72,1,0.36,2,0.72,6,2.17,5,1.81,17,6.14,04035
4,36,292,6,2.05,117,40.07,15,5.14,61,20.89,3,1.03,36,12.33,2,0.68,0,0.0,23,7.88,0,0.0,3,1.03,1,0.34,0,0.0,3,1.03,3,1.03,7,2.4,12,4.11,04036
4,38,271,11,4.06,109,40.22,13,4.8,67,24.72,1,0.37,33,12.18,3,1.11,1,0.37,20,7.38,0,0.0,0,0.0,1,0.37,1,0.37,4,1.48,0,0.0,5,1.85,2,0.74,04038
5,2,107,8,7.48,14,13.08,7,6.54,30,28.04,8,7.48,10,9.35,2,1.87,0,0.0,18,16.82,0,0.0,3,2.8,0,0.0,0,0.0,1,0.93,0,0.0,5,4.67,1,0.93,05002
5,3,204,1,0.49,29,14.22,24,11.76,17,8.33,0,0.0,37,18.14,1,0.49,2,0.98,69,33.82,1,0.49,0,0.0,3,1.47,1,0.49,4,1.96,1,0.49,2,0.98,12,5.88,05003
5,4,261,9,3.45,33,12.64,23,8.81,57,21.84,0,0.0,44,16.86,0,0.0,3,1.15,54,20.69,1,0.38,1,0.38,2,0.77,2,0.77,2,0.77,6,2.3,9,3.45,15,5.75,05004
5,5,160,9,5.63,39,24.38,15,9.38,49,30.63,2,1.25,15,9.38,1,0.63,3,1.88,14,8.75,0,0.0,0,0.0,1,0.63,1,0.63,0,0.0,3,1.88,4,2.5,4,2.5,05005
5,6,144,6,4.17,18,12.5,10,6.94,59,40.97,5,3.47,13,9.03,2,1.39,0,0.0,16,11.11,0,0.0,0,0.0,1,0.69,3,2.08,0,0.0,1,0.69,4,2.78,6,4.17,05006
5,8,242,3,1.24,46,19.01,24,9.92,19,7.85,2,0.83,52,21.49,1,0.41,1,0.41,65,26.86,1,0.41,0,0.0,1,0.41,1,0.41,6,2.48,3,1.24,3,1.24,14,5.79,05008
5,9,282,8,2.84,51,18.09,17,6.03,45,15.96,2,0.71,47,16.67,0,0.0,7,2.48,54,19.15,2,0.71,1,0.35,1,0.35,1,0.35,6,2.13,5,1.77,7,2.48,28,9.93,05009
5,10,45,0,0.0,12,26.67,4,8.89,13,28.89,0,0.0,3,6.67,0,0.0,0,0.0,5,11.11,0,0.0,0,0.0,2,4.44,0,0.0,0,0.0,0,0.0,4,8.89,2,4.44,05010
5,12,87,4,4.6,26,29.89,7,8.05,24,27.59,3,3.45,6,6.9,3,3.45,1,1.15,5,5.75,0,0.0,2,2.3,1,1.15,0,0.0,1,1.15,0,0.0,1,1.15,3,3.45,05012
5,13,148,5,3.38,19,12.84,16,10.81,50,33.78,0,0.0,19,12.84,0,0.0,2,1.35,19,12.84,0,0.0,2,1.35,1,0.68,1,0.68,1,0.68,2,1.35,2,1.35,9,6.08,05013
