ward,precinct,total,Eileen Dordek,Eileen Dordek Percent,Hoan Huynh,Hoan Huynh Percent,"Fernando """"Sergio"""" Mojica","Fernando """"Sergio"""" Mojica Percent","Andrew """"Andy"""" Peters","Andrew """"Andy"""" Peters Percent","Joseph """"Joe"""" Struck","Joseph """"Joe"""" Struck Percent",precinct_id
47,41,284,112,39.44,136,47.89,17,5.99,16,5.63,3,1.06,47041
47,42,239,89,37.24,125,52.3,9,3.77,10,4.18,6,2.51,47042
47,44,191,100,52.36,41,21.47,20,10.47,24,12.57,6,3.14,47044
47,45,295,160,54.24,105,35.59,9,3.05,14,4.75,7,2.37,47045
48,4,250,86,34.4,117,46.8,25,10.0,21,8.4,1,0.4,48004
48,17,233,67,28.76,110,47.21,24,10.3,28,12.02,4,1.72,48017
48,21,247,70,28.34,134,54.25,22,8.91,18,7.29,3,1.21,48021
48,23,306,162,52.94,83,27.12,24,7.84,31,10.13,6,1.96,48023
48,24,196,55,28.06,87,44.39,22,11.22,27,13.78,5,2.55,48024
48,35,126,28,22.22,67,53.17,13,10.32,10,7.94,8,6.35,48035
