ward,precinct,total,Raja Krishnamoorthi,Raja Krishnamoorthi Percent,precinct_id
41,25,56,32,57.14,41025
41,27,66,42,63.64,41027
41,28,86,49,56.98,41028
41,29,52,32,61.54,41029
