ward,precinct,total,Aaron M. Ortiz,Aaron M. Ortiz Percent,precinct_id
11,21,152,152,100.0,11021
11,24,160,160,100.0,11024
11,25,164,164,100.0,11025
11,31,0,0,0.0,11031
12,3,146,146,100.0,12003
12,4,20,20,100.0,12004
12,8,112,112,100.0,12008
12,19,1,1,100.0,12019
12,21,45,45,100.0,12021
12,23,0,0,0.0,12023
14,2,80,80,100.0,14002
14,3,44,44,100.0,14003
14,4,69,69,100.0,14004
14,5,52,52,100.0,14005
14,6,22,22,100.0,14006
14,7,81,81,100.0,14007
14,8,67,67,100.0,14008
14,9,75,75,100.0,14009
14,10,0,0,0.0,14010
14,11,27,27,100.0,14011
14,12,75,75,100.0,14012
14,13,62,62,100.0,14013
14,14,72,72,100.0,14014
14,15,48,48,100.0,14015
14,17,35,35,100.0,14017
14,18,9,9,100.0,14018
14,19,66,66,100.0,14019
14,21,39,39,100.0,14021
14,22,84,84,100.0,14022
14,23,58,58,100.0,14023
14,24,95,95,100.0,14024
14,25,29,29,100.0,14025
14,26,55,55,100.0,14026
14,27,59,59,100.0,14027
14,28,45,45,100.0,14028
14,29,49,49,100.0,14029
14,30,39,39,100.0,14030
15,4,1,1,100.0,15004
15,8,18,18,100.0,15008
15,9,12,12,100.0,15009
15,13,32,32,100.0,15013
15,14,13,13,100.0,15014
15,15,46,46,100.0,15015
15,16,55,55,100.0,15016
15,19,66,66,100.0,15019
16,1,74,74,100.0,16001
16,11,23,23,100.0,16011
16,13,23,23,100.0,16013
16,17,25,25,100.0,16017
16,23,35,35,100.0,16023
16,32,57,57,100.0,16032
16,35,54,54,100.0,16035
17,12,12,12,100.0,17012
22,1,44,44,100.0,22001
22,2,92,92,100.0,22002
22,8,94,94,100.0,22008
22,12,61,61,100.0,22012
22,23,130,130,100.0,22023
23,6,11,11,100.0,23006
23,13,53,53,100.0,23013
23,14,32,32,100.0,23014
23,15,40,40,100.0,23015
23,17,34,34,100.0,23017
23,19,44,44,100.0,23019
23,20,34,34,100.0,23020
23,22,15,15,100.0,23022
23,24,26,26,100.0,23024
23,25,41,41,100.0,23025
23,26,23,23,100.0,23026
23,31,37,37,100.0,23031
23,34,58,58,100.0,23034
25,32,76,76,100.0,25032
